gene	compartment	scope	n	mean	median	pct_pos	pct_umi_ge1
TACSTD2	tumor	pooled_library	38110	1.227423522055415	0.7608016133308411	50.72421936499606	50.72421936499606
TACSTD2	tnk	pooled_library	5	0.6482841491699218	0.0	20.0	20.0
TACSTD2	T	pooled_library	3	1.0804735819498699	0.0	33.33333333333333	33.33333333333333
TACSTD2	NK	pooled_library	2	0.0	0.0	0.0	0.0
TACSTD2	tumor	BC001	3651	0.8611918835566815	0.0	40.29033141605039	40.29033141605039
TACSTD2	tnk	BC001	0				
TACSTD2	tumor	BC002	7015	1.5201735598396933	1.769304633140564	60.29935851746258	60.29935851746258
TACSTD2	tnk	BC002	1	0.0	0.0	0.0	0.0
TACSTD2	tumor	BC003	11659	1.160945640505766	0.0	49.30954627326528	49.30954627326528
TACSTD2	tnk	BC003	4	0.8103551864624023	0.0	25.0	25.0
TACSTD2	tumor	BC004	15785	1.2311318412248493	0.0	49.927146024707	49.927146024707
TACSTD2	tnk	BC004	0				
CLDN4	tumor	pooled_library	38110	1.1850917459965316	0.0	49.91340855418525	49.91340855418525
CLDN4	tnk	pooled_library	5	0.0	0.0	0.0	0.0
CLDN4	T	pooled_library	3	0.0	0.0	0.0	0.0
CLDN4	NK	pooled_library	2	0.0	0.0	0.0	0.0
CLDN4	tumor	BC001	3651	1.0432247193798043	0.0	45.87784168720898	45.87784168720898
CLDN4	tnk	BC001	0				
CLDN4	tumor	BC002	7015	1.3937815630299997	1.5827032327651978	57.419814682822526	57.419814682822526
CLDN4	tnk	BC002	1	0.0	0.0	0.0	0.0
CLDN4	tumor	BC003	11659	1.1753579143727764	0.0	49.93567201303714	49.93567201303714
CLDN4	tnk	BC003	4	0.0	0.0	0.0	0.0
CLDN4	tumor	BC004	15785	1.132350801466234	0.0	47.494456762749444	47.494456762749444
CLDN4	tnk	BC004	0				
