probe_id	lineage	n_cells
BC001	Epithelial	3651
BC001	Unassigned	214
BC001	Plasma	189
BC001	Fibroblast	70
BC001	Myeloid	28
BC001	Endothelial	1
BC001	Mast	1
BC002	Epithelial	7015
BC002	Plasma	534
BC002	Unassigned	481
BC002	Fibroblast	407
BC002	Myeloid	48
BC002	Endothelial	14
BC002	B	3
BC002	NK	1
BC003	Epithelial	11659
BC003	Plasma	565
BC003	Unassigned	482
BC003	Fibroblast	219
BC003	Myeloid	97
BC003	Endothelial	10
BC003	T	3
BC003	Mast	1
BC003	NK	1
BC004	Epithelial	15785
BC004	Plasma	630
BC004	Unassigned	473
BC004	Fibroblast	219
BC004	Myeloid	100
BC004	Endothelial	7
BC004	Mast	2
BC004	B	1
