accession	kind	n_geo	note	title	summary
GSE50927	CLDN4_KD	7	mouse lung Cldn4 KD; C4 analog that opened IFN	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	WT mice and claudin 4 KO mice were exposed to ventilator-induced lung injury (VILI) for 2 hours. We found that in some Cldn4 KO mice, injury was similar to WT, while in others, injury was higher, as assessed by amount of protein leak into broncho-alveolar lavage fluid. We performed RNAseq to find which genes were responsible for higher injury in Cldn4 KO mice.
GSE207704	CLDN4_KD	10	cancer-line CLDN4 perturbation; C4 analog that closed IFN	Claudin-4–adhesion signaling drives breast cancer metabolism and progression via liver X receptor β	Cell adhesion molecules exhibit the signaling abilities to control a variety of physiological and pathological processes; however, the underlying molecular basis remains poorly defined. Here, we demonstrate that the claudin-4 (CLDN4)-adhesion signaling accelerates breast cancer metabolism and progression via the nuclear receptor LXRb (liver X receptor b). Knockout and rescue experiments revealed t
GSE22493	CLDN4_KD	5	SKOV-3 CLDN4 siRNA vs overexpression; C4 analog, IFN not opened	Comparisons of the global gene profile between CLDN4-overexpressing and CLDN4-silencing ovarian cancer cells.	A microarray analysis was performed to compare the global gene expression profile between CLDN4-overexpressing (Control) and CLDN4-silencing SKOV-3 ovarian cancer cells.
GSE22421	CLDN4_LIGAND	5	SKOV-3 C-CPE (CLDN3/4 binder), not genetic KD	Comparisons of the global gene profile between C-CPE treated- and untreated- SKOV-3 ovarian cancer cells.	A microarray analysis was performed to compare the global gene expression profile between C-CPE treated- and untreated- SKOV-3 ovarian cancer cells.
GSE274940	CLDN_NULL	8	EpH4 complete Cldn-null, not CLDN4-specific	Comparative bulk RNAseq between EpH4 WT and Cldn-null cells	The claudin (CLDN) family, comprising 27 members, includes crucial cell–cell adhesion molecules that form tight junctions (TJs), essential for paracellular barrier and channel functions. The functional diversity among CLDNs may lead to diversity of TJs, contributing to various biological systems and pathological processes. To characterize the functional diversity of CLDNs, we developed a first-eve
GSE245459	TROP2_KD	14	SKOV-3 TACSTD2/TROP2 shRNA, not CLDN4, not ADC	Exploring the Mechanism of TACSTD2 Causing Cisplatin Resistance	TACSTD2 has been confirmed to be highly expressed in various cancers, but the mechanism has not been explored in ovarian cancer
GSE334497	TROP2_KO	12	4T1 Trop2 KO RNA-seq; C4 analog, IFN/APM not opened	TROP2/claudin program mediates immune exclusion to impede checkpoint blockade in breast cancer	To investigate TROP2-dependent transcriptomic changes in breast cancer, we performed RNA-seq on frozen tumor sections from 4T1 Trop2 wild-type and Trop2 knockout tumors. This dataset was generated to define transcriptional programs regulated by TROP2 in the tumor microenvironment and to determine how TROP2 contributes to immune exclusion and resistance to immune checkpoint blockade. Analysis of th
