gene,median_tumor,median_normal,n_tumor,n_normal,mwu_U,mwu_p,mwu_p_BH
TACSTD2,2.4845491401,6.2792083912,79,7,61.0,0.0006403229315622844,0.0012806458631245687
CLDN4,6.2551301317,6.2677127523,79,7,261.0,0.8166804811511161,0.8166804811511161
