cohort,gene,covariate,n,spearman_rho,spearman_p,spearman_p_BH
George2015,TACSTD2,Teff_score,81,0.10772357723577235,0.3384499471482396,0.48736792389346506
George2015,TACSTD2,Cytolytic_score,81,0.1514679313459801,0.17707189095206363,0.3279980919834658
George2015,TACSTD2,AntigenPresentation_score,81,0.1988256549232159,0.0751693523944893,0.1838126933461547
George2015,TACSTD2,CD8A,81,-0.08473494688482452,0.45198161607482445,0.6026421547664327
George2015,TACSTD2,CD274,81,0.2740063233965672,0.013312482342474686,0.04792493643290887
George2015,TACSTD2,CXCL9,81,0.0759936766034327,0.5001277810271408,0.6268499044012505
George2015,TACSTD2,STAT1,81,0.2865627822944896,0.00949723270487778,0.03798893081951112
George2015,TACSTD2,CD68,81,0.21806684733513998,0.050500190336671344,0.16527335019274259
George2015,TACSTD2,CD163,81,0.3229448961156278,0.0032762591773843625,0.016849332912262434
George2015,CLDN4,Teff_score,81,-0.17703252032520328,0.11386794392127243,0.22839531386208353
George2015,CLDN4,Cytolytic_score,81,-0.14970641373080398,0.18222116221303655,0.3279980919834658
George2015,CLDN4,AntigenPresentation_score,81,-0.06133694670280036,0.5864655725478323,0.6639118504505264
George2015,CLDN4,CD8A,81,-0.18003348698780522,0.10777206330077933,0.22839531386208353
George2015,CLDN4,CD274,81,-0.001964769647696477,0.9861110498314978,0.9861110498314978
George2015,CLDN4,CXCL9,81,-0.09893857271906051,0.3795282389946608,0.5255006386079919
George2015,CLDN4,STAT1,81,-0.014182475158084913,0.8999973847277939,0.9257115957200166
George2015,CLDN4,CD68,81,-0.13714995483288167,0.22210741894262773,0.36344850372429993
George2015,CLDN4,CD163,81,-0.11224028906955735,0.3184643774689556,0.4776965662034334
GSE60052,TACSTD2,Teff_score,79,0.4065303276533135,0.00020109084328010044,0.002413090119361205
GSE60052,TACSTD2,Cytolytic_score,79,0.4861493896078581,5.57020517403612e-06,0.00010026369313265017
GSE60052,TACSTD2,AntigenPresentation_score,79,0.33044071495216265,0.0029371866116693662,0.016849332912262434
GSE60052,TACSTD2,CD8A,79,0.3175799260417527,0.004345227824286933,0.019553525209291198
GSE60052,TACSTD2,CD274,79,0.3957598660976333,0.0003060744435501056,0.00275466999195095
GSE60052,TACSTD2,CXCL9,79,0.2004019737003648,0.07658862222756445,0.1838126933461547
GSE60052,TACSTD2,STAT1,79,0.07611412610730453,0.5049624229898962,0.6268499044012505
GSE60052,TACSTD2,CD68,79,0.1791337491977758,0.11419765693104177,0.22839531386208353
GSE60052,TACSTD2,CD163,79,0.4865818166416766,5.448884190535029e-06,0.00010026369313265017
GSE60052,CLDN4,Teff_score,79,0.03622200584225901,0.751303813243357,0.7954981551988487
GSE60052,CLDN4,Cytolytic_score,79,-0.057137421545741626,0.616960503116812,0.6730478215819767
GSE60052,CLDN4,AntigenPresentation_score,79,-0.20467380720545278,0.0703902800967816,0.1838126933461547
GSE60052,CLDN4,CD8A,79,0.14096295422282026,0.21529593653355342,0.36344850372429993
GSE60052,CLDN4,CD274,79,0.061523516593186646,0.5901438670671345,0.6639118504505264
GSE60052,CLDN4,CXCL9,79,-0.2044110129868795,0.07075956252515579,0.1838126933461547
GSE60052,CLDN4,STAT1,79,-0.35090068159688415,0.0015210989234018034,0.010951912248492984
GSE60052,CLDN4,CD68,79,0.12172344357106453,0.28523342941523966,0.44645232430211423
GSE60052,CLDN4,CD163,79,-0.07164113705790562,0.5303853624603594,0.6364624349524313
