gene,test,n,stat,p,median_ici,median_naive,n_ici,n_naive,p_BH
TACSTD2,Kruskal-Wallis subtype,20,3.1168404,0.2104683,,,,,0.22414518892765045
TACSTD2,MWU ICI-exposed vs naive,20,70.0,0.12864316,0.020697472617030144,0.010979237034916878,9.0,11.0,0.22414518892765045
CLDN4,Kruskal-Wallis subtype,20,3.6142082,0.16412875,,,,,0.22414518892765045
CLDN4,MWU ICI-exposed vs naive,20,33.0,0.22414519,0.6895970106124878,1.1174345016479492,9.0,11.0,0.22414518892765045
