fov,CLDN4,TACSTD2,T,B,TB,n_cells
1,0.06448515881270502,0.05768461476918153,0.10460265392659983,0.056724537963037044,0.08066359594481844,12499
2,0.08555587419940733,0.06203995793901157,0.08591093449137613,0.042666411751585254,0.06428867312148069,10461
3,0.09494215508174778,0.085285400133856,0.11152390968817012,0.05041909679064282,0.08097150323940647,10459
4,0.07397188280120878,0.05005912495072921,0.13503012557013344,0.04414662987780844,0.08958837772397094,7611
5,0.15115062761506276,0.07269874476987448,0.08515142458657102,0.12529056252905624,0.10522099355781364,5736
6,0.06335095306743553,0.05021624219125421,0.08020411432232671,0.058812536707779375,0.06950832551505304,12486
7,0.06570627729613454,0.04106642331008409,0.07507426411018092,0.08456641244595094,0.07982033827806592,15341
8,0.0817783216070154,0.06056898133985929,0.09082433830063073,0.07698582645049455,0.08390508237556264,9807
9,0.07619918964841198,0.034962749967324534,0.092098138431951,0.10334161111837233,0.09771987477516167,15302
10,0.10810359231411863,0.06441102756892231,0.11298484306003102,0.18128654970760233,0.14713569638381668,11970
11,0.06363871859079527,0.0626025386408773,0.07968717233892952,0.14155369426934922,0.11062043330413937,11581
12,0.04855208183258897,0.028958363348220717,0.07302364830098586,0.03827498439225856,0.05564931634662221,6941
13,0.053803066037735846,0.03611438679245283,0.06334231805929919,0.055522798742138356,0.059432558400718774,6784
14,0.048770053475935826,0.026737967914438502,0.07893048128342246,0.0653475935828877,0.07213903743315508,9350
15,0.05173493674057372,0.035826130527370666,0.07646606180991751,0.06016952691135329,0.0683177943606354,7983
16,0.07605760576057606,0.052655265526552655,0.08310831083108311,0.19741974197419743,0.14026402640264027,6666
17,0.0912179164569703,0.07121288374433819,0.08289596664030482,0.06777386344573058,0.0753349150430177,7948
18,0.15718613261528105,0.06395153147088523,0.11025628696446603,0.061988107259059795,0.08612219711176292,5942
19,0.12531090844486556,0.07982944451024518,0.07265528502055803,0.056654427731059255,0.06465485637580864,8443
20,0.09191583610188261,0.05003523608174771,0.08784570910816758,0.06016980435585086,0.07400775673200922,9933
21,0.12174479166666667,0.07063802083333333,0.06845238095238095,0.04345703125,0.05595470610119047,6144
22,0.09476209516193522,0.055977608956417436,0.0744273719083795,0.07628059887156248,0.075353985389971,7503
23,0.06975009324878777,0.05967922417008579,0.08438571250954689,0.07070330307928219,0.07754450779441455,8043
24,0.09160971353787989,0.050821579176966704,0.10614055132013545,0.05610489069846347,0.08112272100929946,13754
25,0.06261843948257395,0.04309137348603444,0.0676443931778858,0.07140699239240889,0.06952569278514734,12137
26,0.09716060337178349,0.03948535936113576,0.07935099505640766,0.06773144040224785,0.07354121772932776,2254
27,0.11006445215666832,0.026772434308378782,0.08414193639776187,0.060816393984465374,0.07247916519111362,2017
28,0.0744324525493115,0.0297729810197246,0.11026636184805146,0.0744324525493115,0.09234940719868148,2687
29,0.07455770850884583,0.02864363942712721,0.09604043807919124,0.04872226902555461,0.07238135355237292,2374
30,0.1354967264446342,0.04526046114432109,0.09231019478671058,0.07078470443116044,0.08154744960893552,3513
31,0.07718120805369127,0.031879194630872486,0.09563758389261745,0.07214765100671142,0.08389261744966443,1788
32,0.09963547995139732,0.03240178209801539,0.10628941734652547,0.05656811124611853,0.08142876429632201,2469
33,0.11028976936723832,0.03666469544648137,0.0822421221593309,0.06820421841119653,0.07522317028526372,3382
34,0.1206786171574904,0.034891165172855315,0.0859703676605085,0.06017925736235595,0.07307481251143223,3124
35,0.2690710949662688,0.0851063829787234,0.146563866854474,0.07455457533298737,0.11055922109373069,3854
36,0.2718707940780619,0.07267833109017496,0.10541242068832916,0.050022431583669806,0.07771742613599948,2972
37,0.15753657706702962,0.044232732221844165,0.10377679482817284,0.04151071793126914,0.072643756379721,2939
38,0.29709035222052066,0.09264931087289434,0.1492014876394662,0.05946911689637569,0.10433530226792095,2612
39,0.24378635642517188,0.06768905341089371,0.11932462038226184,0.06143134144191785,0.09037798091208984,3782
40,0.12091503267973856,0.042986425339366516,0.1098541980894922,0.06058320764203117,0.08521870286576169,3978
41,0.25909831613253664,0.099130907115698,0.1436331186466982,0.06590621039290241,0.10476966451980031,3682
42,0.13128236369174537,0.06579348157173318,0.10835037639789391,0.05259417199715707,0.08047227419752549,3283
43,0.13392171910974673,0.05525709900230238,0.11725687972809998,0.063827065745715,0.09054197273690749,2606
44,0.09435846230654019,0.03195207189216176,0.07239141288067898,0.05125644866034281,0.0618239307705109,2003
45,0.09964692036092586,0.030207924676343666,0.0787984083394048,0.06564665882045245,0.07222253357992862,2549
46,0.1537242472266244,0.03248811410459588,0.08071088974417025,0.0710512414157422,0.07588106557995623,1262
47,0.09019165727170236,0.018038331454340473,0.08761475277822516,0.10973318301390454,0.09867396789606485,887
