series,subset,n,CLDN4_vs_TB_n,CLDN4_vs_TB_rho,CLDN4_vs_TB_p,TACSTD2_vs_TB_n,TACSTD2_vs_TB_rho,TACSTD2_vs_TB_p,epi_vs_TB_n,epi_vs_TB_rho,epi_vs_TB_p,CLDN4_vs_T_n,CLDN4_vs_T_rho,CLDN4_vs_T_p,TACSTD2_vs_T_n,TACSTD2_vs_T_rho,TACSTD2_vs_T_p,CLDN4_vs_B_n,CLDN4_vs_B_rho,CLDN4_vs_B_p,TACSTD2_vs_B_n,TACSTD2_vs_B_rho,TACSTD2_vs_B_p,CLDN4_vs_PTPRC_n,CLDN4_vs_PTPRC_rho,CLDN4_vs_PTPRC_p,TACSTD2_vs_PTPRC_n,TACSTD2_vs_PTPRC_rho,TACSTD2_vs_PTPRC_p,broad_vs_TB_n,broad_vs_TB_rho,broad_vs_TB_p
GSE265899,all_AOI,95,95,-0.820873898709057,2.3712117214115554e-24,95,-0.8672737336566105,6.39068551932047e-30,95,-0.8795554280410555,9.356432689988597e-32,95,-0.8464553428939551,3.402551712047359e-27,95,-0.8488027839098607,1.7585985450539206e-27,95,-0.6669862890528717,1.5893136260415414e-13,95,-0.7617884423973195,3.141023736578448e-19,95,-0.8315368786483194,1.7702569722184262e-25,95,-0.7788619027340403,1.515737052168162e-20,95,-0.8043533034714446,9.573032262999959e-23
GSE265899,tumor,48,48,-0.3994355037159115,0.004915203079367585,48,-0.6458056289185914,7.169619741970444e-07,48,-0.6437255753365176,7.991525963492871e-07,48,-0.5153743861642315,0.00017788179435015668,48,-0.6213803025600971,2.4404918033239543e-06,48,-0.26487909473211685,0.06884855236470083,48,-0.5679702555895227,2.5475830907305203e-05,48,-0.30603050534657766,0.03439601055904983,48,-0.13857677902621723,0.3475648885025566,48,-0.19376899696048633,0.18695825114160444
GSE265899,immune,47,47,-0.1801254825541011,0.22567881785881216,47,-0.3655236277752205,0.011519725288449169,47,-0.42416883563242325,0.002965007614602436,47,-0.27108451435429404,0.06531477023238806,47,-0.2603365562797093,0.07717247240914624,47,-0.03486859260999132,0.816009321700985,47,-0.3109928919751836,0.03336000140984783,47,-0.38233763229425716,0.007997010610266312,47,-0.27078453497340216,0.06562476482180911,47,-0.31232654949121186,0.032570946583205765
GSE289483,all_AOI,114,114,-0.4804290300881322,6.31913665200162e-08,114,-0.5111677712734642,6.195500319791192e-09,114,-0.5260192747465986,1.8529631462590686e-09,114,-0.5534594272931658,1.6984012354730731e-10,114,-0.6001859107702171,1.694917660567289e-12,114,-0.23738167557917733,0.010988315020735204,114,-0.22053480679501258,0.018382350330383625,114,-0.4656438613859849,1.7848423872761662e-07,114,-0.556162913174439,1.3262694519126083e-10,114,-0.6201426057455979,1.8694111339205888e-13
GSE289483,segmentation=CD45-,37,37,-0.33690949024864386,0.04144538851103275,37,-0.2838174293804144,0.08869051716477087,37,-0.32788051209103836,0.047578550661597996,37,-0.44016359510669056,0.0064059078522433885,37,-0.4385299378772568,0.00662835773312788,37,-0.1569557231137243,0.35355094134966875,37,-0.02560758761327047,0.8804150059020784,37,-0.4067334486428913,0.012482339054853348,37,-0.4899822203965132,0.0020818302402666865,37,-0.49122807017543857,0.0020197101383268865
GSE289483,segmentation=CD45+,24,24,-0.3992167096633131,0.05328868831785082,24,-0.6907351675620449,0.0001865785339113687,24,-0.6878260869565217,0.00020366940684417921,24,-0.44710530078977373,0.028487053948189595,24,-0.7155285583372569,8.473560707522121e-05,24,-0.190683662848998,0.37211661372405586,24,-0.5028273637920176,0.012267289802427257,24,-0.1468409725453154,0.4935368711001529,24,-0.5428820714723487,0.006121889143670998,24,-0.59969560017362,0.0019524155929471218
GSE289483,component=Sarcomatoid,45,45,0.11543022896364494,0.45020757729876065,45,-0.07280274144111167,0.6345986796074563,45,-0.09565217391304347,0.531948903382394,45,0.1254447237139155,0.41160107403711255,45,-0.0766240618063465,0.6168764774115276,45,0.04236394818699982,0.7823076801628398,45,0.03939913066224867,0.7972098433873424,45,0.1289366199097335,0.398599340471688,45,-0.15654236530686091,0.30446005968376133,45,-0.38985507246376805,0.008114011274933277
GSE289483,component=Adenocarcinomas,39,39,-0.5182186234817814,0.0007267021405020592,39,-0.41174089068825914,0.009205773005804633,39,-0.45587044534412957,0.0035393061470445474,39,-0.5856275303643724,8.983646033103661e-05,39,-0.41578947368421054,0.00847574698851919,39,-0.38117408906882594,0.0166588099116154,39,-0.3831983805668016,0.01604318449288674,39,-0.5257085020242915,0.0005884162126824527,39,-0.4445344129554656,0.004578919603393,39,-0.5724696356275304,0.00014005334883205708
GSE289483,component=Normal,25,25,-0.6074067640194829,0.0012811907613742796,25,-0.39969221893505946,0.04775503807743629,25,-0.5762646769418587,0.0025704712259276767,25,-0.5364462277784765,0.005701559797027104,25,-0.42318087534646465,0.03505103057622684,25,-0.5704935964040123,0.0029028942556606372,25,-0.3398807660548007,0.0964504759806759,25,0.03361670246480232,0.8732568908174977,25,0.027777786046867314,0.8951398121421931,25,-0.53,0.006429405519902756
GSE334014,all_AOI,184,184,-0.68303836095731,1.2599969333396139e-26,184,-0.6908109749094821,1.9789760611664736e-27,184,-0.71518609379804,3.999949029625067e-30,184,-0.6554729986395472,5.766362426890642e-24,184,-0.6648914729625783,7.649362187156709e-25,184,-0.6043662002439839,1.0527240647823202e-19,184,-0.598984485606151,2.6746332184171026e-19,184,-0.471896654383222,1.3609244400585215e-11,184,-0.48631663305856665,2.5852143894981446e-12,184,-0.7791243725455809,9.213183491202372e-39
