series,section,ring,n,CLDN4_vs_neiTB_n,CLDN4_vs_neiTB_rho,CLDN4_vs_neiTB_p,TACSTD2_vs_neiTB_n,TACSTD2_vs_neiTB_rho,TACSTD2_vs_neiTB_p,epi_vs_neiTB_n,epi_vs_neiTB_rho,epi_vs_neiTB_p,partial_CLDN4_vs_neiTB_ctrl_broad_n,partial_CLDN4_vs_neiTB_ctrl_broad_rho,partial_CLDN4_vs_neiTB_ctrl_broad_p,partial_TACSTD2_vs_neiTB_ctrl_broad_n,partial_TACSTD2_vs_neiTB_ctrl_broad_rho,partial_TACSTD2_vs_neiTB_ctrl_broad_p
GSE263196,SCLC3,1,3831,3831,-0.03593659829040728,0.026128877786986502,3831,0.09401632973273534,5.53724236288339e-09,3831,0.006853967745756838,0.6714977194330742,3831,-0.023595883123638087,0.14423632992733804,3831,0.0631742330952927,9.122969613170853e-05
GSE263196,SCLC3,2,3844,3844,-0.03802540055006974,0.018390492999279317,3844,0.08232123533342531,3.2057178730613797e-07,3844,0.0022807523972664975,0.8875848865992991,3844,-0.02178946517647566,0.17680186665732228,3844,0.057696134633147704,0.00034494001063801327
GSE263196,SCLC3,3,3844,3844,-0.028377303864405862,0.07854781036236942,3844,0.0738670439429975,4.550064622515816e-06,3844,0.008076956549533328,0.6166409740017081,3844,-0.011404621129717823,0.47964134568740896,3844,0.05197316861846523,0.0012664887635026616
GSE263196,SCLC4,1,2693,2693,-0.07697588061976188,6.369806463979875e-05,2693,0.3788384369845994,1.2009940996218347e-92,2693,0.10755440268342702,2.2051181809076694e-08,2693,0.09412401195116422,9.926943336648153e-07,2693,0.42663543898459083,1.422394907847146e-119
GSE263196,SCLC4,2,2709,2709,-0.05887541859019448,0.002172365584852395,2709,0.3897514031495451,5.531090907104381e-99,2709,0.12515073853676426,6.294990786357112e-11,2709,0.10974519502211336,1.0240768756856332e-08,2709,0.4352162671743032,1.27769724099189e-125
GSE263196,SCLC4,3,2709,2709,-0.04904018504094616,0.01068595549363493,2709,0.3919094941102293,3.7159106314307446e-100,2709,0.13265944137005353,4.145300971481269e-12,2709,0.11510585695720331,1.875360734984577e-09,2709,0.43719604772813153,7.089508912178903e-127
GSE263196,SCLC8,1,2997,2997,-0.13696054320678072,5.0636282683075144e-14,2997,0.29953078106859854,3.558823641361078e-63,2997,-0.012970835297460409,0.47781562002805794,2997,-0.13769665751477853,3.6999348804175463e-14,2997,0.21870314987196313,8.815309129679e-34
GSE263196,SCLC8,2,3013,3013,-0.10875826680210299,2.162415004016307e-09,3013,0.3106265556921476,2.1226311048783997e-68,3013,0.021277151933736575,0.2429812881109661,3013,-0.10672014522854575,4.2979005072569295e-09,3013,0.21919767189049102,4.20845318508622e-34
GSE263196,SCLC8,3,3024,3024,-0.12518430436483488,4.9034601658657146e-12,3024,0.28852318330618837,4.616116917556247e-59,3024,-0.0019210712840558933,0.9159014099649957,3024,-0.12425151178029856,7.058647435616399e-12,3024,0.20203304957756132,3.2055814537227805e-29
GSE263196,SCLC9,1,3509,3509,-0.14379201411735285,1.1359441599581128e-17,3509,0.09683182210867548,9.058605098948394e-09,3509,-0.09758366487830226,6.942317990531188e-09,3509,-0.11821842124869959,2.1401470606650988e-12,3509,0.13631553364928742,5.066046510876165e-16
GSE263196,SCLC9,2,3517,3517,-0.11079854330480303,4.434279166156088e-11,3517,0.10916995969255203,8.506727583007543e-11,3517,-0.06514265644357223,0.0001106472155819219,3517,-0.09109059411410551,6.253515569884008e-08,3517,0.14483309088551413,6.043666794079169e-18
GSE263196,SCLC9,3,3517,3517,-0.09354676335955987,2.729707687056703e-08,3517,0.11826132267273984,1.9838668206032183e-12,3517,-0.04548822752493671,0.006973960433805556,3517,-0.07866863220526078,2.9978091500875416e-06,3517,0.1477377743425471,1.288421488452875e-18
GSE263196,SCLC12,1,2443,2443,0.18354686902020204,5.947900020489688e-20,2443,0.18893291229784626,4.575839439850168e-21,2443,0.20442390757140128,1.848660865146808e-24,2443,0.1480285458942459,1.9327899131022663e-13,2443,0.13118623636414228,7.568632725878757e-11
GSE263196,SCLC12,2,2475,2475,0.14715784739801285,1.8752686393356998e-13,2475,0.12311408452309038,7.989076323717499e-10,2475,0.15357256250688509,1.567590190991773e-14,2475,0.10619668483214482,1.186718626611804e-07,2475,0.07416548655448227,0.0002217033464804438
GSE263196,SCLC12,3,2481,2481,0.14607250302983352,2.64373574310152e-13,2481,0.12453471744388422,4.841846312538552e-10,2481,0.14953754927763632,7.057893844582304e-14,2481,0.10008066008241762,5.88314697016058e-07,2481,0.07155079238409387,0.00036151190188240775
GSE273378,LM_SD_1216_1,1,2353,2353,0.14605652220334311,1.0846522682574726e-12,2353,0.1300464025643013,2.423030544217689e-10,2353,0.14858592446852212,4.3570257145065975e-13,2353,0.09719129118472189,2.321518087178073e-06,2353,0.07013875975242563,0.0006624703913686018
GSE273378,LM_SD_1216_1,2,2395,2395,0.17749754836198608,2.104456656442262e-18,2395,0.1411214866046603,3.992511968892934e-12,2395,0.17924391174417034,9.65212030759393e-19,2395,0.12348798947186017,1.3326412506588963e-09,2395,0.06292042355973748,0.0020652064269205466
GSE273378,LM_SD_1216_1,3,2392,2392,0.2117743516070259,1.1734335761357478e-25,2392,0.16086790853821642,2.4679663861086714e-15,2392,0.21501110744360263,2.050498291698585e-26,2392,0.14241690085927527,2.6077335365352673e-12,2392,0.06660086861674694,0.0011171236171247981
GSE273378,LM_SD_16,1,2693,2693,-0.14641678028644872,2.243755349106953e-14,2693,-0.060698813635034696,0.001625147266071365,2693,-0.12206421710775305,2.0808537354243223e-10,2693,-0.15963943879217588,7.815471463920062e-17,2693,-0.07072748449708578,0.0002394968258082128
GSE273378,LM_SD_16,2,2738,2738,-0.1360778544888855,8.650770356690731e-13,2738,-0.04824979673127173,0.01156877886681182,2738,-0.08961762268122322,2.6448357168875157e-06,2738,-0.15022437166100933,2.746483738960885e-15,2738,-0.057294889489662666,0.0027077708567378217
GSE273378,LM_SD_16,3,2749,2749,-0.1384184755939258,3.1175817202309313e-13,2749,-0.03250058226006483,0.08843526920917702,2749,-0.08298489482719681,1.3215261911945343e-05,2749,-0.15647397340656508,1.5679349894559583e-16,2749,-0.04966038872522061,0.009209926822113624
GSE273378,LM_SD_11,1,2690,2690,-0.21798281803780314,2.691577117182423e-30,2690,-0.1841327570929252,6.085610051689704e-22,2690,-0.26208020710859825,1.7051694064788381e-43,2690,-0.03686827802825892,0.05588360573561785,2690,-0.023945411000291805,0.2144083460415831
GSE273378,LM_SD_11,2,2712,2712,-0.2116073449952123,7.908350366509828e-29,2712,-0.16176411015160114,2.3273754479410683e-17,2712,-0.24282792865728273,1.0793759477184894e-37,2712,-0.03727581996865647,0.052259792459596485,2712,-0.007764179086691638,0.6860996217641272
GSE273378,LM_SD_11,3,2712,2712,-0.19683784493459144,4.301854605167708e-25,2712,-0.1446379245212693,3.77130986401811e-14,2712,-0.22163176561394168,1.5728308529973166e-31,2712,-0.03507086160610973,0.06783515281954641,2712,0.004569434966506946,0.8119948059492204
GSE273378,LM_SD_2,1,1627,1627,-0.1909632173093911,7.949406100756917e-15,1627,-0.09810137699703651,7.384395896689946e-05,1627,-0.17433176411042456,1.4338328178511545e-12,1627,0.03840214479518476,0.12153253322454488,1627,0.003634359437152253,0.8835395891623876
GSE273378,LM_SD_2,2,1687,1687,-0.13644258257338238,1.84118941544617e-08,1687,-0.044712384482083235,0.06635270275227076,1687,-0.11592897409751038,1.8047830527186655e-06,1687,0.07011962578292627,0.003958585939793582,1687,0.04378259851591294,0.07220609693922189
GSE273378,LM_SD_2,3,1715,1715,-0.09186505677966154,0.0001391630363553674,1715,-0.01393505530404927,0.5641465010831521,1715,-0.06588601349552745,0.006343332221954694,1715,0.09373336763356506,0.00010129469501163174,1715,0.059997224217451406,0.012952748996028022
GSE273378,LM_SD_3,1,3829,3829,-0.14345887731577772,4.647877490466453e-19,3829,-0.16284128350748603,3.637028761792048e-24,3829,-0.18627808977807417,3.082840510674177e-31,3829,-0.06476176628959651,6.0644356280796285e-05,3829,-0.08741283254993885,6.039846528196246e-08
GSE273378,LM_SD_3,2,3850,3850,-0.11114463197102165,4.660887515746626e-12,3850,-0.1448807969319153,1.6490228995454406e-19,3850,-0.15561124499745127,2.6934079012766933e-22,3850,-0.041157751292115664,0.010648585533825644,3850,-0.07839662292634196,1.114290391753025e-06
GSE273378,LM_SD_3,3,3853,3853,-0.10706309068749498,2.6888080124188535e-11,3853,-0.13135873352923436,2.6866526903606414e-16,3853,-0.14439280909304586,2.1146543289191415e-19,3853,-0.034964255787222474,0.029985683203987593,3853,-0.06138079669637536,0.00013761247268109054
GSE273378,LM_SD_4,1,3466,3466,-0.18931778876955954,2.4941543762052897e-29,3466,-0.28989472278229694,4.360125315155185e-68,3466,-0.2513233779497929,4.485413052109598e-51,3466,-0.031458481608900725,0.0640491756155002,3466,-0.18494389758658653,4.818777844875045e-28
GSE273378,LM_SD_4,2,3494,3494,-0.13185686913408973,5.057706669449538e-15,3494,-0.24150846852164312,1.4982806514654267e-47,3494,-0.19357183315160198,7.61506306823554e-31,3494,-0.0074441104523202285,0.6600308928471387,3494,-0.17329748891715333,5.835400678472483e-25
