series,section,n_spots,same_CLDN4_TB_n,same_CLDN4_TB_rho,same_CLDN4_TB_p,same_TACSTD2_TB_n,same_TACSTD2_TB_rho,same_TACSTD2_TB_p,same_epi_TB_n,same_epi_TB_rho,same_epi_TB_p,same_CLDN4_T_n,same_CLDN4_T_rho,same_CLDN4_T_p,same_CLDN4_B_n,same_CLDN4_B_rho,same_CLDN4_B_p,same_TACSTD2_T_n,same_TACSTD2_T_rho,same_TACSTD2_T_p,same_TACSTD2_B_n,same_TACSTD2_B_rho,same_TACSTD2_B_p,same_epi_T_n,same_epi_T_rho,same_epi_T_p,same_broad_TB_n,same_broad_TB_rho,same_broad_TB_p
GSE263196,SCLC3,3846,3846,-0.0007592953730277302,0.9624548404586639,3846,0.08140076965353513,4.305949314941266e-07,3846,0.030911724231685575,0.055255680982516146,3846,0.01598140074891359,0.32176093986594206,3846,-0.031680346351758135,0.0494667126584572,3846,0.05348458456582391,0.0009059840833283274,3846,0.08076538800377711,5.29444479960644e-07,3846,0.02994862190275474,0.06329545753602148,3846,0.028419370683092058,0.07802836687636068
GSE263196,SCLC4,2709,2709,-0.05873040080253251,0.0022279574155114356,2709,0.30156271265391094,4.567300583704864e-58,2709,0.0847130039126091,1.0098666873789975e-05,2709,0.006839550006955722,0.7219715212729024,2709,-0.09158530929948767,1.7999820647460438e-06,2709,0.2995921957092639,2.678945274679944e-57,2709,0.22471281350959071,2.3608845822123326e-32,2709,0.14067260443741914,1.9098992747607826e-13,2709,-0.26438095962948166,1.4719842310916505e-44
GSE263196,SCLC8,3030,3030,-0.10170072342661401,2.0185682150674695e-08,3030,0.25194082878824875,4.353583153929214e-45,3030,0.003620963225586176,0.8420782107628769,3030,-0.11658972223587646,1.218202922010423e-10,3030,-0.05052022552230845,0.005410223510232769,3030,0.2521310715907378,3.725560444819574e-45,3030,0.25644772723423026,1.048560371534543e-46,3030,-0.011770491080068854,0.5172004146428056,3030,0.01901476026939307,0.29540478634796835
GSE263196,SCLC9,3519,3519,-0.13423775169022034,1.279787856965139e-15,3519,0.0653219066062295,0.00010543287266103431,3519,-0.09854876847459218,4.678695690614321e-09,3519,-0.14271678198913942,1.7896193822621518e-17,3519,-0.05350355918241347,0.0014981596011959337,3519,0.05838338953401509,0.0005300427299701035,3519,0.057697197166492346,0.0006163822729069148,3519,-0.10933015420091714,7.884480633238437e-11,3519,-0.14338115694562373,1.2664880093773318e-17
GSE263196,SCLC12,2486,2486,0.1811254151449983,8.891734867902255e-20,2486,0.15385082557420568,1.2282000247489843e-14,2486,0.19067499345775762,8.778581977515093e-22,2486,0.17156662282816942,7.06046658331604e-18,2486,0.10169857544753222,3.74861465313228e-07,2486,0.1421871886290737,1.0631597063317856e-12,2486,0.06321529241663904,0.0016134120171791195,2486,0.17844695065872657,3.1056262673093113e-19,2486,0.24819423598840026,3.255249824635343e-36
GSE273378,LM_SD_1216_1,2400,2400,0.08910891717770884,1.231967935741055e-05,2400,0.08674011042250464,2.08873227100479e-05,2400,0.09028816075107697,9.425746545233144e-06,2400,0.08424127790601385,3.593708998783251e-05,2400,0.08494565565170331,3.088576649071253e-05,2400,0.10364940886622344,3.602811030445853e-07,2400,0.07584594010758566,0.00019993456416209763,2400,0.09263116078876453,5.4832901390720406e-06,2400,0.11060918156962657,5.5546747209666704e-08
GSE273378,LM_SD_16,2755,2755,-0.08311431754971692,1.2533698727847937e-05,2755,-0.0781826137567505,3.989564383291132e-05,2755,-0.09534452897678869,5.341922161010262e-07,2755,-0.07895113036062243,3.3452851576342134e-05,2755,-0.03378621725244765,0.0762161907833438,2755,-0.07112709362992697,0.00018670028548808604,2755,-0.04232975929456378,0.02629710203747457,2755,-0.0861513820714511,5.946278417119086e-06,2755,0.019452739811672417,0.30741060270157355
GSE273378,LM_SD_11,2724,2724,-0.17001500346075596,4.0917100909631173e-19,2724,-0.11077615532490842,6.758472262594576e-09,2724,-0.18657332810005806,9.280539746556015e-23,2724,-0.15571628553110894,3.000437806646552e-16,2724,-0.10755666117314834,1.830030245012108e-08,2724,-0.08133759048124119,2.1351981204362785e-05,2724,-0.08059206572455453,2.54042535994267e-05,2724,-0.15989287045605718,4.644820203826191e-17,2724,-0.34430963231888856,1.1507022936530892e-76
GSE273378,LM_SD_2,1728,1728,-0.17999464991932682,4.755139011924398e-14,1728,-0.11861150155258404,7.634620379597296e-07,1728,-0.18291166474861661,1.8202825228814022e-14,1728,-0.15426649139214485,1.1429379776075094e-10,1728,-0.11295662492140886,2.511511764553166e-06,1728,-0.10411545456513478,1.44666331877624e-05,1728,-0.08071550112173163,0.0007841408743225685,1728,-0.15866604109428756,3.291342345875247e-11,1728,-0.3124143325300961,1.9706815531457987e-40
GSE273378,LM_SD_3,3853,3853,-0.17005047678799434,2.17172017367737e-26,3853,-0.18135485928055703,7.611962149955774e-30,3853,-0.2131732340954397,7.703739055026637e-41,3853,-0.15353928331645164,9.303134551216776e-22,3853,-0.1044951444412665,7.926930081739761e-11,3853,-0.15372789878478252,8.288414538653721e-22,3853,-0.12406641585750396,1.0882632089287e-14,3853,-0.1869578903685482,1.2082962366922944e-31,3853,-0.29064140896616947,6.964478101968201e-76
