accession	matched_terms	category	is_ici	is_kd_ko	marker_terms	organism	gds_type	n_samples	platform	has_expression_matrix	matrix_n_rows	matrix_total_bytes	under_2gb	downloaded	matrix_files	pubmed_ids	ftp_matrix_url	title
GSE108417	CLDN4	marker-only	N	N	CLDN4	Mus musculus	Expression profiling by array	12	6246	Y	34760	2411724	Y	Y	GSE108417_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108417/matrix/	Airway epithelial barrier, mucins and inflammasome in distinct eosinophilic, neutrophilic and mixed inflammatory phenotypes of asthma
GSE111414	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	20	21290	N	0	3993	Y	Y	GSE111414_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111414/matrix/	KIR Polymorphism is Associated with Primary Resistance to PD-1 Blockade in Lung Cancer
GSE152590	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	8	22790	N	0	2150	Y	Y	GSE152590_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152590/matrix/	RNA seq data of CD8+ T cells in peripheral blood lymphocytes from melanoma and lung cancer patients
GSE165383	ICI	ICI	Y	N		Mus musculus	Other	12	19057	N	0	3891	Y	Y	GSE165383_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165383/matrix/	T-cell CX3CR1 expression as a dynamic blood-based biomarker of response to immune checkpoint inhibitors
GSE169688	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	16	24247	N	0	3686	Y	Y	GSE169688_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169688/matrix/	Inhibition of PGE2-EP2/EP4 signaling elicits anti-tumor immunity through reprograming of inflammatory myeloid cells and   suppression of mRegDC-Treg axis
GSE182261	ICI	ICI;KD/KO	Y	Y		Homo sapiens	Expression profiling by high throughput sequencing	6	28038	N	0	3174	Y	Y	GSE182261_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE182nnn/GSE182261/matrix/	RNA-seq of NIK Kockdown and control cells in lung metastatic human breast cancer cells established from MDA-MB-231 by orthotopic xenograft model
GSE182328	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	44	18573	N	0	3686	Y	Y	GSE182328_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE182nnn/GSE182328/matrix/	Intestinal Akkermansia muciniphila predicts clinical response to PD1 blockade in advanced non-small cell lung cancer patients [RNA-seq].
GSE186909	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	46	24247	N	0	5120	Y	Y	GSE186909_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186909/matrix/	The murine liver x receptor is selectively modulated by different ligands to differentially alter tumor-associated myeloid cells [bulk RNA-seq]
GSE186911	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	58	24247	N	0	5324	Y	Y	GSE186911_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186911/matrix/	The murine liver x receptor is selectively modulated by different ligands to differentially alter tumor-associated myeloid cells.
GSE190264	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	24	21103	N	0	4198	Y	Y	GSE190264_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190264/matrix/	MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [LLC1]
GSE190265	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	34	18573	N	0	3584	Y	Y	GSE190265_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190265/matrix/	MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France3]
GSE190266	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	70	24676	N	0	4915	Y	Y	GSE190266_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190266/matrix/	MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France4]
GSE206613	ICI	ICI	Y	N		Homo sapiens	Expression profiling by array	77	32069	Y	731	310272	Y	Y	GSE206613_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206613/matrix/	A novel gene signature unveils three distinct immune-metabolic rewiring patterns conserved across diverse tumor types and associated with outcome
GSE208614	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	34	17021;30172	N	0	6860	Y	Y	GSE208614-GPL17021_series_matrix.txt.gz;GSE208614-GPL30172_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE208nnn/GSE208614/matrix/	Inhibition of LSD1 with bomedemstat sensitizes small cell lung cancer to immune checkpoint blockade and T cell killing
GSE210340	ICI	ICI	Y	N		Mus musculus	Expression profiling by array	29	20775	Y	65929	3145728	Y	Y	GSE210340_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210340/matrix/	Effect of Non-small cell lung cancer (NSCLC) cell line conditioned medium (CM) on bone marrow-derived macrophages (BMDMs)
GSE225126	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	4	28330	N	0	2867	Y	Y	GSE225126_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE225nnn/GSE225126/matrix/	Combinational targeting CCL7 and Flt3L to promote the expansion and infiltration of cDC1 in tumors enhances T cell activation and anti-PD-1 therapy [Dendritic Cell]
GSE225163	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	8	28330	N	0	2969	Y	Y	GSE225163_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE225nnn/GSE225163/matrix/	Combinational targeting CCL7 and Flt3L to promote the expansion and infiltration of cDC1 in tumors enhances T cell activation and anti-PD-1 therapy [CD8 T]
GSE234818	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	42	24247	N	0	4608	Y	Y	GSE234818_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234818/matrix/	Faecalibaterium prausnitzii strain EXL01 boosts efficacy of Immune Checkpoint Inhibitors
GSE235048	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	15	11154	N	0	2355	Y	Y	GSE235048_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235048/matrix/	Multicolor spectral flow cytometry evaluation of peripheral blood mononuclear cells from NSCLC patients
GSE235122	ICI	ICI	Y	N		Homo sapiens	Methylation profiling by genome tiling array	81	23976	N	0	5529	Y	Y	GSE235122_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235122/matrix/	DNA methylation signatures correlate with response to immune checkpoint inhibitors in metastatic melanoma
GSE237087	ICI	ICI	Y	N		Homo sapiens	Methylation profiling by high throughput sequencing	68	24676;21697	N	0	9318	Y	Y	GSE237087-GPL21697_series_matrix.txt.gz;GSE237087-GPL24676_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE237nnn/GSE237087/matrix/	Cell-free DNA 5-hydroxymethylcytosine for immunotherapy response prediction in lung cancer
