source	interaction	pathway	ligand	receptor	n_sender_high	n_receiver_high	ligand_mean_high	receptor_mean_high	ligand_frac_high	receptor_frac_high	liana_score_high	cellchat_P_high	pass_expr_prop_high	n_sender_low	n_receiver_low	ligand_mean_low	receptor_mean_low	ligand_frac_low	receptor_frac_low	liana_score_low	cellchat_P_low	pass_expr_prop_low	dataset	donor	delta_liana	delta_cellchat	pass_either
cellchat	TNF_TNFRSF1B	TNF	TNF	TNFRSF1B	57	789	0.1113858893513679	0.1984076499938964	0.1578947368421052	0.1280101394169835	0.1548967696726322	0.0017744857413512	True	56	789	0.0632141679525375	0.1984076499938964	0.0714285714285714	0.1280101394169835	0.130810908973217	0.0	False	GSE131907	BRONCHO_11	0.0240858606994152	0.0017744857413512	True
cellchat	SPP1_CD44	SPP1	SPP1	CD44	57	789	1.6053282022476196	1.251315355300903	0.9473684210526316	0.6653992395437263	1.4283217787742617	0.7985247777396094	True	56	789	1.528057336807251	1.251315355300903	0.8392857142857143	0.6653992395437263	1.3896863460540771	0.7925298937514228	True	GSE131907	BRONCHO_11	0.0386354327201843	0.0059948839881865	True
cellchat	MDK_NCL	MK	MDK	NCL	57	789	1.62759530544281	0.5083385109901428	0.912280701754386	0.3193916349809886	1.0679669082164764	0.558840924649824	True	56	789	1.2019191980361938	0.5083385109901428	0.6071428571428571	0.3193916349809886	0.8551288545131683	0.4650243898711962	True	GSE131907	BRONCHO_11	0.2128380537033081	0.0938165347786277	True
cellchat	LGALS9_CD45	GALECTIN	LGALS9	PTPRC	57	789	0.5755075812339783	1.4761366844177246	0.6491228070175439	0.7629911280101395	1.0258221328258514	0.6147294286165096	True	56	789	0.3468213677406311	1.4761366844177246	0.375	0.7629911280101395	0.911479026079178	0.4349793929976028	True	GSE131907	BRONCHO_11	0.1143431067466735	0.1797500356189068	True
cellchat	LGALS9_CD44	GALECTIN	LGALS9	CD44	57	789	0.5755075812339783	1.251315355300903	0.6491228070175439	0.6653992395437263	0.9134114682674408	0.5674602762014963	True	56	789	0.3468213677406311	1.251315355300903	0.375	0.6653992395437263	0.7990683615207672	0.3876257476516766	True	GSE131907	BRONCHO_11	0.1143431067466735	0.1798345285498196	True
cellchat	FN1_CD44	FN1	FN1	CD44	57	789	0.3077078461647033	1.251315355300903	0.3859649122807017	0.6653992395437263	0.7795116007328033	0.3366488014623719	True	56	789	0.1879808157682418	1.251315355300903	0.2142857142857142	0.6653992395437263	0.7196480855345726	0.1795259375782115	True	GSE131907	BRONCHO_11	0.0598635151982307	0.1571228638841603	True
cellchat	COL1A1_CD44	COLLAGEN	COL1A1	CD44	57	789	0.0881444215774536	1.251315355300903	0.1929824561403508	0.6653992395437263	0.6697298884391785	0.1054485091707157	True	56	789	0.0346562601625919	1.251315355300903	0.0714285714285714	0.6653992395437263	0.6429858077317476	0.0	False	GSE131907	BRONCHO_11	0.0267440807074308	0.1054485091707157	True
cellchat	COL4A4_CD44	COLLAGEN	COL4A4	CD44	57	789	0.0550440736114978	1.251315355300903	0.1403508771929824	0.6653992395437263	0.6531797144562006	0.0492068180120841	True	56	789	0.0	1.251315355300903	0.0	0.6653992395437263	0.6256576776504517	0.0	False	GSE131907	BRONCHO_11	0.0275220368057489	0.0492068180120841	True
cellchat	COL6A1_CD44	COLLAGEN	COL6A1	CD44	57	789	0.1366221010684967	1.251315355300903	0.2105263157894736	0.6653992395437263	0.6939687281847	0.1411591353526574	True	56	789	0.1241568922996521	1.251315355300903	0.1785714285714285	0.6653992395437263	0.6877361238002777	0.0917815917795288	True	GSE131907	BRONCHO_11	0.0062326043844223	0.0493775435731286	True
cellchat	COL6A2_CD44	COLLAGEN	COL6A2	CD44	57	789	0.2197808772325515	1.251315355300903	0.2807017543859649	0.6653992395437263	0.7355481162667274	0.2430459052975122	True	56	789	0.0417280793190002	1.251315355300903	0.0714285714285714	0.6653992395437263	0.6465217173099518	0.0	False	GSE131907	BRONCHO_11	0.0890263989567756	0.2430459052975122	True
