dataset	donor	n_cells	n_malignant_like	n_cldn4_high	n_cldn4_low	n_tnk	cldn4_threshold	mean_cldn4_high	mean_cldn4_low	paired	scale
GSE131907	BRONCHO_11	3178	113	57	56	789	1.285055160522461	1.9607652425765991	0.32425543665885925	True	log1p_cp10k
GSE131907	BRONCHO_58	2813	191	191	0	1518	0.0	0.6138234734535217		False	log1p_cp10k
GSE131907	EBUS_06	2303	612	306	306	581	1.1513550281524658	1.9116992950439453	0.171808660030365	True	log1p_cp10k
GSE131907	EBUS_10	5144	165	83	82	1487	1.2376015186309814	2.01769757270813	0.46451908349990845	True	log1p_cp10k
GSE131907	EBUS_12	3115	120	60	60	335	1.3343538045883179	1.8747289180755615	0.4016414284706116	True	log1p_cp10k
GSE131907	EBUS_15	1105	159	159	0	464	0.0	0.5364866256713867		False	log1p_cp10k
GSE131907	EBUS_19	2112	2	2	0	1428	0.0	0.0		False	log1p_cp10k
GSE131907	EBUS_28	5182	2799	1400	1399	229	2.31676983833313	2.860201358795166	1.6251909732818604	True	log1p_cp10k
GSE131907	EBUS_49	1775	52	52	0	1137	0.0	0.5090106725692749		False	log1p_cp10k
GSE131907	EBUS_51	3275	3	3	0	1127	0.0	0.0		False	log1p_cp10k
GSE131907	EFFUSION_06	4884	154	154	0	3176	0.0	0.7216014862060547		False	log1p_cp10k
GSE131907	EFFUSION_11	2943	28	14	14	1927	2.0560426712036133	2.4471511840820312	1.386863350868225	True	log1p_cp10k
GSE131907	EFFUSION_12	4224	11	6	5	2000	1.4968080520629883	1.726723313331604	0.46542757749557495	False	log1p_cp10k
GSE131907	EFFUSION_13	4441	20	20	0	3145	0.0	0.0		False	log1p_cp10k
GSE131907	LUNG_T06	3426	5	3	2	1548	1.5128880739212036	2.4482736587524414	0.6055802702903748	False	log1p_cp10k
GSE131907	LUNG_T08	3765	1	1	0	2106	0.0	0.0		False	log1p_cp10k
GSE131907	LUNG_T18	3705	221	111	110	1054	1.9623750448226929	2.437974214553833	0.8936009407043457	True	log1p_cp10k
GSE131907	LUNG_T19	4361	13	13	0	1720	0.0	0.5997920632362366		False	log1p_cp10k
GSE131907	LUNG_T20	4021	153	153	0	2236	0.0	1.014987587928772		False	log1p_cp10k
GSE131907	LUNG_T25	4374	6	3	3	1592	1.02743399143219	2.2206342220306396	0.0	False	log1p_cp10k
GSE131907	LUNG_T28	4705	58	29	29	1535	2.1967544555664062	2.744039297103882	1.0422441959381104	True	log1p_cp10k
GSE131907	LUNG_T30	4094	1	1	0	1365	0.0	0.0		False	log1p_cp10k
GSE131907	LUNG_T31	5578	39	39	0	3395	0.0	0.5495666861534119		False	log1p_cp10k
GSE131907	LUNG_T34	3280	8	4	4	360	0.4865928590297699	1.7771854400634766	0.0	False	log1p_cp10k
GSE131907	NS_02	2313	131	66	65	986	1.0099493265151978	1.5348985195159912	0.22764387726783752	True	log1p_cp10k
GSE131907	NS_03	2990	2145	1073	1072	138	2.0820295810699463	2.531644821166992	1.349853277206421	True	log1p_cp10k
GSE131907	NS_04	1904	342	171	171	123	1.276780605316162	1.7868067026138306	0.4881846010684967	True	log1p_cp10k
GSE131907	NS_06	1070	77	39	38	369	0.46158015727996826	1.918631911277771	0.0	True	log1p_cp10k
GSE131907	NS_07	5730	3922	1961	1961	140	1.8559343814849854	2.339992046356201	1.1414803266525269	True	log1p_cp10k
GSE131907	NS_16	1317	63	63	0	374	0.0	0.03478637710213661		False	log1p_cp10k
GSE131907	NS_19	3300	403	202	201	354	0.9823944568634033	1.7015000581741333	0.10966449230909348	True	log1p_cp10k
GSE148071	P1	5317	3444	1722	1722	132	1.2670519351959229	1.9557833671569824	0.45082664489746094	True	log1p_cp10k
GSE148071	P10	3740	2360	1180	1180	54	1.0791373252868652	1.8429646492004395	0.32715484499931335	True	log1p_cp10k
GSE148071	P11	574	56	56	0	44	0.0	0.0657227635383606		False	log1p_cp10k
GSE148071	P12	891	2	1	1	61	2.804011344909668	3.39717173576355	2.210850954055786	False	log1p_cp10k
GSE148071	P13	938	54	27	27	99	1.9823386669158936	2.6725454330444336	1.1163098812103271	True	log1p_cp10k
GSE148071	P14	1808	865	865	0	29	0.0	0.3868083953857422		False	log1p_cp10k
GSE148071	P18	3314	1488	744	744	62	1.4057046175003052	2.1587469577789307	0.3326888680458069	True	log1p_cp10k
GSE148071	P19	453	50	25	25	45	1.8449389934539795	2.783933639526367	0.6214394569396973	True	log1p_cp10k
GSE148071	P22	644	142	71	71	198	2.4332451820373535	3.0431649684906006	1.3347129821777344	True	log1p_cp10k
GSE148071	P23	2387	1543	1543	0	26	0.0	0.6506680846214294		False	log1p_cp10k
GSE148071	P24	386	81	81	0	66	0.0	0.9437896609306335		False	log1p_cp10k
GSE148071	P26	570	65	33	32	76	2.377835988998413	3.062952995300293	0.6121666431427002	True	log1p_cp10k
