source	interaction	pathway	ligand	receptor	n_patients	n_cohorts	median_delta	mean_delta	n_pos	n_neg	wilcoxon_p	re_k	re_mu	re_p	re_I2	cohorts	fdr
cellchat	MDK_NCL	MK	MDK	NCL	32	3	0.048428171823086785	0.09579852971479028	29	3	2.0023435354232788e-08	2	0.08347568977591306	0.0062594524458559585	48.13607992767882	GSE131907+GSE148071	1.4617107808589935e-06
cellchat	CD55_ADGRE5	ADGRE	CD55	ADGRE5	25	3	0.02725179068756614	0.045702019282897736	22	3	5.3882598876953125e-05	2	0.03887882529422986	0.12344387277388162	89.6992928072714	GSE131907+GSE148071	0.001966714859008789
cellchat	ICAM1_SPN	ICAM	ICAM1	SPN	24	2	0.033329766734480556	0.03251808891542224	20	2	0.000983294316905701	2	0.03683737851944948	0.19890236842848275	66.58580673377173	GSE131907+GSE148071	0.023926828378038723
cellchat	CXCL16_CXCR6	CXCL	CXCL16	CXCR6	16	2	0.003935701138662876	0.010048986190905029	13	3	0.00213623046875	2	0.007070761471437587	0.2476607950464521	76.19504377518612	GSE131907+GSE148071	0.0389862060546875
cellchat	LGALS9_P4HB	GALECTIN	LGALS9	P4HB	19	3	0.01905256644679565	0.037634867872682644	15	3	0.002852521233431342	2	0.027021542853747034	0.3329283966212313	86.16574656695617	GSE131907+GSE148071	0.0416468100080976
cellchat	LGALS9_CD44	GALECTIN	LGALS9	CD44	22	3	0.02196586525378813	0.06415376552534384	17	5	0.004151344299316406	2	0.05326488966717801	0.2690617284875526	81.32155378349803	GSE131907+GSE148071	0.05050802230834961
cellchat	HLA-B_CD8A	MHC-I	HLA-B	CD8A	24	3	0.021941166336144388	0.016333741202644414	19	5	0.006516098976135254	2	0.017384196860202445	0.410908216024081	73.78211465931687	GSE131907+GSE148071	0.0642440848880344
cellchat	LAMA5_CD44	LAMININ	LAMA5	CD44	25	3	0.03463886294904066	0.06220811525828942	17	8	0.007370948791503906	2	0.049423906703674976	0.4879110257398408	96.77493863770766	GSE131907+GSE148071	0.0642440848880344
cellchat	HLA-E_CD8A	MHC-I	HLA-E	CD8A	24	3	0.029195824736284424	0.02118580700524951	19	5	0.007920503616333008	2	0.01673387459752524	0.1957694846874758	0.0	GSE131907+GSE148071	0.0642440848880344
cellchat	APP_SORL1	APP	APP	SORL1	14	3	0.008970703767697284	0.02983224701532073	11	3	0.0107421875	2	0.013131480811600267	0.29108748021842246	64.52075879627695	GSE131907+GSE148071	0.07485536485910416
cellchat	LPAR2_ADGRE5	ADGRE	LPAR2	ADGRE5	13	2	0.006914622927237771	0.016099010342648597	11	2	0.013427734375	1				GSE131907	0.07485536485910416
cellchat	HLA-C_CD8A	MHC-I	HLA-C	CD8A	24	3	0.020618493150363272	0.022160449114460436	19	5	0.013779282569885254	2	0.02407346830271453	0.0031249043594185574	0.0	GSE131907+GSE148071	0.07485536485910416
cellchat	THBS3_CD47	THBS	THBS3	CD47	7	1	0.013023905879824198	0.026767277194451787	7	0	0.015625	1				GSE131907	0.07485536485910416
cellchat	HLA-E_KLRC1	MHC-I	HLA-E	KLRC1	7	2	0.021632812260661105	0.029469915125922556	7	0	0.015625	1				GSE131907	0.07485536485910416
cellchat	COL9A2_CD44	COLLAGEN	COL9A2	CD44	7	2	0.026491835205570656	0.04000812026717554	7	0	0.015625	1				GSE131907	0.07485536485910416
cellchat	HLA-A_CD8A	MHC-I	HLA-A	CD8A	24	3	0.016274966744498742	0.018104591531177553	20	4	0.016406655311584473	2	0.02002578473609926	0.04437258507143695	41.51748414311905	GSE131907+GSE148071	0.07485536485910416
cellchat	CLEC2B_KLRB1	CLEC	CLEC2B	KLRB1	19	2	0.023974817113734545	0.02810430574230911	15	4	0.0180816650390625	2	0.02550188312622805	0.37666401347304324	88.56812303919675	GSE131907+GSE148071	0.07764479693244486
cellchat	IGFBP3_TMEM219	IGFBP	IGFBP3	TMEM219	22	2	0.029788761046352964	0.03743036927190388	16	6	0.020858287811279297	2	0.028519810674180936	0.15534228904399625	31.7106986994615	GSE131907+GSE148071	0.08013973738017835
cellchat	LGALS9_CD45	GALECTIN	LGALS9	PTPRC	22	3	0.03578940590633591	0.0754239876838259	17	5	0.020858287811279297	2	0.09432990094496499	0.01092031610896814	0.0	GSE131907+GSE148071	0.08013973738017835
