contrast	n	rho	p	q
CLDN4 vs pseudotime	82	-0.1254775198354393	0.26133140530506094	0.26133140530506094
CLDN4 vs AT2 score	82	0.15871616547490777	0.1543836965308738	0.17368165859723303
CLDN4 vs club score	82	0.17585886015247248	0.1140231705698265	0.14660121930406264
CLDN4 vs basal score	82	0.4350518605587663	4.417785967206228e-05	6.626678950809342e-05
CLDN4 vs barrier/keratin (no CLDN4)	82	0.5175063397220319	6.405439433980577e-07	1.44122387264563e-06
CLDN4 vs malignant-like score	82	0.6013103906139463	2.319802298252165e-09	6.959406894756495e-09
CLDN4 vs TACSTD2 (comparator)	82	0.6326552823761169	1.8154816640123365e-10	8.169667488055514e-10
SFTPC vs pseudotime (control)	82	-0.47159130331406407	7.742060553306118e-06	1.393570899595101e-05
AT2 score vs pseudotime (control)	82	-0.6822411597609952	1.6929644997659243e-12	1.523668049789332e-11
