contrast	n	rho	p
GSE123902-only CLDN4 vs pseudotime	17	-0.27450980392156865	0.28629837865879204
GSE131907-only CLDN4 vs pseudotime	43	0.13772274237390514	0.3784782022605338
GSE205335-only CLDN4 vs pseudotime	22	0.09090909090909091	0.6874290975505298
GSE123902-only CLDN4 vs AT2	17	0.5588235294117647	0.01970856591580171
GSE131907-only CLDN4 vs AT2	43	-0.18196919359710056	0.24285841721019977
GSE205335-only CLDN4 vs AT2	22	0.10220214568040656	0.6508533489140009
GSE123902-only CLDN4 vs barrier/keratin (no CLDN4)	17	0.7892156862745099	0.0001655070600781188
GSE131907-only CLDN4 vs barrier/keratin (no CLDN4)	43	0.44019933554817275	0.003137019632779142
GSE205335-only CLDN4 vs barrier/keratin (no CLDN4)	22	0.27272727272727276	0.2194550778840765
tLung/PRIMARY-only CLDN4 vs pseudotime	19	-0.3245614035087719	0.17518568656196803
nLung/NORMAL-only CLDN4 vs pseudotime	15	-0.125	0.6571356681869506
tumor-only (drop nLung/NORMAL) CLDN4 vs pseudotime	67	-0.16278234495969351	0.1881223467303002
GSE205335 ADC+SQ CLDN4 vs pseudotime	17	-0.06862745098039216	0.7935424429160596
