leiden	n_cells	n_units	n_GSE123902	n_GSE131907	n_GSE205335	top_subtype	mean_CLDN4	mean_AT2	mean_barrier_keratin	mean_pseudotime
0	1944	70	259	1025	660	Malignant cells	0.6062814846003468	0.40913444691838563	1.3758366141867784	24.066845058792076
1	697	52	593	60	44	marker_epithelial	0.19822847387698295	0.29869336937724333	0.6584852673409134	39.913175310197666
2	579	22	532	47	0	AT2_like	0.06842709853803247	0.3266982557411049	0.40459274665456746	63.20393087949422
3	1182	17	289	729	164	Malignant cells	1.4204116286254647	0.9009058488561755	1.8672079497296665	33.36224902277944
4	1714	67	925	157	632	marker_epithelial	0.14274308298805657	0.27757797639513837	0.3626019341464169	47.75180464640203
5	1071	39	82	772	217	Malignant cells	1.81997226823071	0.5779540328865324	1.5677949399321318	22.440636134651676
6	657	48	27	475	155	Malignant cells	1.4456160683832586	0.6186703623711637	1.6180843485232614	32.714678903544964
7	2534	33	232	2227	75	AT2	0.9037434771865345	3.9724493501164173	0.6569623980337314	5.288630535293585
8	532	35	9	154	369	Malignant cells	0.9121092900065256	0.04262046327739129	0.8442194255963117	26.43933193566662
9	138	34	99	26	13	marker_epithelial	0.14666359874322327	0.1833636339101781	0.4770364050780875	53.16514312774379
10	409	7	3	281	125	tS2	2.067716196089833	0.17406856113681118	1.7097287284853522	31.360196537999958
11	706	31	242	365	99	Malignant cells	0.711032582853423	1.5989519640597818	0.6760687036296394	33.32469436553063
12	2104	50	436	1444	224	tS1	1.535849728012828	1.7570637153528963	1.1891000885495662	15.826406639354797
13	1047	46	104	291	652	Malignant cells	1.3246181652124585	0.29521469989522464	1.386580975323577	25.734586422003805
14	976	50	114	621	241	Ciliated	1.803649244822939	0.3060267452301557	1.0615427262339598	86.42518588514041
15	160	2	0	156	4	Malignant cells	1.4001022520770416	0.33718837520107836	2.2481681629389216	57.331273588013026
16	544	8	170	40	334	Malignant cells	1.7863075931766612	0.22651998413707175	1.3243229737152102	54.26191857084727
17	506	26	166	333	7	AT1	1.2607998637843625	0.5583248610372343	1.6500151299967651	45.16942631786554
18	421	12	2	74	345	Malignant cells	1.2628864363518855	0.0600956602687726	0.930030660127489	48.99597521533459
19	475	4	202	120	153	Malignant cells	1.6784173133786016	0.17341609802070126	1.753309143179146	46.511225239351305
20	737	9	23	77	637	Malignant cells	0.7226617954336519	0.016487985345040777	1.6592336452030536	38.665563590570244
21	490	11	18	460	12	Malignant cells	1.4470621731161961	0.30993647576699696	0.9788428609078564	34.994574306638626
22	492	3	216	268	8	Malignant cells	1.3846259857746088	0.8913799999204833	1.5406892680275812	41.24493089106974
23	464	7	6	332	126	Malignant cells	2.3251172522842505	0.3269490375159462	2.0382969956081762	37.18681831285093
24	188	3	10	103	75	tS2	1.501813425908312	0.3866729754486793	1.9905314235571996	36.67734723620394
25	350	1	0	350	0	Malignant cells	2.1390654831381473	0.039505219761560316	1.5865251730089023	51.49464148252091
26	345	2	0	345	0	Malignant cells	0.0007658586561491296	0.025024967153170142	0.01832915884552506	51.77286377803362
27	939	9	0	351	588	Malignant cells	1.663177578401567	0.24428722144845494	1.3078105906256672	43.89782458054875
28	303	1	0	303	0	Malignant cells	1.3176188842174292	1.175208589642783	1.7211901693757705	50.26152218606553
29	344	1	0	0	344	Malignant cells	1.5586319696428408	0.06300572659021306	0.566040198166849	87.67869740779047
30	347	1	0	0	347	Malignant cells	1.6845697980485037	0.00571936622112051	0.614195405421089	70.45986385658279
31	329	1	0	0	329	Malignant cells	0.9792788063064465	0.014957352791536496	0.7840995860569708	55.940765128493204
