dataset	family	n	rho	p_exact	p_asymp	usable
GSE154977	IFN	4	1	0.0833333333333333	0	TRUE
GSE154977	MHC	4	0.8	0.333333333333333	0.2	TRUE
GSE180963	IFN	2	NA	NA	NA	FALSE
GSE180963	MHC	2	NA	NA	NA	FALSE
