mouse	dataset	gsm	genotype	arm	treatment	design	tnk_honest	n_cells	n_epi	n_tnk	frac_tnk	frac_epi	frac_ptprc	Cldn4_all_mean	Cldn4_all_pctpos	Cldn4_epi_mean	Cldn4_epi_pctpos	IFN_epi_mean	MHC_epi_mean	percent_mt_mean
KP_30w_Cis72_m5	GSE154977	GSM4685283	KP	KP	Cis72	FACS_CD45neg_tumor	FALSE	2065	1917	1	NA	0.928329297820823	0.00290556900726392	0.541081127682419	56.1743341404358	0.563227734265583	58.8419405320814	0.0488578646763152	0.490679817044442	5.1311867813898
KP_30w_Cis72_m6	GSE154977	GSM4685284	KP	KP	Cis72	FACS_CD45neg_tumor	FALSE	999	920	0	NA	0.920920920920921	0.004004004004004	0.833026375582651	63.5635635635636	0.864860156771568	66.8478260869565	0.0788449874784054	0.53973025853735	5.42301648035882
KP_30w_ND_m3	GSE154977	GSM4685281	KP	KP	ND	FACS_CD45neg_tumor	FALSE	3945	3668	0	NA	0.9297845373891	0.0073510773130545	0.314966772236136	35.9695817490494	0.322866132903925	37.5681570338059	0.0390452426768437	0.448595272932605	5.4603520703729
KP_30w_ND_m4	GSE154977	GSM4685282	KP	KP	ND	FACS_CD45neg_tumor	FALSE	4008	3778	0	NA	0.942614770459082	0.00698602794411178	0.631391935066419	59.7804391217565	0.642045641266843	61.2228692429857	0.0533769449565844	0.454708730479655	4.42204004861522
K	GSE180963	GSM5481386	KrasG12D/+	K	ND	whole_tumor_mixed_library	TRUE	6696	28	3634	0.542712066905615	0.0041816009557945	0.82810633213859	0.000113838407593479	0.0149342891278375	0.0272236420444978	3.57142857142857	0.124025393918636	0.826989423703901	3.8485831745294
KL	GSE180963	GSM5481387	KrasG12D/+;Lkb1fl/fl	KL	ND	whole_tumor_mixed_library	TRUE	7564	174	3818	0.504759386567953	0.0230037017451084	0.822712850343733	0.0031704817967401	0.330512956107879	0.0977711867088512	9.77011494252874	0.261441989227157	1.69651149629535	3.82795924807694
