left_out_dataset	kept_dataset	n	IFN_rho	IFN_p_exact	IFN_usable	MHC_rho	MHC_p_exact	MHC_usable	note
GSE154977	GSE180963	2	NA	NA	FALSE	NA	NA	FALSE	locked: n < 4
GSE180963	GSE154977	4	1	0.0833333333333333	TRUE	0.8	0.333333333333333	TRUE	usable
