dataset	mouse	compartment	Freq
GSE180963	K	epithelial	28
GSE180963	KL	epithelial	174
GSE154977	KP_30w_Cis72_m5	epithelial	1917
GSE154977	KP_30w_Cis72_m6	epithelial	920
GSE154977	KP_30w_ND_m3	epithelial	3668
GSE154977	KP_30w_ND_m4	epithelial	3778
GSE180963	K	other	3034
GSE180963	KL	other	3572
GSE154977	KP_30w_Cis72_m5	other	147
GSE154977	KP_30w_Cis72_m6	other	79
GSE154977	KP_30w_ND_m3	other	277
GSE154977	KP_30w_ND_m4	other	230
GSE180963	K	T/NK	3634
GSE180963	KL	T/NK	3818
GSE154977	KP_30w_Cis72_m5	T/NK	1
