left_out	left_out_dataset	n	IFN_rho	IFN_p_exact	IFN_usable	MHC_rho	MHC_p_exact	MHC_usable	IFN_rho_dataset_adj	IFN_adj_usable	MHC_rho_dataset_adj	MHC_adj_usable
KP_30w_Cis72_m5	GSE154977	5	-0.5	0.45	TRUE	-0.5	0.45	TRUE	0.8	TRUE	0.8	TRUE
KP_30w_Cis72_m6	GSE154977	5	-0.5	0.45	TRUE	-0.6	0.35	TRUE	0.6	TRUE	0.5	TRUE
KP_30w_ND_m3	GSE154977	5	-0.5	0.45	TRUE	-0.6	0.35	TRUE	0.6	TRUE	0.5	TRUE
KP_30w_ND_m4	GSE154977	5	-0.5	0.45	TRUE	-0.5	0.45	TRUE	0.8	TRUE	0.8	TRUE
K	GSE180963	5	0	1	TRUE	-0.1	0.95	TRUE	0.9	TRUE	0.6	TRUE
KL	GSE180963	5	0	1	TRUE	-0.1	0.95	TRUE	0.9	TRUE	0.6	TRUE
