predictor	endpoint	n_unadjusted	unadj_rho	unadj_p	n_partial	partial_rho	partial_p	covariate	note
CLDN4	CD274	226	-0.2839556612477746	1.4597380235113465e-05	226	-0.0866747137655612	0.19521044653129482	ESTIMATEScore (Stromal+Immune)	rank-equivalent to TumorPurity residual on this cohort
CLDN4	CD274	226	-0.2839556612477746	1.4597380235113465e-05	226	-0.08667471376556116	0.19521044653129516	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	rank-equivalent to ESTIMATEScore residual on this cohort
CLDN4	HLA-A	226	-0.09188101828388756	0.1686579967487905	226	-0.052430361577319756	0.4338541214177431	ESTIMATEScore (Stromal+Immune)	rank-equivalent to TumorPurity residual on this cohort
CLDN4	HLA-A	226	-0.09188101828388756	0.1686579967487905	226	-0.05243036157731972	0.4338541214177433	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	rank-equivalent to ESTIMATEScore residual on this cohort
CLDN4	HLA-B	226	-0.05812015126115941	0.3845037975711898	226	0.006772687650315156	0.9195301112250296	ESTIMATEScore (Stromal+Immune)	rank-equivalent to TumorPurity residual on this cohort
CLDN4	HLA-B	226	-0.05812015126115941	0.3845037975711898	226	0.0067726876503151415	0.9195301112250297	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	rank-equivalent to ESTIMATEScore residual on this cohort
CLDN4	HLA-C	226	-0.13833222876301118	0.037703928992764334	226	-0.041936313129695126	0.5314353570935078	ESTIMATEScore (Stromal+Immune)	rank-equivalent to TumorPurity residual on this cohort
CLDN4	HLA-C	226	-0.13833222876301118	0.037703928992764334	226	-0.04193631312969515	0.5314353570935074	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	rank-equivalent to ESTIMATEScore residual on this cohort
CLDN4	MHC1_HLAabc	226	-0.10011149662781178	0.133502462894355	226	-0.028173061621129935	0.6742476126598329	ESTIMATEScore (Stromal+Immune)	rank-equivalent to TumorPurity residual on this cohort
CLDN4	MHC1_HLAabc	226	-0.10011149662781178	0.133502462894355	226	-0.028173061621129956	0.6742476126598327	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	rank-equivalent to ESTIMATEScore residual on this cohort
CLDN4	ImmuneScore	226	-0.36551505464374356	1.5001713370629505e-08	226	-0.03144485819848328	0.6389539937914123	ESTIMATEScore (Stromal+Immune)	context only; ImmuneScore is an addend of ESTIMATEScore; not a CD8 re-cut
CLDN4	StromalScore	226	-0.3434766675763128	1.1772844744724326e-07	226				
CLDN4	TumorPurity	226	0.3949127389445506	7.462258096110562e-10	226				
CLDN4	ESTIMATEScore	226	-0.3949127389445506	7.462258096110562e-10	226				
CD274	ImmuneScore	226	0.6176637687939391	3.6466429751235716e-25	226				context
MHC1_HLAabc	ImmuneScore	226	0.3044980702506725	3.109620944673348e-06	226				context
CD274	MHC1_HLAabc	226	0.2400265096877315	0.00027077704476971386	226	0.1657591508906059	0.012781985195494366	ESTIMATEScore (Stromal+Immune)	context
CLDN4	CD274	18	-0.03199174406604747	0.8997186782888819	18	-0.28211730430847876	0.27260841593902946	ESTIMATEScore; TumorPurity in [0,1]	sensitivity; n=18 of 226
CLDN4	HLA-A	18	0.05675954592363261	0.8229893024799763	18	0.09274687805737956	0.7233074531744436	ESTIMATEScore; TumorPurity in [0,1]	sensitivity; n=18 of 226
CLDN4	HLA-B	18	0.2714138286893705	0.27595238461589006	18	0.3886388443975856	0.12314951251441365	ESTIMATEScore; TumorPurity in [0,1]	sensitivity; n=18 of 226
CLDN4	HLA-C	18	0.23839009287925697	0.340779724454077	18	0.24839300167851436	0.336389638930152	ESTIMATEScore; TumorPurity in [0,1]	sensitivity; n=18 of 226
