file	role	size_bytes	size_gb	within_2gb_budget	action	url
GSE207422_NSCLC_scRNAseq_UMI_matrix.txt.gz	processed_umi	184001817	0.171	True	download	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207422/suppl/GSE207422_NSCLC_scRNAseq_UMI_matrix.txt.gz
GSE207422_NSCLC_scRNAseq_metadata.xlsx	sample_metadata	11323	0.0	True	download	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207422/suppl/GSE207422_NSCLC_scRNAseq_metadata.xlsx
