n_a	n_b	mean_a	mean_b	median_a	median_b	delta_mean_a_minus_b	mwu_u	exact_p	n_enumerated	note	contrast	rank_score	immune	k_per_tail	q4_patients	q1_patients
2	2	0.4182732408870807	0.4041455223253496	0.4182732408870807	0.4041455223253496	0.014127718561731062	2.0	1.0	6		Q4 vs Q1 (A3-malignant CLDN4 mean): T/NK fraction	mal_cldn4_mean_log1p_cp10k	frac_T_NK	2	P09,P13	P06,P12
2	2	0.1685527543085042	0.10832356675245935	0.1685527543085042	0.10832356675245935	0.06022918755604484	2.0	1.0	6		Q4 vs Q1 (A3-malignant CLDN4 mean): CXCL13+ fraction	mal_cldn4_mean_log1p_cp10k	frac_CXCL13_pos	2	P09,P13	P06,P12
2	2	0.12340173613328351	0.10998725308921142	0.12340173613328351	0.10998725308921142	0.013414483044072084	2.0	1.0	6		Q4 vs Q1 (A3-malignant CLDN4 mean): cyto-high T fraction	mal_cldn4_mean_log1p_cp10k	frac_cyto_high_T	2	P09,P13	P06,P12
2	2	2.202637413713151	0.3056185379868825	2.202637413713151	0.3056185379868825	1.8970188757262685	4.0	0.3333333333333333	6		Q4 vs Q1 (A3-malignant CLDN4 mean): ranking score itself	mal_cldn4_mean_log1p_cp10k	mal_cldn4_mean_log1p_cp10k	2	P09,P13	P06,P12
2	2	0.14909931932887355	0.4041455223253496	0.14909931932887355	0.4041455223253496	-0.25504620299647607	0.0	0.3333333333333333	6		Q4 vs Q1 (A3-malignant CLDN4 %pos): T/NK fraction	mal_cldn4_pct_pos	frac_T_NK	2	P07,P13	P06,P12
2	2	0.013070451269032841	0.10832356675245935	0.013070451269032841	0.10832356675245935	-0.09525311548342652	0.0	0.3333333333333333	6		Q4 vs Q1 (A3-malignant CLDN4 %pos): CXCL13+ fraction	mal_cldn4_pct_pos	frac_CXCL13_pos	2	P07,P13	P06,P12
2	2	0.028103151581608036	0.10998725308921142	0.028103151581608036	0.10998725308921142	-0.08188410150760339	0.0	0.3333333333333333	6		Q4 vs Q1 (A3-malignant CLDN4 %pos): cyto-high T fraction	mal_cldn4_pct_pos	frac_cyto_high_T	2	P07,P13	P06,P12
2	2	96.82143970084138	25.0	96.82143970084138	25.0	71.82143970084138	4.0	0.3333333333333333	6		Q4 vs Q1 (A3-malignant CLDN4 %pos): ranking score itself	mal_cldn4_pct_pos	mal_cldn4_pct_pos	2	P07,P13	P06,P12
3	3	0.3695387165416115	0.43910041352059387	0.435488161745145	0.5297548331353278	-0.06956169697898235	2.0	0.4	20		Q4 vs Q1 (epithelial CLDN4 mean): T/NK fraction	epi_cldn4_mean_log1p_cp10k	frac_T_NK	3	P02,P11,P13	P03,P10,P12
3	3	0.025911451681106052	0.16559327638152563	0.0297951582867784	0.20246876411259973	-0.13968182470041957	0.0	0.1	20		Q4 vs Q1 (epithelial CLDN4 mean): CXCL13+ fraction	epi_cldn4_mean_log1p_cp10k	frac_CXCL13_pos	3	P02,P11,P13	P03,P10,P12
3	3	0.04793149375894517	0.11766437789321704	0.046349770472382645	0.14731612485149584	-0.06973288413427187	1.0	0.2	20		Q4 vs Q1 (epithelial CLDN4 mean): cyto-high T fraction	epi_cldn4_mean_log1p_cp10k	frac_cyto_high_T	3	P02,P11,P13	P03,P10,P12
3	3	1.8876114743218064	0.9973965486712736	1.897160791447758	1.0621327238825644	0.8902149256505328	9.0	0.1	20		Q4 vs Q1 (epithelial CLDN4 mean): ranking score itself	epi_cldn4_mean_log1p_cp10k	epi_cldn4_mean_log1p_cp10k	3	P02,P11,P13	P03,P10,P12
3	3	0.24456226680096402	0.47466915652803676	0.1904338812379683	0.5834713231973506	-0.23010688972707274	1.0	0.2	20		Q4 vs Q1 (epithelial CLDN4 %pos): T/NK fraction	epi_cldn4_pct_pos	frac_T_NK	3	P07,P11,P13	P04,P10,P12
3	3	0.01864535360828136	0.1268667802749288	0.01332741003998223	0.11764705882352941	-0.10822142666664743	0.0	0.1	20		Q4 vs Q1 (epithelial CLDN4 %pos): CXCL13+ fraction	epi_cldn4_pct_pos	frac_CXCL13_pos	3	P07,P11,P13	P04,P10,P12
3	3	0.04560428248563706	0.11761830277601208	0.046349770472382645	0.14717789949988092	-0.07201402029037501	1.0	0.2	20		Q4 vs Q1 (epithelial CLDN4 %pos): cyto-high T fraction	epi_cldn4_pct_pos	frac_cyto_high_T	3	P07,P11,P13	P04,P10,P12
3	3	96.0891623882792	67.5884513186665	96.42857142857143	63.37448559670782	28.500711069612706	9.0	0.1	20		Q4 vs Q1 (epithelial CLDN4 %pos): ranking score itself	epi_cldn4_pct_pos	epi_cldn4_pct_pos	3	P07,P11,P13	P04,P10,P12
