n_a	n_b	mean_a	mean_b	median_a	median_b	delta_mean_a_minus_b	mwu_u	exact_p	n_enumerated	note	contrast	score
8	2	1.4862174361950993	0.5118862310873915	1.5310523189686185	0.5118862310873915	0.9743312051077078	14.0	0.17777777777777778	45		NMPR vs MPR: A3-malignant CLDN4 mean log1p(CP10k)	mal_cldn4_mean_log1p_cp10k
8	2	72.31119236658799	38.069705093833775	68.87254901960785	38.069705093833775	34.24148727275421	11.0	0.5333333333333333	45		NMPR vs MPR: A3-malignant CLDN4 %pos	mal_cldn4_pct_pos
8	4	1.5130757521623832	1.508494143319755	1.6099908233713045	1.5373415289743493	0.00458160884262826	17.0	0.9333333333333333	495		NMPR vs MPR: epithelial CLDN4 mean log1p(CP10k)	epi_cldn4_mean_log1p_cp10k
8	4	81.37152414976137	89.04335126682473	85.74538488331592	89.04036353916064	-7.6718271170633585	12.0	0.5696969696969697	495		NMPR vs MPR: epithelial CLDN4 %pos	epi_cldn4_pct_pos
7	1	1.2295338317685756	0.9696613446652775	1.2231300934251168	0.9696613446652775				0	too_few_samples	NMPR vs MPR: broad-malignant CLDN4 mean log1p(CP10k)	malb_cldn4_mean_log1p_cp10k
7	1	61.18305139733712	69.76320582877959	56.25	69.76320582877959				0	too_few_samples	NMPR vs MPR: broad-malignant CLDN4 %pos	malb_cldn4_pct_pos
8	2	1.6097423021684525	1.4662638232835294	1.86519092489887	1.4662638232835294	0.14347847888492304	8.0	1.0	45		NMPR vs MPR: A3-malignant TACSTD2 mean log1p(CP10k) [companion]	mal_tacstd2_mean_log1p_cp10k
8	2	71.84023663091513	85.656836461126	76.7156862745098	85.656836461126	-13.816599830210876	5.5	0.7111111111111111	45		NMPR vs MPR: A3-malignant TACSTD2 %pos [companion]	mal_tacstd2_pct_pos
8	4	1.6416781376078684	1.331847377206089	1.7087788621036228	1.336931688560238	0.30983076040177937	24.0	0.21414141414141416	495		NMPR vs MPR: epithelial TACSTD2 mean log1p(CP10k) [companion]	epi_tacstd2_mean_log1p_cp10k
8	4	0.3783281230751341	0.5134429934234256	0.3433845954354122	0.5070339257634807	-0.1351148703482915	12.0	0.5696969696969697	495		NMPR vs MPR: T/NK fraction	frac_T_NK
8	4	0.09621336733731045	0.11594499840078944	0.04754815230260734	0.10007914408652963	-0.019731631063478985	12.0	0.5696969696969697	495		NMPR vs MPR: CXCL13+ fraction	frac_CXCL13_pos
8	4	0.07982455792777682	0.11105972542590208	0.04916557992574691	0.11396133457259548	-0.031235167498125258	10.0	0.3676767676767677	495		NMPR vs MPR: cyto-high T fraction	frac_cyto_high_T
