contrast	n	spearman_rho	spearman_p	note
post n=12: A3-malignant CLDN4 mean log1p(CP10k) vs T/NK	10	-0.12727272727272726	0.7260570147627894	
post n=12: A3-malignant CLDN4 mean log1p(CP10k) vs CXCL13+	10	-0.22424242424242422	0.5334005612725947	
post n=12: A3-malignant CLDN4 mean log1p(CP10k) vs cyto-high T	10	-0.29696969696969694	0.40470167127015705	
post n=12: A3-malignant CLDN4 %pos vs T/NK	10	-0.33333333333333326	0.3465935070873343	
post n=12: A3-malignant CLDN4 %pos vs CXCL13+	10	-0.22424242424242422	0.5334005612725947	
post n=12: A3-malignant CLDN4 %pos vs cyto-high T	10	-0.33333333333333326	0.3465935070873343	
post n=12: epithelial CLDN4 mean log1p(CP10k) vs T/NK	12	-0.055944055944055944	0.8628980736949713	
post n=12: epithelial CLDN4 mean log1p(CP10k) vs CXCL13+	12	-0.31468531468531474	0.3191387855033045	
post n=12: epithelial CLDN4 mean log1p(CP10k) vs cyto-high T	12	-0.18181818181818185	0.5717012385276553	
post n=12: epithelial CLDN4 %pos vs T/NK	12	-0.2937062937062937	0.3541476412329215	
post n=12: epithelial CLDN4 %pos vs CXCL13+	12	-0.44055944055944063	0.1517350357167303	
post n=12: epithelial CLDN4 %pos vs cyto-high T	12	-0.20979020979020982	0.512840943181826	
post n=12: broad-malignant CLDN4 mean log1p(CP10k) vs T/NK	8	-0.023809523809523815	0.9553740118158806	
post n=12: broad-malignant CLDN4 mean log1p(CP10k) vs CXCL13+	8	-0.09523809523809526	0.8225054302036114	
post n=12: broad-malignant CLDN4 mean log1p(CP10k) vs cyto-high T	8	-0.07142857142857144	0.8665262706759088	
post n=12: broad-malignant CLDN4 %pos vs T/NK	8	-0.2380952380952381	0.5701563208157683	
post n=12: broad-malignant CLDN4 %pos vs CXCL13+	8	-0.19047619047619052	0.6514014957024814	
post n=12: broad-malignant CLDN4 %pos vs cyto-high T	8	-0.2142857142857143	0.6103444156452669	
post n=12: A3-malignant TACSTD2 mean log1p(CP10k) [companion] vs T/NK	10	-0.29696969696969694	0.40470167127015705	
post n=12: A3-malignant TACSTD2 mean log1p(CP10k) [companion] vs CXCL13+	10	-0.406060606060606	0.24428229408662647	
post n=12: A3-malignant TACSTD2 mean log1p(CP10k) [companion] vs cyto-high T	10	-0.22424242424242422	0.5334005612725947	
post n=12: A3-malignant TACSTD2 %pos [companion] vs T/NK	10	0.024316221747202587	0.9468397049085097	
post n=12: A3-malignant TACSTD2 %pos [companion] vs CXCL13+	10	-0.0790277206784084	0.8282024798594116	
post n=12: A3-malignant TACSTD2 %pos [companion] vs cyto-high T	10	0.12158110873601292	0.7379379712336097	
post n=12: epithelial TACSTD2 mean log1p(CP10k) [companion] vs T/NK	12	-0.013986013986013986	0.9655902689187796	
post n=12: epithelial TACSTD2 mean log1p(CP10k) [companion] vs CXCL13+	12	-0.20979020979020982	0.512840943181826	
post n=12: epithelial TACSTD2 mean log1p(CP10k) [companion] vs cyto-high T	12	-0.055944055944055944	0.8628980736949713	
post n=12: A3-malignant CLDN4 mean vs TACSTD2 mean (companion, not a gate)	10	0.2121212121212121	0.5563057751029299	
post n=12: epithelial CLDN4 mean vs TACSTD2 mean (companion, not a gate)	12	0.3916083916083916	0.20806346369535322	
