contrast,definition,set,n_set_nominal,n_scored,score
naive_KO_vs_WT,mean_logFC_detected,ifn_core,64,60,0.215411522
naive_KO_vs_WT,mean_logFC_detected,chemokine_ifn,4,3,2.71217103
naive_KO_vs_WT,mean_logFC_detected,chemokine_inflammatory,8,3,1.5003973
naive_KO_vs_WT,mean_logFC_detected,chemokine_other,20,16,0.287532815
naive_KO_vs_WT,mean_logFC_detected,mhc_haplotype_safe,15,15,0.35782762
naive_KO_vs_WT,mean_logFC_detected,mhc_haplotype_safe_no_chaperone,12,12,0.370679115
naive_KO_vs_WT,mean_logFC_detected,mhc_heavy_chain_H2K1_H2D1,2,2,0.141836138
naive_KO_vs_WT,mean_logFC_detected,mhc_haplotype_risk,12,11,1.81389021
naive_KO_vs_WT,mean_logFC_detected,injury_mediator,4,3,-0.630337959
naive_KO_vs_WT,median_logFC_detected,ifn_core,64,60,0.19037095
naive_KO_vs_WT,median_logFC_detected,chemokine_ifn,4,3,2.71031088
naive_KO_vs_WT,median_logFC_detected,chemokine_inflammatory,8,3,1.63180736
naive_KO_vs_WT,median_logFC_detected,chemokine_other,20,16,0.0927216025
naive_KO_vs_WT,median_logFC_detected,mhc_haplotype_safe,15,15,0.308019115
naive_KO_vs_WT,median_logFC_detected,mhc_haplotype_safe_no_chaperone,12,12,0.312669504
naive_KO_vs_WT,median_logFC_detected,mhc_heavy_chain_H2K1_H2D1,2,2,0.141836138
naive_KO_vs_WT,median_logFC_detected,mhc_haplotype_risk,12,11,1.19062939
naive_KO_vs_WT,median_logFC_detected,injury_mediator,4,3,0.005943139
naive_KO_vs_WT,mean_logFC_all,ifn_core,64,60,0.215411522
naive_KO_vs_WT,mean_logFC_all,chemokine_ifn,4,4,3.2952268
naive_KO_vs_WT,mean_logFC_all,chemokine_inflammatory,8,8,1.52606966
naive_KO_vs_WT,mean_logFC_all,chemokine_other,20,20,0.122954969
naive_KO_vs_WT,mean_logFC_all,mhc_haplotype_safe,15,15,0.35782762
naive_KO_vs_WT,mean_logFC_all,mhc_haplotype_safe_no_chaperone,12,12,0.370679115
naive_KO_vs_WT,mean_logFC_all,mhc_heavy_chain_H2K1_H2D1,2,2,0.141836138
naive_KO_vs_WT,mean_logFC_all,mhc_haplotype_risk,12,11,1.81389021
naive_KO_vs_WT,mean_logFC_all,injury_mediator,4,4,-0.711986289
naive_KO_vs_WT,mean_logFC_cpm_gt_1,ifn_core,64,59,0.210619866
naive_KO_vs_WT,mean_logFC_cpm_gt_1,chemokine_ifn,4,2,2.79680733
