set,gene,in_baseline_table,logFC_baseline,logCPM_baseline,FDR_baseline,logFC_VILI_WT,logCPM_VILI_WT,FDR_VILI_WT,VILI_FDR_up
ifn_core,Adar,yes,0.221657554,6.26743827,0.687704255,0.03726296,6.19142585,1,no
ifn_core,Batf2,yes,0.521852457,2.28625389,0.583769674,-0.460311579,1.91065508,0.714073308,no
ifn_core,Bst2,yes,0.442283218,5.20133167,0.10006632,-0.093290091,4.93487131,1,no
ifn_core,C1s1,no,,,,,,,no
ifn_core,Casp1,yes,0.053315815,2.73605681,1,-1.39615949,2.24455581,0.02016037,no
ifn_core,Casp8,yes,0.044319994,5.48424966,1,-0.221430518,5.36461156,0.568364838,no
ifn_core,Cmpk2,yes,0.209050053,4.34866207,0.903648486,-0.708464561,3.9623172,0.022948379,no
ifn_core,Cmtr1,no,,,,,,,no
ifn_core,Ddx60,yes,-0.275634443,2.62218885,0.968555719,0.115147873,2.84139241,1,no
ifn_core,Dhx58,yes,0.427253449,2.98398432,0.644104695,0.115147873,2.84139241,1,no
ifn_core,Eif2ak2,yes,-0.140057489,4.97718876,1,-0.189119042,4.973151,0.738661652,no
ifn_core,Epsti1,yes,0.04759838,2.89448617,1,-0.493183271,2.70939687,0.467521913,no
ifn_core,Gbp3,yes,0.718229032,5.2718876,0.022326997,-0.82890073,4.5400117,0.0007661,no
ifn_core,Helz2,yes,0.126550666,7.31913958,1,0.055763272,7.30725986,1,no
ifn_core,Herc6,yes,0.054749148,4.25062998,1,-0.434852957,4.04679176,0.259785544,no
ifn_core,Ifi27,no,,,,,,,no
ifn_core,Ifi30,yes,0.002523849,6.09235157,1,-0.121471827,6.05276213,0.946872327,no
ifn_core,Ifi35,yes,0.286246407,5.37268143,0.421508208,-0.090246465,5.19451513,1,no
ifn_core,Ifi44,yes,0.749481166,3.36333012,0.031234037,-0.158262084,2.89554818,1,no
ifn_core,Ifi44l,yes,0.498119241,0.973096008,0.942741585,-3.09686154,0.18367357,0.009922139,no
ifn_core,Ifih1,yes,0.055694069,5.7592171,1,-0.295528186,5.60414203,0.278691835,no
ifn_core,Ifit2,yes,-0.369023039,5.37888214,0.19255841,-0.396375213,5.36871986,0.172830236,no
ifn_core,Ifit3,yes,-0.206965942,6.49094431,0.967196558,-0.310685235,6.47607454,0.232975948,no
ifn_core,Ifitm2,yes,0.293262885,7.36853277,0.369611412,-0.057083605,7.21709657,1,no
ifn_core,Ifitm3,yes,0.471150083,8.09046363,0.031556571,-0.310644679,7.70100357,0.140484958,no
ifn_core,Il15,yes,0.384765825,2.42854778,0.843223601,0.350132976,2.45497559,0.799135012,no
ifn_core,Il4ra,yes,0.318341959,7.19899722,0.296824345,0.249500882,7.19026566,0.317704203,no
ifn_core,Il7,yes,-0.192109854,2.48329074,1,-0.464762873,2.44463365,0.586831359,no
ifn_core,Irf1,yes,0.381826817,7.03722635,0.20707363,-0.694435909,6.55210477,2.2453e-05,no
ifn_core,Irf2,yes,0.050003705,6.2100524,1,-0.380546102,6.03132496,0.101063723,no
ifn_core,Irf7,yes,0.227316665,3.9758258,0.983132036,0.190441181,3.97674427,0.956582471,no
ifn_core,Irf9,yes,0.388118792,5.73847002,0.160767716,-0.309607044,5.39447085,0.276916415,no
ifn_core,Isg15,yes,1.07537273,2.78668288,0.003095569,-0.715749108,1.94040242,0.437759054,no
ifn_core,Isg20,yes,0.24024622,4.57616032,0.849964675,0.104246868,4.5278164,1,no
ifn_core,Lap3,yes,0.293676259,5.10985415,0.454580834,0.098503725,5.01917953,1,no
ifn_core,Lgals3bp,yes,0.232843219,6.80445124,0.658698524,0.04890059,6.73614393,1,no
ifn_core,Ly6e,yes,0.547656164,9.87843742,0.049627144,-0.811979264,9.20986309,0.0008006,no
ifn_core,Mx2,yes,0.236067358,1.9510697,1,-0.444563452,1.75195733,0.836986573,no
ifn_core,Nmi,yes,0.365496439,4.08604882,0.447158332,-0.169686795,3.83744523,1,no
ifn_core,Oasl1,yes,1.10744629,1.32101931,0.335645718,0.831245542,1.25642991,0.613330798,no
ifn_core,Ogfr,yes,0.193867003,5.76317294,0.758494549,0.222950416,5.78512419,0.491571185,no
ifn_core,Parp12,yes,0.186874897,6.05411536,0.780027359,-0.572174357,5.72015527,0.001664593,no
ifn_core,Parp14,yes,0.266289295,7.17038718,0.469842565,-0.775762371,6.72657201,1.88439e-06,no
ifn_core,Plscr1,yes,0.151681745,5.99209697,0.98224334,-0.543566651,5.68982723,0.004827936,no
ifn_core,Pnpt1,yes,0.031262221,3.802146,1,-0.183029989,3.73083404,1,no
ifn_core,Psma3,yes,0.06718315,5.44833814,1,0.031293302,5.44722609,1,no
ifn_core,Ripk2,yes,-0.006334566,3.78357027,1,-0.439250164,3.61109479,0.367438406,no
ifn_core,Rnf31,yes,0.105044524,5.38915779,1,-0.403671244,5.16174293,0.155104899,no
ifn_core,Rsad2,yes,1.19824633,2.61520242,0.218459763,-0.581229782,1.78512419,0.662730992,no
ifn_core,Rtp4,yes,0.665907312,4.36124379,0.050188958,-0.220921634,3.92188233,0.90157519,no
ifn_core,Samd9l,yes,-0.623572811,6.40088501,0.005427986,-0.585911776,6.44463365,0.018570726,no
ifn_core,Slc25a28,yes,-0.126355987,5.09612004,1,0.191365526,5.27551929,0.723120651,no
ifn_core,Sp110,yes,-0.214639571,3.66002092,0.966297626,-0.514870605,3.56409731,0.204530831,no
ifn_core,Stat2,yes,0.445880011,5.91098249,0.071324478,-0.704523636,5.37554112,0.000412129,no
ifn_core,Tdrd7,yes,0.040153497,6.14484144,1,-0.047132501,6.12578356,1,no
ifn_core,Trafd1,yes,0.167352863,5.91383226,0.861755164,0.095167699,5.89933976,1,no
ifn_core,Trim14,yes,0.133634181,3.20482629,1,-0.642843417,2.89554818,0.173709337,no
ifn_core,Trim21,yes,0.094275997,4.78357027,1,-0.653895029,4.46524393,0.022460933,no
ifn_core,Trim25,yes,-0.040809002,7.28405298,1,-0.139446147,7.27040464,0.859789011,no
ifn_core,Trim26,yes,0.008945241,6.26632379,1,0.057073253,6.31295659,1,no
ifn_core,Txnip,yes,-0.365349716,10.1085333,0.184145313,-0.890737253,9.85865721,2.52378e-08,no
ifn_core,Ube2l6,yes,0.536435682,5.4985575,0.421093679,-0.810604452,4.87451448,0.00125531,no
ifn_core,Usp18,yes,0.119993902,4.17900031,1,-0.211245565,4.03305171,0.846859363,no
ifn_core,Wars1,no,,,,,,,no
chemokine_ifn,Cxcl9,yes,2.88330377,1.33809282,0.06232753,-1.87446912,-0.504382423,0.492103358,no
chemokine_ifn,Cxcl10,yes,2.54289844,0.761591903,0.093900892,1.89530262,0.535145941,0.06885942,no
chemokine_ifn,Cxcl11,yes,5.04439412,-1.07129811,0.167807069,0,-1.67430743,1,no
chemokine_ifn,Ccl5,yes,2.71031088,4.95522533,0.001144781,0.315804881,3.26820708,0.722280956,no
chemokine_inflammatory,Cxcl1,yes,1.63180736,1.72311776,0.021288622,3.20897191,3.07388542,1.39554e-14,yes
chemokine_inflammatory,Cxcl2,yes,2.63941028,-0.117101801,0.037438062,5.09722181,2.25642991,2.76315e-18,yes
chemokine_inflammatory,Cxcl3,yes,1.65711229,-0.678980688,0.613044584,2.02748074,-0.089344924,0.377004732,no
chemokine_inflammatory,Cxcl5,yes,2.1324503,-0.427441921,0.255110874,0.691877705,-0.674307425,1,no
chemokine_inflammatory,Ccl2,yes,0.313157885,-0.370858393,1,3.81669279,2.37008669,6.26668e-16,yes
chemokine_inflammatory,Ccl3,yes,0.356934545,0.250629984,1,3.86304842,2.95504919,8.26749e-22,yes
chemokine_inflammatory,Ccl4,yes,2.51245,0.09862689,0.047463331,2.92376441,0.785124194,0.001647931,yes
chemokine_inflammatory,Ccl7,yes,0.965234582,-0.547736155,0.978474971,4.55999559,2.1330475,2.56671e-16,yes
