gene,module,in_table,entrez,logFC_baseline,logCPM_baseline,P_baseline,FDR_baseline,logFC_VILI_WT,FDR_VILI_WT,logCPM_vili,logFC_KOhigh,FDR_KOhigh,logFC_KOlow,FDR_KOlow,class,low_abundance_baseline
Ifnb1,IFN_ISG,yes,15977,0,-2.07129811,1,1,0,1,-1.67430743,0,1,0,1,not_hit,yes
Ifna1,IFN_ISG,yes,15962,0,-2.07129811,1,1,0,1,-1.67430743,0,1,0,1,not_hit,yes
Ifna2,IFN_ISG,yes,15965,0,-2.07129811,1,1,0,1,-1.67430743,0,1,0,1,not_hit,yes
Ifna4,IFN_ISG,yes,15967,0,-2.07129811,1,1,0,1,-1.67430743,0,1,0,1,not_hit,yes
Ifna5,IFN_ISG,yes,15968,0,-2.07129811,1,1,0,1,-1.67430743,0,1,0,1,not_hit,yes
Ifng,IFN_ISG,yes,15978,2.44478484,-0.611866493,0.100971434,0.590157829,-3.169925,1,-1.35237933,0,1,2.3219281,1,not_hit,yes
Ifnar1,IFN_ISG,yes,15975,-0.261075757,7.03067756,0.082709975,0.53602588,-0.19439486,0.584671222,7.09304943,-0.31605012,0.85166986,-0.294919812,1,not_hit,no
Ifnar2,IFN_ISG,yes,15976,0.020300128,6.25400734,0.897457086,1,-0.314496472,0.194989217,6.12010844,0.2119541,1,-0.076851153,1,not_hit,no
Stat1,IFN_ISG,yes,20846,0.390851313,6.94829262,0.026232231,0.29079192,-0.804298846,6.98816e-07,6.41977026,0.212370502,1,-0.108736911,1,not_hit,no
Stat2,IFN_ISG,yes,20847,0.445880011,5.91098249,0.002832605,0.071324478,-0.704523636,0.000412129,5.37554112,-0.078200752,1,-0.190717431,1,not_hit,no
Stat3,IFN_ISG,yes,20848,0.215626884,7.87213245,0.130727097,0.674587456,0.430450676,0.017566204,8.00319201,0.280305725,0.964375255,0.244996595,1,injury_only,no
Irf1,IFN_ISG,yes,16362,0.381826817,7.03722635,0.014730324,0.20707363,-0.694435909,2.2453e-05,6.55210477,0.83274024,0.012614018,0.338388639,1,not_hit,no
Irf3,IFN_ISG,yes,54131,0.045368535,5.51178466,0.762608164,1,-0.419860817,0.070819806,5.30725986,0.130573512,1,0.166824614,1,not_hit,no
Irf7,IFN_ISG,yes,54123,0.227316665,3.9758258,0.329109646,0.983132036,0.190441181,0.956582471,3.97674427,-0.086156644,1,-0.101729887,1,not_hit,no
Irf9,IFN_ISG,yes,16391,0.388118792,5.73847002,0.009614213,0.160767716,-0.309607044,0.276916415,5.39447085,0.102889174,1,-0.156513468,1,not_hit,no
Isg15,IFN_ISG,yes,100038882,1.07537273,2.78668288,3.92718e-05,0.003095569,-0.715749108,0.437759054,1.94040242,1.12969108,0.375530071,0.632695112,1,baseline_only,no
Isg20,IFN_ISG,yes,57444,0.24024622,4.57616032,0.221918904,0.849964675,0.104246868,1,4.5278164,0.740164476,0.095561145,0.380765919,1,not_hit,no
Mx1,IFN_ISG,yes,17857,0.626672753,1.37164539,0.11907033,0.648233013,-0.304854582,1,1.10705229,0.081300102,1,0.150025444,1,not_hit,no
Mx2,IFN_ISG,yes,17858,0.236067358,1.9510697,0.543320868,1,-0.444563452,0.836986573,1.75195733,-0.767022828,1,-0.109972842,1,not_hit,no
Oas1a,IFN_ISG,yes,246730,0.762345187,2.60818199,0.014921827,0.208748722,-0.447458977,0.710991556,2.03993809,0.548742313,1,0.283393493,1,not_hit,no
Oas1b,IFN_ISG,yes,23961,-0.101283336,2.62218885,0.74727051,1,-0.600979898,0.337951537,2.44463365,-0.30954437,1,-0.40053793,1,not_hit,no
Oas1g,IFN_ISG,yes,23960,1.19198676,1.83559248,0.00071458,0.028169313,-0.553392422,0.822429876,1.10705229,0.642843417,1,0.259087221,1,baseline_only,no
Oas2,IFN_ISG,yes,246728,1.48874719,2.67016887,1.7297e-05,0.001526145,0.06377591,1,1.94040242,0.168681835,1,-0.168681835,1,baseline_only,no
Oas3,IFN_ISG,yes,246727,1.81579999,1.42055499,1.89353e-05,0.001643963,0.9881259,0.356097943,1.05361303,1.550611,0.054892165,0.168271483,1,baseline_only,no
Oasl1,IFN_ISG,yes,231655,1.10744629,1.32101931,0.033653348,0.335645718,0.831245542,0.613330798,1.25642991,1.31297649,0.226385898,0.72038271,1,not_hit,no
Oasl2,IFN_ISG,yes,23962,0.542098814,5.24271859,0.000371281,0.017868407,-0.935038834,3.71156e-05,4.58072115,0.142384309,1,-0.201736184,1,baseline_only,no
Ifit1,IFN_ISG,yes,15957,0.57577684,4.6169522,0.000719541,0.02824166,-0.052626931,1,4.29435937,-0.124626655,1,-0.285238286,1,baseline_only,no
Ifit2,IFN_ISG,yes,15958,-0.369023039,5.37888214,0.012872714,0.19255841,-0.396375213,0.172830236,5.36871986,-0.403558491,0.870474471,-0.322614384,1,not_hit,no
Ifit3,IFN_ISG,yes,15959,-0.206965942,6.49094431,0.315638468,0.967196558,-0.310685235,0.232975948,6.47607454,-0.316431252,1,-0.640515064,0.355356109,not_hit,no
Ifitm1,IFN_ISG,yes,68713,0.528215404,5.62480006,0.000281624,0.014365759,-0.06867867,1,5.31437726,0.532859967,0.347708325,0.236508111,1,baseline_only,no
Ifitm2,IFN_ISG,yes,80876,0.293262885,7.36853277,0.039618678,0.369611412,-0.057083605,1,7.21709657,0.324954074,0.792092973,0.281881722,1,not_hit,no
Ifitm3,IFN_ISG,yes,66141,0.471150083,8.09046363,0.000856338,0.031556571,-0.310644679,0.140484958,7.70100357,0.355054296,0.726379067,0.155604927,1,baseline_only,no
Rsad2,IFN_ISG,yes,58185,1.19824633,2.61520242,0.016139179,0.218459763,-0.581229782,0.662730992,1.78512419,1.71350662,0.048740875,1.0204641,0.550218004,not_hit,no
Gbp2,IFN_ISG,yes,14469,0.582953916,6.24554907,0.001937604,0.055191191,-0.767055143,8.288e-05,5.61455865,0.444178725,0.645266237,0.076822239,1,not_hit,no
Gbp3,IFN_ISG,yes,55932,0.718229032,5.2718876,0.000512122,0.022326997,-0.82890073,0.0007661,4.5400117,0.098150021,1,-0.066247278,1,baseline_only,no
Gbp4,IFN_ISG,yes,17472,2.38505019,6.96830641,1.59806e-09,4.75148e-07,-0.889304459,0.000101145,4.97674427,1.20639287,0.000370018,0.814503962,0.360171038,baseline_only,no
Gbp5,IFN_ISG,yes,229898,1.06688489,4.53972669,0.000397864,0.018691864,-1.49408265,2.24104e-06,3.39178177,0.470705321,1,-0.230169772,1,baseline_only,no
Gbp6,IFN_ISG,yes,100702,1.37094668,3.26855189,4.32226e-06,0.000493761,-0.063893617,1,2.48556391,0.145116708,1,-0.788495895,0.958297872,baseline_only,no
Gbp7,IFN_ISG,yes,229900,0.580012938,6.47076643,0.012392724,0.188526355,-1.18206723,2.10226e-11,5.70181796,-0.502009711,0.825807739,-0.284282747,1,not_hit,no
Ifi44,IFN_ISG,yes,99899,0.749481166,3.36333012,0.000843269,0.031234037,-0.158262084,1,2.89554818,-0.14873538,1,-0.66682077,1,baseline_only,no
Ifi204,IFN_ISG,yes,15951,0.021334142,3.04764296,0.968284057,1,-0.085518071,1,3.03993809,0.506959989,1,0.071039337,1,not_hit,no
Ifi27,IFN_ISG,no,,,,,,,,,,,,,absent,
Ifi35,IFN_ISG,yes,70110,0.286246407,5.37268143,0.052181182,0.421508208,-0.090246465,1,5.19451513,0.275451156,1,0.180029879,1,not_hit,no
Usp18,IFN_ISG,yes,24110,0.119993902,4.17900031,0.529799228,1,-0.211245565,0.846859363,4.03305171,0.277853121,1,-0.073882129,1,not_hit,no
Adar,IFN_ISG,yes,56417,0.221657554,6.26743827,0.138016113,0.687704255,0.03726296,1,6.19142585,0.057162778,1,-0.044433564,1,not_hit,no
Dhx58,IFN_ISG,yes,80861,0.427253449,2.98398432,0.117277206,0.644104695,0.115147873,1,2.84139241,0.243557031,1,-0.301429785,1,not_hit,no
Ddx58,IFN_ISG,yes,230073,0.159132744,6.27466149,0.273179783,0.907447441,-0.373380515,0.079232595,6.0450814,-0.069727693,1,-0.046848486,1,not_hit,no
Ifih1,IFN_ISG,yes,71586,0.055694069,5.7592171,0.700934367,1,-0.295528186,0.278691835,5.60414203,-0.374894685,0.820914061,-0.339471483,1,not_hit,no
Tlr3,IFN_ISG,yes,142980,-0.045239385,5.32423602,0.768440974,1,-0.414806428,0.087255299,5.16804292,-0.338766106,0.945426112,-0.45796621,0.78091787,not_hit,no
Tlr7,IFN_ISG,yes,170743,0.340615601,3.62914161,0.205950622,0.826429702,0.700240465,0.087560003,3.8687244,-0.163241514,1,-0.481640224,1,not_hit,no
Tlr9,IFN_ISG,yes,81897,-0.370767232,2.28625389,0.269670682,0.902714706,-1.01571008,0.078010922,2.12010844,0.22026612,1,-0.051994638,1,not_hit,no
Nlrc5,IFN_ISG,yes,434341,0.747974933,4.59403781,0.004173122,0.092615153,-0.789065623,0.008088303,3.86096795,0.726434927,0.584386121,0.115220898,1,not_hit,no
Ifi47,IFN_ISG,yes,15953,1.02918366,5.457156,8.3404e-07,0.000127941,-1.15903669,2.13415e-06,4.415805,0.653149133,0.49759708,0.185780537,1,baseline_only,no
Ubd,IFN_ISG,yes,24108,5.61470984,-0.749370016,0.000834227,0.031059609,0,1,-1.67430743,0,1,0,1,baseline_low_cpm_only,yes
Irg1,IFN_ISG,yes,16365,5.4918531,-0.823370598,0.001384547,0.044128634,5.357552,0.074894119,-0.504382423,2.66296501,0.129071091,1.26628006,1,baseline_low_cpm_only,yes
