question,definition,set_a,set_b,contrast,n_perm,seed,n_a,n_b,score_a,score_b,gap,null_mean,null_sd,z,perm_p_greater,status
Q1_ifn_core_minus_inflam,mean_logFC_detected,ifn_core,chemokine_inflammatory,naive_KO_vs_WT,1000,42,60,3,0.215411522,1.5003973,-1.28498578,-0.000567604203,0.260065165,-4.93883206,0.998001998,ok
Q2_ifn_chemokine_minus_inflam,mean_logFC_detected,chemokine_ifn,chemokine_inflammatory,naive_KO_vs_WT,1000,42,3,3,2.71217103,1.5003973,1.21177373,0.0120247064,0.357855894,3.35260378,0.00899100899,ok
Q3_mhc_safe_minus_heavy_chain,mean_logFC_detected,mhc_haplotype_safe,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,15,2,0.35782762,0.141836138,,,,,,n_below_3
Q4_mhc_safe_no_chaperone_minus_heavy,mean_logFC_detected,mhc_haplotype_safe_no_chaperone,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,12,2,0.370679115,0.141836138,,,,,,n_below_3
Q1_ifn_core_minus_inflam,median_logFC_detected,ifn_core,chemokine_inflammatory,naive_KO_vs_WT,1000,42,60,3,0.19037095,1.63180736,-1.44143641,0.00708715022,0.225004541,-6.43775257,1,ok
Q2_ifn_chemokine_minus_inflam,median_logFC_detected,chemokine_ifn,chemokine_inflammatory,naive_KO_vs_WT,1000,42,3,3,2.71031088,1.63180736,1.07850352,2.8077509e-05,0.288528429,3.7378481,0.000999000999,ok
Q3_mhc_safe_minus_heavy_chain,median_logFC_detected,mhc_haplotype_safe,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,15,2,0.308019115,0.141836138,,,,,,n_below_3
Q4_mhc_safe_no_chaperone_minus_heavy,median_logFC_detected,mhc_haplotype_safe_no_chaperone,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,12,2,0.312669504,0.141836138,,,,,,n_below_3
Q1_ifn_core_minus_inflam,mean_logFC_all,ifn_core,chemokine_inflammatory,naive_KO_vs_WT,1000,42,60,8,0.215411522,1.52606966,-1.31065813,0.00215272864,0.30526532,-4.30055684,1,ok
Q2_ifn_chemokine_minus_inflam,mean_logFC_all,chemokine_ifn,chemokine_inflammatory,naive_KO_vs_WT,1000,42,4,8,3.2952268,1.52606966,1.76915715,0.0129346568,0.479126263,3.66546906,0.000999000999,ok
Q3_mhc_safe_minus_heavy_chain,mean_logFC_all,mhc_haplotype_safe,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,15,2,0.35782762,0.141836138,,,,,,n_below_3
Q4_mhc_safe_no_chaperone_minus_heavy,mean_logFC_all,mhc_haplotype_safe_no_chaperone,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,12,2,0.370679115,0.141836138,,,,,,n_below_3
Q1_ifn_core_minus_inflam,mean_logFC_cpm_gt_1,ifn_core,chemokine_inflammatory,naive_KO_vs_WT,1000,42,59,1,0.210619866,1.63180736,,,,,,n_below_3
Q2_ifn_chemokine_minus_inflam,mean_logFC_cpm_gt_1,chemokine_ifn,chemokine_inflammatory,naive_KO_vs_WT,1000,42,2,1,2.79680733,1.63180736,,,,,,n_below_3
Q3_mhc_safe_minus_heavy_chain,mean_logFC_cpm_gt_1,mhc_haplotype_safe,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,15,2,0.35782762,0.141836138,,,,,,n_below_3
Q4_mhc_safe_no_chaperone_minus_heavy,mean_logFC_cpm_gt_1,mhc_haplotype_safe_no_chaperone,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,12,2,0.370679115,0.141836138,,,,,,n_below_3
Q1_ifn_core_minus_inflam,frac_up_detected,ifn_core,chemokine_inflammatory,naive_KO_vs_WT,1000,42,60,3,0.816666667,1,-0.183333333,0.0031,0.293642743,-0.634898487,0.772227772,ok
Q2_ifn_chemokine_minus_inflam,frac_up_detected,chemokine_ifn,chemokine_inflammatory,naive_KO_vs_WT,1000,42,3,3,1,1,0,0.00133333333,0.40324344,-0.00330652207,0.668331668,ok
Q3_mhc_safe_minus_heavy_chain,frac_up_detected,mhc_haplotype_safe,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,15,2,0.933333333,0.5,,,,,,n_below_3
Q4_mhc_safe_no_chaperone_minus_heavy,frac_up_detected,mhc_haplotype_safe_no_chaperone,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,12,2,0.916666667,0.5,,,,,,n_below_3
Q1_ifn_core_minus_inflam,frac_fdr_up_detected,ifn_core,chemokine_inflammatory,naive_KO_vs_WT,1000,42,60,3,0.0833333333,0.666666667,-0.583333333,0.0011,0.0829732695,-7.04363389,0.998001998,ok
Q2_ifn_chemokine_minus_inflam,frac_fdr_up_detected,chemokine_ifn,chemokine_inflammatory,naive_KO_vs_WT,1000,42,3,3,0.333333333,0.666666667,-0.333333333,0.00466666667,0.1201545,-2.81304488,1,ok
Q3_mhc_safe_minus_heavy_chain,frac_fdr_up_detected,mhc_haplotype_safe,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,15,2,0.2,0,,,,,,n_below_3
Q4_mhc_safe_no_chaperone_minus_heavy,frac_fdr_up_detected,mhc_haplotype_safe_no_chaperone,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,12,2,0.166666667,0,,,,,,n_below_3
Q1_ifn_core_minus_inflam,mean_signed_neglog10P_detected,ifn_core,chemokine_inflammatory,naive_KO_vs_WT,1000,42,60,3,0.69788112,2.11172449,-1.41384337,0.0295864888,0.769631382,-1.87548208,0.975024975,ok
