regulon	target	n_targets
prior_CIITA	COL1A1	28
prior_CIITA	COL1A2	28
prior_CIITA	CREBBP	28
prior_CIITA	FASLG	28
prior_CIITA	HLA-A	28
prior_CIITA	HLA-B	28
prior_CIITA	HLA-C	28
prior_CIITA	HLA-DMA	28
prior_CIITA	HLA-DMB	28
prior_CIITA	HLA-DOA	28
prior_CIITA	HLA-DOB	28
prior_CIITA	HLA-DPB1	28
prior_CIITA	HLA-DQB1	28
prior_CIITA	HLA-DRA	28
prior_CIITA	HLA-DRB1	28
prior_CIITA	HLA-DRB5	28
prior_CIITA	HLA-E	28
prior_CIITA	HLA-F	28
prior_CIITA	HLA-G	28
prior_CIITA	IRF1	28
prior_CIITA	IRF2	28
prior_CIITA	MMP9	28
prior_CIITA	PLXNA1	28
prior_CIITA	PSMC5	28
prior_CIITA	RAB4B	28
prior_CIITA	S100A4	28
prior_CIITA	SIRT1	28
prior_CIITA	STAT1	28
prior_ELF3	ANGPT1	32
prior_ELF3	AR	32
prior_ELF3	CCL20	32
prior_ELF3	CCND3	32
prior_ELF3	CLDN7	32
prior_ELF3	COL2A1	32
prior_ELF3	EGR1	32
prior_ELF3	EHF	32
prior_ELF3	ERBB2	32
prior_ELF3	FOLH1	32
prior_ELF3	GADD45GIP1	32
prior_ELF3	HP	32
prior_ELF3	IL1B	32
prior_ELF3	ITGB6	32
prior_ELF3	KRT4	32
prior_ELF3	KRT8	32
prior_ELF3	LYZ	32
prior_ELF3	MED23	32
prior_ELF3	MMP13	32
prior_ELF3	MMP9	32
prior_ELF3	NOS2	32
prior_ELF3	NOTCH3	32
prior_ELF3	POU5F1	32
prior_ELF3	PRR9	32
prior_ELF3	PTGS2	32
prior_ELF3	SPRR1A	32
prior_ELF3	SPRR1B	32
prior_ELF3	SPRR2A	32
prior_ELF3	SPRR3	32
prior_ELF3	TGFB1	32
prior_ELF3	TGFBR2	32
prior_ELF3	TIMP3	32
prior_GRHL2	CDC42SE1	10
prior_GRHL2	CDH1	10
prior_GRHL2	CLDN3	10
prior_GRHL2	ERBB3	10
prior_GRHL2	LAD1	10
prior_GRHL2	LIPH	10
prior_GRHL2	NKX2-1	10
prior_GRHL2	RAB25	10
prior_GRHL2	TERT	10
prior_GRHL2	ZEB1	10
prior_HIF1A	ABCA1	505
prior_HIF1A	ABCB1	505
prior_HIF1A	ABCC8	505
prior_HIF1A	ABCC9	505
prior_HIF1A	ABCG2	505
prior_HIF1A	ABL1	505
prior_HIF1A	ACAN	505
prior_HIF1A	ACE	505
prior_HIF1A	ACE2	505
prior_HIF1A	ACKR3	505
prior_HIF1A	ADAM17	505
prior_HIF1A	ADAMTS20	505
prior_HIF1A	ADM	505
prior_HIF1A	ADM2	505
prior_HIF1A	ADORA2B	505
prior_HIF1A	AFP	505
prior_HIF1A	AGPAT5	505
prior_HIF1A	AGT	505
prior_HIF1A	AGTR1	505
prior_HIF1A	AKT1	505
prior_HIF1A	ALAS2	505
prior_HIF1A	ALDOA	505
prior_HIF1A	ALOX5AP	505
prior_HIF1A	ANG	505
prior_HIF1A	ANGPT1	505
prior_HIF1A	ANGPT2	505
prior_HIF1A	ANGPTL4	505
prior_HIF1A	ANKRD37	505
prior_HIF1A	APC	505
prior_HIF1A	APEX1	505
prior_HIF1A	APH1A	505
prior_HIF1A	APLN	505
prior_HIF1A	APP	505
prior_HIF1A	AQP1	505
prior_HIF1A	AQP4	505
prior_HIF1A	AQP5	505
prior_HIF1A	AQP9	505
prior_HIF1A	AR	505
prior_HIF1A	ARC	505
prior_HIF1A	ARFGEF2	505
prior_HIF1A	ARID1B	505
prior_HIF1A	ARNT	505
prior_HIF1A	ARNT2	505
prior_HIF1A	ASS1	505
prior_HIF1A	ATP13A2	505
prior_HIF1A	ATP5IF1	505
prior_HIF1A	ATP7A	505
prior_HIF1A	ATRIP	505
prior_HIF1A	AURKA	505
prior_HIF1A	AVP	505
prior_HIF1A	BACE1	505
prior_HIF1A	BAX	505
prior_HIF1A	BCL2	505
prior_HIF1A	BCL2L1	505
prior_HIF1A	BCR	505
prior_HIF1A	BHLHE40	505
prior_HIF1A	BHLHE41	505
prior_HIF1A	BID	505
prior_HIF1A	BIRC3	505
prior_HIF1A	BIRC5	505
prior_HIF1A	BMP4	505
prior_HIF1A	BNIP3	505
prior_HIF1A	BNIP3L	505
prior_HIF1A	BRCA1	505
prior_HIF1A	BSG	505
prior_HIF1A	BTG2	505
prior_HIF1A	CA9	505
prior_HIF1A	CACNA1A	505
prior_HIF1A	CACNA1C	505
prior_HIF1A	CAD	505
prior_HIF1A	CAPG	505
prior_HIF1A	CARM1	505
prior_HIF1A	CASP3	505
prior_HIF1A	CCL2	505
