feature	n_patients	high_mean	low_mean	delta_median	n_high_gt_low	W	p	method
prior_IFN_union	38	0.03152304506102641	0.02988665112181668	0.0013465370609112987	30	70.0	2.0793231669813395e-06	AUCell_TF_target_proxy
prior_MHC_union	38	0.07163837187656448	0.07324183215779471	-0.0008074755200330012	17	335.0	0.6155919205411919	AUCell_TF_target_proxy
prior_MHC_IRF1_union	38	0.046916398074407874	0.04376301148782617	0.0021810458492604982	28	199.0	0.011955057671002578	AUCell_TF_target_proxy
prior_TJ_union	38	0.07879586820411003	0.06793834400937397	0.0086687029810824	37	1.0	1.4551915228366852e-11	AUCell_TF_target_proxy
prior_STAT1	38	0.03397306738921686	0.03186824260202799	0.0018237926639617496	35	44.0	1.0754592949524522e-07	AUCell_TF_target_proxy
prior_STAT2	38	0.029725443857872746	0.025056837630544834	0.004526670018890501	30	84.0	7.920032658148557e-06	AUCell_TF_target_proxy
prior_IRF1	38	0.04264169134005404	0.03852709239286364	0.0036706963772352996	33	79.0	4.994974005967379e-06	AUCell_TF_target_proxy
prior_IRF3	38	0.027367329628069974	0.021127491213422694	0.005099065437165852	34	49.0	2.0200241124257445e-07	AUCell_TF_target_proxy
prior_IRF7	38	0.0583016092836537	0.048315122773364444	0.008169156602075553	31	70.0	2.0793231669813395e-06	AUCell_TF_target_proxy
prior_IRF9	38	0.036845272096670066	0.029267550530163892	0.00617637811166735	31	80.0	5.48507523490116e-06	AUCell_TF_target_proxy
prior_CIITA	38	0.09743086316278156	0.09756947068300398	-0.0001141617296614994	18	352.0	0.7963755468372256	AUCell_TF_target_proxy
prior_RFX5	38	0.05039625138168904	0.05581759083669983	-0.0013713776010729007	16	303.0	0.3351875231091981	AUCell_TF_target_proxy
prior_RFXANK	38	0.051669726430421434	0.05919859368261073	-0.0008223585797340004	18	312.0	0.4045627222803887	AUCell_TF_target_proxy
prior_RFXAP	38	0.05728273620853299	0.06588610473742072	-0.0014841418119850003	15	297.0	0.2933771514290129	AUCell_TF_target_proxy
prior_GRHL2	37	0.032933036579999374	0.02259588506479304	0.007639688711841799	27	93.0	3.400965943001211e-05	AUCell_TF_target_proxy
prior_ELF3	38	0.06593521557984966	0.046992353681977746	0.0137033373043354	35	24.0	5.5442797020077705e-09	AUCell_TF_target_proxy
prior_KLF4	38	0.08333311676917146	0.07560426020295605	0.005435070338422297	36	6.0	1.0186340659856796e-10	AUCell_TF_target_proxy
prior_OVOL1	38	0.07952738165153633	0.05534096240807076	0.01713709371781515	32	35.0	3.1359377317130566e-08	AUCell_TF_target_proxy
prior_HIF1A	38	0.053283074804560106	0.0492956083169294	0.003148545432990049	36	42.0	8.274218998849392e-08	AUCell_TF_target_proxy
gs_ifn_isg	38	0.061931158466125395	0.05804539366906989	0.0021082063241315016	25	220.0	0.028441033769922797	AUCell_TF_target_proxy
gs_ifn_core6	38	0.18598484871676768	0.17779936043978278	0.006920667968829536	22	250.0	0.08177967207302572	AUCell_TF_target_proxy
gs_mhc1_apm	38	0.1761062713023658	0.17300419541118514	0.0007013523968169982	20	343.0	0.6986183478147723	AUCell_TF_target_proxy
gs_tj_no_cldn4	38	0.04187873577952522	0.02433995198869307	0.0143833638464144	33	27.0	9.1749825514853e-09	AUCell_TF_target_proxy
gs_oxphos	38	0.16545280484067343	0.15755692761960977	0.0008424709199310945	21	280.0	0.19414955097454367	AUCell_TF_target_proxy
mean_ifn_isg	38	0.3398629678006583	0.30421633667416237	0.028639316034696202	31	109.0	6.289036537054926e-05	mean_log1p_cp10k
mean_mhc1_apm	38	0.7729903611821373	0.7276287308433835	0.03599839927918741	27	196.0	0.010465310915606096	mean_log1p_cp10k
mean_tj_no_cldn4	38	0.28822854435214323	0.19284519724374527	0.0692686794443303	38	0.0	7.275957614183426e-12	mean_log1p_cp10k
mean_oxphos	38	0.8321095866101899	0.7533555236355859	0.05846569592865836	28	122.0	0.00016223934653680772	mean_log1p_cp10k
tacstd2	38	1.6426319003881547	0.8629896896531986	0.7127826199764569	37	1.0	1.4551915228366852e-11	companion
n_umi	38	6586.4798847945685	4996.984314160712	1407.8688888888887	35	33.0	2.3377651814371347e-08	companion
