patient	n_qc	n_dropped_umi	n_T	n_NK	n_B	n_Plasma	n_Myeloid	n_Neutrophil	n_Mast	n_Epithelial	n_Fibroblast	n_Endothelial	n_Unassigned
P1	5317	0	131	16	4	264	734	21	46	3347	612	124	18
P2	306	0	1	0	3	6	8	0	9	268	8	2	1
P3	7835	0	14	3	1	481	76	1	7	7107	46	26	73
P4	4558	0	272	32	4	828	1445	52	28	112	1694	66	25
P5	2454	0	30	6	6	180	575	18	5	1456	129	27	22
P6	3119	0	68	20	13	115	364	19	3	2273	118	24	102
P7	3059	0	985	75	139	699	659	28	128	240	55	16	35
P8	1342	0	65	1	62	106	491	35	91	422	41	7	21
P9	3520	0	52	10	1	177	205	3	38	2126	655	252	1
P10	3740	0	53	17	1	118	294	1	11	2534	669	42	0
P11	574	0	39	7	14	25	232	3	0	106	74	12	62
P12	891	0	29	17	59	170	127	54	58	288	37	30	22
P13	938	0	83	7	155	111	335	2	16	165	35	8	21
P14	1808	0	28	3	5	383	169	6	44	690	446	28	6
P15	3606	0	17	0	0	791	367	131	21	2053	28	39	159
P16	1148	0	0	0	0	15	137	0	9	940	35	8	4
P17	8700	0	0	0	0	780	11	0	18	7322	122	24	423
P18	3314	0	73	15	1	43	502	7	7	1892	505	246	23
P19	453	0	29	19	12	24	65	87	11	173	1	11	21
P20	429	0	0	0	1	9	15	1	0	398	2	1	2
P21	1968	0	10	2	4	82	52	0	11	1788	11	7	1
P22	644	0	184	47	1	9	119	49	13	153	46	4	19
P23	2387	0	26	6	4	295	187	2	108	1467	273	12	7
P24	386	0	59	5	6	92	70	8	40	88	9	0	9
P25	4029	0	1	1	1	131	61	11	0	3212	346	111	154
P26	570	0	67	15	26	18	20	269	30	69	28	4	24
P27	707	0	67	20	2	7	235	202	11	34	0	5	124
P28	2373	0	57	7	8	123	1207	9	119	693	120	17	13
P29	969	0	0	1	1	0	118	2	0	337	506	0	4
P30	742	0	4	0	0	6	154	0	0	563	6	0	9
P31	387	0	4	0	0	16	23	2	0	339	2	1	0
P32	595	0	76	3	25	19	64	3	10	381	1	2	11
P33	350	0	0	0	0	7	28	0	0	311	1	0	3
P34	972	0	12	2	0	26	433	67	0	428	1	1	2
P35	1079	0	15	0	6	145	91	12	82	673	25	4	26
P36	500	0	3	0	2	27	136	118	1	155	9	0	49
P37	2486	0	33	10	2	26	1783	559	26	16	7	3	21
P38	1358	0	101	49	9	26	894	20	40	179	16	10	14
P39	1896	0	216	11	22	265	796	32	22	511	7	5	9
P40	1155	0	294	79	66	47	131	132	74	284	6	2	40
P41	6222	0	3	0	2	206	136	0	16	5471	338	16	34
P42	1001	0	425	29	16	89	113	43	6	151	65	2	62
