patient	file	n_cells	n_qc	n_epi	n_genes
P1	GSM4453576_P1_exp.txt.gz	5317	5317	3347	29527
P2	GSM4453577_P2_exp.txt.gz	306	306	268	29527
P3	GSM4453578_P3_exp.txt.gz	7835	7835	7107	29527
P4	GSM4453579_P4_exp.txt.gz	4558	4558	112	29527
P5	GSM4453580_P5_exp.txt.gz	2454	2454	1456	29527
P6	GSM4453581_P6_exp.txt.gz	3119	3119	2273	29527
P7	GSM4453582_P7_exp.txt.gz	3059	3059	240	29527
P8	GSM4453583_P8_exp.txt.gz	1342	1342	422	29527
P9	GSM4453584_P9_exp.txt.gz	3520	3520	2126	29527
P10	GSM4453585_P10_exp.txt.gz	3740	3740	2534	29527
P11	GSM4453586_P11_exp.txt.gz	574	574	106	29527
P12	GSM4453587_P12_exp.txt.gz	891	891	288	29527
P13	GSM4453588_P13_exp.txt.gz	938	938	165	29527
P14	GSM4453589_P14_exp.txt.gz	1808	1808	690	29527
P15	GSM4453590_P15_exp.txt.gz	3606	3606	2053	29527
P16	GSM4453591_P16_exp.txt.gz	1148	1148	940	29527
P17	GSM4453592_P17_exp.txt.gz	8700	8700	7322	29527
P18	GSM4453593_P18_exp.txt.gz	3314	3314	1892	29527
P19	GSM4453594_P19_exp.txt.gz	453	453	173	29527
P20	GSM4453595_P20_exp.txt.gz	429	429	398	29527
P21	GSM4453596_P21_exp.txt.gz	1968	1968	1788	29527
P22	GSM4453597_P22_exp.txt.gz	644	644	153	29527
P23	GSM4453598_P23_exp.txt.gz	2387	2387	1467	29527
P24	GSM4453599_P24_exp.txt.gz	386	386	88	29527
P25	GSM4453600_P25_exp.txt.gz	4029	4029	3212	29527
P26	GSM4453601_P26_exp.txt.gz	570	570	69	29527
P27	GSM4453602_P27_exp.txt.gz	707	707	34	29527
P28	GSM4453603_P28_exp.txt.gz	2373	2373	693	29527
P29	GSM4453604_P29_exp.txt.gz	969	969	337	29527
P30	GSM4453605_P30_exp.txt.gz	742	742	563	29527
P31	GSM4453606_P31_exp.txt.gz	387	387	339	29527
P32	GSM4453607_P32_exp.txt.gz	595	595	381	29527
P33	GSM4453608_P33_exp.txt.gz	350	350	311	29527
P34	GSM4453609_P34_exp.txt.gz	972	972	428	29527
P35	GSM4453610_P35_exp.txt.gz	1079	1079	673	29527
P36	GSM4453611_P36_exp.txt.gz	500	500	155	29527
P37	GSM4453612_P37_exp.txt.gz	2486	2486	16	29527
P38	GSM4453613_P38_exp.txt.gz	1358	1358	179	29527
P39	GSM4453614_P39_exp.txt.gz	1896	1896	511	29527
P40	GSM4453615_P40_exp.txt.gz	1155	1155	284	29527
P41	GSM4453616_P41_exp.txt.gz	6222	6222	5471	29527
P42	GSM4453617_P42_exp.txt.gz	1001	1001	151	29527
