gene	matched_symbol	log2FoldChange	stat	pvalue	padj	contrast_id	organism	tier	in_primary_meta
XRCC5	XRCC5	-0.2162571383115073	-1.7608863232507264	0.0782576452253207	0.2433217825344945	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
XRCC6	XRCC6	-0.6107264208700084	-4.679297493228657	2.8785951483506776e-06	7.546802112796293e-05	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
PRKDC	PRKDC	-0.3817444701501042	-2.9306052286386834	0.0033830239399137	0.0252340932712308	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
LIG4	LIG4	0.3341904668053061	1.9578181049548675	0.0502513601922803	0.1811611282006483	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
ISG15	ISG15	3.350995404078708	17.99749350417589	2.0383747959264734e-72	3.386759723431836e-69	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
IFIT1	IFIT1	4.218173199921845	28.54450478567594	3.2866721686818816e-179	1.4562148822039855e-175	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
IFIT2	IFIT2	2.292180052035465	12.118487855602256	8.430014891277401e-34	4.001848497673543e-31	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
MX1	MX1	1.3917880490318109	2.7768207518500096	0.0054893442684824	0.0365719895996093	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
OAS1	OAS1	5.223836232456778	18.93857716027539	5.485969256647713e-80	1.04170719084802e-76	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
OAS2	OAS2	5.20154224906818	7.27634285081847	3.429912375938364e-13	3.618285341347042e-11	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
RSAD2	RSAD2	4.780081606784867	6.846090105251809	7.589568591741625e-12	6.816253089285791e-10	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
IFI27	IFI27	4.004095819314148	9.915128159395616	3.5779696953102744e-23	9.907994414596704e-21	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
STAT1	STAT1	2.070905068768836	16.481298290196047	4.999951443995384e-61	6.645935459358665e-58	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
STAT2	STAT2	1.6229964125901122	11.430237670825436	2.952994543633328e-30	1.2661678539991674e-27	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
IRF1	IRF1	0.4324098458111484	2.15927809296878	0.0308285986605346	0.1278944236566249	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
IRF3	IRF3	0.7606778703347152	4.071195724454007	4.6772428698869934e-05	0.0008150138543272	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
IRF7	IRF7	3.737544782513464	13.507627284718788	1.409926940257082e-41	9.370374444948565e-39	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
IFNB1						GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
IFNL1	IFNL1	4.319663748074286	1.938414134139835	0.052572717393937		GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
CGAS						GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
STING1	STING1	-0.1922304986361295	-1.0113316758212123	0.311857710287572	0.5629787702217041	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
TBK1	TBK1	-0.0510110801206038	-0.3352103503285543	0.7374664148363836	0.8729305767856209	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
DDX58	RIGI	2.3979511257725927	16.410330751104283	1.6132422891311472e-60	1.7869347089276005e-57	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
IFIH1	IFIH1	2.1676438654364283	14.3736567670588	7.572501353851421e-47	5.591871555299615e-44	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
MAVS	MAVS	0.0634300309691052	0.4929565397680636	0.6220432958925374	0.8021926350056862	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
B2M	B2M	0.7741685267947891	6.862970082798189	6.7443355404870556e-12	6.098347483275778e-10	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
TAP1	TAP1	1.3617755597461596	9.546876933891044	1.3366493046698557e-21	3.416681261090716e-19	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
TAP2	TAP2	1.1238480348681843	9.021414276389102	1.856765050752361e-19	3.739412281000058e-17	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
TAPBP	TAPBP	0.5276448096657843	4.162312515592887	3.1504078049012764e-05	0.000584033759313	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
PSMB8	PSMB8	1.6417885935951864	1.180280329031045	0.2378887391391791		GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
PSMB9	PSMB9	1.7717496981023844	5.070137378757868	3.9752865039389844e-07	1.2794069784590063e-05	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
NLRC5	NLRC5	1.1824237036013103	5.556816600295566	2.747391633818917e-08	1.178010632152292e-06	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
HLA-A	HLA-A	1.5698141889776414	12.944024867459552	2.539674969555138e-38	1.3502943878130755e-35	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
HLA-B	HLA-B	1.4678400231766446	10.301066955784172	6.968406823558884e-25	2.105092352244197e-22	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
HLA-C	HLA-C	1.3622075643971012	11.768971777514512	5.640782788042223e-32	2.5854236144364555e-29	GSE294709_HCT116_Ku80AID_CDKi_D4	human	primary	True
XRCC5	XRCC5	-0.4232327809058166	-5.9218832995362	3.182754589336944e-09	3.9948271568938185e-08	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
XRCC6	XRCC6	-0.7119026464395483	-12.808532623405371	1.4688596712428296e-37	2.5741765738530587e-35	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
PRKDC	PRKDC	-0.7580949697416007	-14.226914546226247	6.237363708393989e-46	1.7846497794221168e-43	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
LIG4	LIG4	0.3577678018815691	2.513161808721432	0.0119654440000808	0.0355409789762651	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
ISG15	ISG15	1.1976148315632036	5.54454312250132	2.947226965125016e-08	3.156617421776373e-07	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
IFIT1	IFIT1	0.8143482354806449	2.220868993220713	0.0263598358984879	0.0687690545770006	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
IFIT2	IFIT2	1.5277734662545828	3.569929385476235	0.0003570774707687	0.0016873023728268	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
MX1	MX1	1.6015705918846448	2.3939694721221385	0.0166671359637003	0.0469612425167616	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
OAS1	OAS1	2.402771802594173	1.567476326485738	0.1170033954894361		GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
OAS2	OAS2	2.5077925310885423	1.1716137380678529	0.2413521698992015		GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
