contrast_id	accession	organism	system	perturbation	modality	tier	role	n_ko	n_ctrl	paired_design	n_genes_tested	XRCC5_log2FC	XRCC5_padj	XRCC6_log2FC	XRCC6_padj	on_target_pass	qc_note	in_primary_meta	in_encode_meta	note
GSE294709_HCT116_Ku80AID_CDKi_D4	GSE294709	human	HCT116 Ku80-AID	XRCC5	AID protein degron + CDK4/6 inhibitor	primary	Ku loss	3	3	True	19270	-0.2162571383115073	0.2433217825344945	-0.6107264208700084	7.546802112796293e-05	True	protein degron; mRNA drop not required	True	False	IAA+Dox+CDKi vs CDKi alone, day 4, clones 1/7/9. Proliferation-matched Ku80 degradation (Zhu et al., Nature 2025).
GSE294709_HCT116_Ku80AID_IAA_D2	GSE294709	human	HCT116 Ku80-AID	XRCC5	AID protein degron	timecourse	Ku loss	3	3	True	18745	-0.4232327809058166	3.9948271568938185e-08	-0.7119026464395483	2.5741765738530587e-35	True	protein degron; mRNA drop not required	False	False	IAA+Dox day 2 vs DMSO, clones 1/7/9. Same AID system as the CDKi day-4 contrast; not an independent meta unit.
GSE294709_HCT116_Ku80AID_IAA_24h	GSE294709	human	HCT116 Ku80-AID	XRCC5	AID protein degron	timecourse	Ku loss	2	2	True	20019	-0.1292466016086303	0.31036672241427	-0.2533633394439231	0.0028175113054858	True	protein degron; mRNA drop not required	False	False	IAA 24h vs DMSO 24h, clones 1 and 9 only (clone 7 has no 24h pair).
GSE294709_HCT116_Ku80AID_CDKi_48h	GSE294709	human	HCT116 Ku80-AID	XRCC5	AID protein degron + CDK4/6 inhibitor	timecourse	Ku loss	2	2	True	19931	-0.1543280285739523	0.1042919837835909	-0.4342129221530654	4.442831461457554e-13	True	protein degron; mRNA drop not required	False	False	CDKi+IAA 48h vs CDKi 48h, clones 1 and 9.
GSE294709_HCT116_Ku80AID_MAVSKO	GSE294709	human	HCT116 Ku80-AID MAVS-KO	XRCC5	AID degron on MAVS knockout	epistasis	Ku loss, MAVS absent	3	3	True	20890	-0.0060164347774347	0.9861350591349536	-0.4359314547086511	0.0031249397603645	True	protein degron; mRNA drop not required	False	False	IAA vs DMSO in three MAVS-KO clones on the Ku80-AID background. Mechanistic control, not a primary Ku-loss unit.
GSE294709_HCT116_Ku80flox_Cre_4OHT	GSE294709	human	HCT116 Ku86flox CreERT2	XRCC5	4OHT-Cre excision	unadjusted	Ku loss	2	2	False	19879	-3.215375297390817	1.1055004802023524e-303	-0.5978852298983318	5.398778456045986e-44	True	mRNA down	False	False	Ku86flox/-;CreERT2, 4OHT day 4 (Cre_D4) vs EtOH (Cre_D0). Not the primary flox unit: the matched no-Cre 4OHT arm also moves some ISGs, so the Ku-specific estimate is the interaction contrast.
GSE294709_HCT116_Ku80flox_noCre_4OHT	GSE294709	human	HCT116 Ku86flox no Cre	none (4OHT control)	4OHT without Cre	negative_control	4OHT only	2	2	False	19418	-0.0390658209058432	0.8505791490668928	-0.2389771040144769	0.0052451526521145	True	not a Ku-gene contrast	False	False	Same 4OHT vs EtOH in the floxed line that lacks Cre. XRCC5 should not drop. Not a Ku-loss contrast.
GSE294709_HEK293_Ku70_dox_withdrawal	GSE294709	human	HEK293 Ku70-KO + doxycycline-inducible Ku70	XRCC6	dox withdrawal of ectopic Ku70	primary	Ku loss	3	3	True	18382	0.1539211283321118	0.4445061985063528	-2.741369642484585	1.365521256333477e-109	True	mRNA down	True	False	Three clones (Sa11, SB, TI). No-dox day 8 (D8) vs dox (rescue). Series design: without dox the cells are Ku70-depleted.
GSE180581_HEK293T_siKu70	GSE180581	human	HEK293T	XRCC6	siRNA on heterozygous KO	primary	Ku loss	3	3	False	19615	-0.153249323881758	0.1912427129233988	-2.012703303187685	2.0738406135805602e-50	True	mRNA down	True	False	Ku70+/- cells, siKu70 vs siControl, n=3. Matched heterozygous background (Anisenko et al., Data in Brief 2021).
GSE180581_HEK293T_siKu80	GSE180581	human	HEK293T	XRCC5	siRNA on heterozygous KO	primary	Ku loss	3	3	False	18770	-1.9867430553096035	3.173354116344946e-50	-0.1201462485856411	0.5611226114045046	True	mRNA down	True	False	Ku80+/- cells, siKu80 vs siControl, n=3.
