meta	geneset	n_contrasts	n_NES_positive	n_NES_negative	n_FDR_lt_0.25_up	median_NES	min_NES	max_NES	stouffer_Z_up	stouffer_p_up	stouffer_Z_down	stouffer_p_down	contrasts
primary_Ku_loss	APM_KEGG	6	5	1	5	1.6474813926963385	-1.879708199467466	2.154135753624194	4.026649326606681	2.828865696415456e-05	-4.026649326606688	0.9999717113430359	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;GSE294709_HCT116_Ku80flox_interaction
primary_Ku_loss	APM_MHCI	6	2	4	2	-0.7622596098225043	-1.6910434350538777	2.5070428552153388	1.244508425609626	0.10665625016719255	-1.2445084256096337	0.893343749832809	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;GSE294709_HCT116_Ku80flox_interaction
primary_Ku_loss	IFN_ALPHA	6	3	3	2	0.22323564380860184	-1.3175115072168175	3.3559920383814	2.9358452395221812	0.0016632011550605091	-2.9358452395221883	0.9983367988449395	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;GSE294709_HCT116_Ku80flox_interaction
primary_Ku_loss	IFN_GAMMA	6	2	4	2	-0.9193821289915298	-1.0899730200445645	3.2591548848012293	2.253969308838444	0.01209904941226628	-2.253969308838452	0.987900950587734	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;GSE294709_HCT116_Ku80flox_interaction
primary_Ku_loss	RIGI_MDA5	6	3	3	3	0.33900909486484	-1.4524926467036654	1.9583762652981007	2.5708957610287446	0.005071792669892737	-2.5708957610287526	0.9949282073301073	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;GSE294709_HCT116_Ku80flox_interaction
primary_Ku_loss	STING	6	5	1	3	1.0947443335350568	-0.5493190815330363	1.446842887500254	2.103879528332101	0.017694478582658532	-2.103879528332101	0.9823055214173415	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;GSE294709_HCT116_Ku80flox_interaction
primary_plus_encode_ontarget	APM_KEGG	13	7	6	6	1.3131939871630651	-1.879708199467466	2.154135753624194	2.7002528654623665	0.003464339607901839	-2.7002528654623723	0.9965356603920982	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6;GSE294709_HCT116_Ku80flox_interaction
primary_plus_encode_ontarget	APM_MHCI	13	3	10	3	-0.8098521812823761	-1.838752442279086	2.5070428552153388	1.2126977270410662	0.11262270458986323	-1.2126977270410715	0.8873772954101378	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6;GSE294709_HCT116_Ku80flox_interaction
primary_plus_encode_ontarget	IFN_ALPHA	13	7	6	5	0.9586656519549195	-1.8264438241729821	3.3559920383814	2.7643574411867973	0.0028517511648209733	-2.7643574411868026	0.997148248835179	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6;GSE294709_HCT116_Ku80flox_interaction
primary_plus_encode_ontarget	IFN_GAMMA	13	5	8	4	-0.9000766238536502	-1.6250158806435255	3.2591548848012293	1.713139955232976	0.043343397470723945	-1.7131399552329827	0.9566566025292766	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6;GSE294709_HCT116_Ku80flox_interaction
