gene	ensembl	assay_type	source	technology	tissue	unit	nTPM	rank_desc	n_tissues	note
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	esophagus	nTPM	317.9	1	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	urinary bladder	nTPM	282.7	2	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	colon	nTPM	265.3	3	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	salivary gland	nTPM	215.1	4	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	skin	nTPM	187.8	5	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	small intestine	nTPM	179.5	6	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	pancreas	nTPM	123.5	7	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	duodenum	nTPM	119.3	8	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	kidney	nTPM	115.9	9	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	rectum	nTPM	115.9	10	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	thyroid gland	nTPM	115.3	11	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	vagina	nTPM	107.3	12	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	prostate	nTPM	84.7	13	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	fallopian tube	nTPM	71.3	14	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	breast	nTPM	68.8	15	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	lung	nTPM	66.7	16	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	cervix	nTPM	66.5	17	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	parathyroid gland	nTPM	48.7	18	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	gallbladder	nTPM	45.9	19	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	seminal vesicle	nTPM	36.9	20	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	tonsil	nTPM	35.2	21	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	placenta	nTPM	34.1	22	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	endometrium	nTPM	25.1	23	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	epididymis	nTPM	23.1	24	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	appendix	nTPM	21.7	25	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	stomach	nTPM	14.4	26	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	pituitary gland	nTPM	13.6	27	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	thymus	nTPM	10.0	28	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	choroid plexus	nTPM	8.3	29	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	smooth muscle	nTPM	6.9	30	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	liver	nTPM	4.5	31	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	adipose tissue	nTPM	2.5	32	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	cerebellum	nTPM	1.3	33	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	ovary	nTPM	1.2	34	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	hippocampal formation	nTPM	1.0	35	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	cerebral cortex	nTPM	0.9	36	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	lymph node	nTPM	0.9	37	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	amygdala	nTPM	0.7	38	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	spleen	nTPM	0.7	39	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	hypothalamus	nTPM	0.6	40	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	testis	nTPM	0.6	41	51	Official rna_tissue_consensus.tsv. Not IHC.
CLDN4	ENSG00000189143	consensusTissue	HPA+GTEx consensus	RNAseq	skeletal muscle	nTPM	0.5	42	51	Official rna_tissue_consensus.tsv. Not IHC.
