paper_id	first_author	year	pmid	pmcid	doi	title	journal	bucket	system	cldn4_perturbation	teer_or_rt	other_barrier	oa	notes
Wray2009	Wray	2009	19447895	PMC2742793	10.1152/ajplung.00043.2009	Claudin-4 augments alveolar epithelial barrier function and is induced in acute lung injury	Am J Physiol Lung Cell Mol Physiol	lung_epithelium	primary rat AT2; human DLEC; C57BL/6 VILI	siRNA (human DLEC); CPEBD (rat/human/mouse)	yes	AFC; 40-kDa dextran; excess lung water; albumin flux	PMC HTML	Core loss-of-function TEER paper. GEO GSE11434.
Mitchell2011	Mitchell	2011	21515662	PMC3129905	10.1152/ajplung.00299.2010	Differential effects of claudin-3 and claudin-4 on alveolar epithelial barrier function	Am J Physiol Lung Cell Mol Physiol	lung_epithelium	primary rat AEC (model AT1)	YFP-Cldn-4 / YFP-Cldn-3 adenovirus	yes	calcein and 10-kDa dextran flux; Isc; PNa/PCl	Europe PMC PDF	Core gain-of-function TER paper.
Kage2014	Kage	2014	25106430	PMC4187039	10.1152/ajplung.00077.2014	Claudin 4 knockout mice: normal physiological phenotype with increased susceptibility to lung injury	Am J Physiol Lung Cell Mol Physiol	lung_epithelium	Cldn4 KO mouse; primary mouse AEC monolayers	germline KO	yes (Rt unchanged)	AFC; 5-CF and 155-kDa dextran; Isc; VILI; hyperoxia	PMC HTML	Chronic KO: ion Rt unchanged, solute leak up. GEO GSE50927.
Rokkam2011	Rokkam	2011	21741940	PMC3157178	10.1016/j.ajpath.2011.05.017	Claudin-4 levels are associated with intact alveolar fluid clearance in human lungs	Am J Pathol	lung_epithelium	ex vivo human donor lungs rejected for transplant	endogenous CLDN4 IHC / blot	no TEER	AFC; Murray LIS	PMC HTML	Human barrier physiology, not TEER.
Lee2018	Lee	2018	29178675	PMC5705480	10.4168/aair.2018.10.1.25	Alteration in claudin-4 contributes to airway inflammation and responsiveness in asthma	Allergy Asthma Immunol Res	lung_epithelium	NHBE; human asthma plasma; OVA mouse	CLDN4 siRNA in NHBE	yes (figure; axis labeled TEER Ω·cm2)	plasma CLDN4; AHR	OA PDF	Printed TEER Ω values not in text; *P<0.05 on figure.
LaFemina2010	LaFemina	2010	20833776	PMC3006268	10.1152/ajplung.00233.2010	Keratinocyte growth factor enhances barrier function without altering claudin expression in primary alveolar epithelial cells	Am J Physiol Lung Cell Mol Physiol	lung_epithelium	primary AEC	none (KGF; CLDN4 unchanged)	yes	dye flux	cited	Barrier up without CLDN4 change; cited by Rokkam/Mitchell.
Overgaard2012	Overgaard	2012	22671603	PMC3375852	10.1111/j.1749-6632.2012.06545.x	Roles for claudins in alveolar epithelial barrier function	Ann N Y Acad Sci	review_lung	alveolar epithelium	quotes Mitchell/Wray	quotes TER	quotes	PMC	Quotes Mitchell TER ~550 to ~400 for Cldn-3; Cldn-4 +~50%.
Schlingmann2015	Schlingmann	2015	25910421	PMC4562902	10.4161/21688370.2014.977176	Claudins: gatekeepers of lung epithelial function	Tissue Barriers	review_lung	airway/alveolar	quotes Wray/Mitchell/Kage	quotes TER	quotes	PMC	Quotes ~30% TER rise with Cldn-4 OE; KO no TER change.
Koval2013	Koval	2013	23098155		10.1146/annurev-physiol-030212-183809	Claudin heterogeneity and control of lung tight junctions	Annu Rev Physiol	review_lung	lung TJ	review	review	review	not retrieved as full OA here	Protective role of CLDN4 vs injury.
Arabi2024	Arabi	2024	39364319	PMC11446878	10.3389/fonc.2024.1435535	Deciphering the role of claudins in lung cancer	Front Oncol	review_lung_cancer	LUAD/LUSC	none	no	IHC/expression	OA	States no mechanistic CLDN4-in-LUAD studies.
FujiwaraTani2023	Fujiwara-Tani	2023	36982569	PMC10051602	10.3390/ijms24065494	Claudin-4: a new molecular target for epithelial cancer therapy	Int J Mol Sci	review_cancer	many epithelial cancers	quotes KD TER mild in gastric/bladder	quotes TER	quotes	OA	No lung-cancer TER numbers.
Litkouhi2007	Litkouhi	2007	17460774	PMC1854850	10.1593/neo.07118	Claudin-4 overexpression in epithelial ovarian cancer is associated with hypomethylation and is a potential target for modulation of tight junction barrier function using a C-terminal fragment of Clostridium perfringens enterotoxin	Neoplasia	cancer_other	ovarian cancer lines (SKOV3, OVCA429, others)	siRNA; C-CPE	ECIS Rb (not classic Transwell TEER)	Rb vs CLDN4 qPCR	PMC HTML	Public Rb numbers; not lung.
Nishiguchi2019	Nishiguchi	2019	31040910	PMC6481338	10.18632/oncotarget.26758	Targeting claudin-4 enhances CDDP-chemosensitivity in gastric cancer	Oncotarget	cancer_other	MKN74, TMK-1 gastric	4D3 Ab vs CLDN4 KD	yes (figure)	intracellular platinum	OA	Text: 4D3 decreases TER; KD does not. Printed Ω not in text.
Kuwada2019	Kuwada	2019	31498559	PMC6825989	10.1002/cam4.2547	Targeting claudin-4 enhances chemosensitivity of pancreatic ductal carcinomas	Cancer Med	cancer_other	MIA PaCa-2 pancreatic	4D3 Ab	yes	HIF-1α; 5-FU	OA	Printed: 4D3 79% TER decrease; 2C1 19%.
VanItallie2001	Van Itallie	2001	11375422	PMC209303	10.1172/JCI12464	Regulated expression of claudin-4 decreases paracellular conductance through a selective decrease in sodium permeability	J Clin Invest	context_not_lung	MDCK II tet-off	inducible human CLDN4	yes	PNa; mannitol flux	JCI PDF	Foundational Na-barrier paper.
VanItallie2003	Van Itallie	2003	13129853		10.1152/ajprenal.00116.2003	Reversal of charge selectivity in cation or anion-selective epithelial lines by expression of different claudins	Am J Physiol Renal Physiol	context_not_lung	MDCK; LLC-PK1	CLDN4 OE	yes	dilution potential	publisher HTML	Printed Ω·cm2 means ± SE.
Hou2006	Hou	2006	17028154		10.1074/jbc.M608853200	Study of claudin function by RNA interference	J Biol Chem	context_not_lung	MDCK II	CLDN4 RNAi	yes	PNa; PNa/PCl	publisher snippet	Printed TER 78.0 vs 53.7 Ω·cm2.
Park2021	Park	2021	34675499	PMC8502106	10.2147/COPD.S330674	Association of the tight junction protein claudin-4 with lung function and exacerbations in chronic obstructive pulmonary disease	Int J Chron Obstruct Pulmon Dis	lung_clinical_no_TEER	COPD plasma/sputum	endogenous CLDN4 ELISA	no	FEV1 / exacerbations	OA	Barrier-related clinical, not TEER.
Zhang2024	Zhang	2024	38629624		10.1002/ctm2.1649	Single-cell transcriptomics reveal metastatic CLDN4+ cancer cells underlying the recurrence of malignant pleural effusion in patients with advanced non-small-cell lung cancer	Clin Transl Med	lung_cancer_no_TEER	NSCLC MPE scRNA	expression only	no	none	OA	CLDN4+ metastatic cluster; no TEER.
Soini2011	Soini	2011	21658255	PMC3123293	10.1186/1465-9921-12-70	Claudins in lung diseases	Respir Res	review_lung	lung disease/cancer IHC	none	no	none	OA	Expression review; no CLDN4 TEER table.
