record_id	paper_id	pmid	metric	system	comparison	value_text	unit	n	p_value_as_published	source	notes
W09-01	Wray2009	19447895	CLDN4 mRNA	mouse whole lung VILI	high TV vs spontaneous	eightfold increase (abstract); microarray >2-fold among GO tight-junction genes	fold	array n=5/group; qPCR n=6/group	P < 0.05 (FDR for array; qPCR vs all other groups)	abstract + Results	Do not treat eightfold and 75% protein as the same endpoint.
W09-02	Wray2009	19447895	CLDN4 protein densitometry	mouse whole lung	3 h high TV vs no ventilation	75% increase; CLDN3 unchanged; CLDN18 1.0±0.11 vs 1.0±0.31	relative to β-actin	n=3/group for CLDN18	CLDN18 P > 0.05	Fig. 1 legend + Results	
W09-03	Wray2009	19447895	TEER	human DLEC	CPEBD 10 µg/ml vs control peptide	196 ± 20 vs 249 ± 12	Ω·cm2	n=3 replicates of 6 wells; mean±SE	P < 0.05	Results paragraph on CPEBD	Printed TEER pair.
W09-04	Wray2009	19447895	TEER	primary rat AT2	CPEBD dose-response	decreased, dose-dependent	figure_only	minimum 3 replicates of 6 wells; mean±SE	P < 0.05 vs control peptide	Fig. 3A legend	No printed Ω in text.
W09-05	Wray2009	19447895	40-kDa dextran permeability	rat AT2	CPEBD vs control	not increased	figure_only	minimum 3 replicates of 6 wells	P < 0.05 vs control (legend; direction is no increase in leak)	Fig. 3B	Macromolecule flux not lost.
W09-06	Wray2009	19447895	AFC	mouse in vivo	CPEBD vs control peptide	decreased >33% (abstract); basal and terbutaline-stimulated AFC both down	% instilled volume / 30 min	n=6–9/group	P < 0.05 (basal and stimulated)	abstract + Fig. 4A	
W09-07	Wray2009	19447895	CLDN4 mRNA after siRNA	human DLEC	CLDN4 siRNA 20 nM vs nonsilencing	80% decrease	mRNA	minimum 3 replicates of 6 wells	P < 0.05	Results + Fig. 5A	CLDN3 mRNA unchanged.
W09-08	Wray2009	19447895	CLDN4 protein after siRNA	human DLEC	CLDN4 siRNA vs control	decreased by nearly 70% (Discussion)	protein	n=3	P < 0.05	Discussion + Fig. 5C	
W09-09	Wray2009	19447895	TEER	human DLEC	CLDN4 siRNA vs nonsilencing	decreased; effect size comparable with CPEBD	figure_only	minimum 3 replicates of 6 wells; mean±SE	P < 0.05	Fig. 5D	No printed Ω for siRNA TEER.
W09-10	Wray2009	19447895	CLDN4 mRNA	human DLEC	PMA 4 h	ninefold increase	fold	n=4 replicates of 6 wells	P < 0.05	abstract + Fig. 6B	Blocked by Gö-6850; JNK required. TEER after PMA not assessed (Discussion).
