dataset	gene	n_lung_cell_lines_quantified	n_lung_with_CLDN4_and_gene	in_hallmark_IFNG
Gygi_CCLE_MS	ADAR	76	44	True
Gygi_CCLE_MS	B2M	76	44	True
Gygi_CCLE_MS	BST2	76	44	True
Gygi_CCLE_MS	EIF2AK2	76	44	True
Gygi_CCLE_MS	HLA-A	76	44	True
Gygi_CCLE_MS	HLA-B	76	44	True
Gygi_CCLE_MS	HLA-C	76	44	False
Gygi_CCLE_MS	IFI35	76	44	True
Gygi_CCLE_MS	IFIT1	76	44	True
Gygi_CCLE_MS	IFIT3	76	44	True
Gygi_CCLE_MS	IRF9	76	44	True
Gygi_CCLE_MS	ISG15	76	44	True
Gygi_CCLE_MS	MX1	76	44	True
Gygi_CCLE_MS	OAS2	76	44	True
Gygi_CCLE_MS	OAS3	76	44	True
Gygi_CCLE_MS	PSMB10	76	44	True
Gygi_CCLE_MS	PSMB8	76	44	True
Gygi_CCLE_MS	PSMB9	76	44	True
Gygi_CCLE_MS	SAMHD1	76	44	True
Gygi_CCLE_MS	STAT1	76	44	True
Gygi_CCLE_MS	STAT2	76	44	True
Gygi_CCLE_MS	TACSTD2	76	44	False
Gygi_CCLE_MS	TAP1	76	44	True
Gygi_CCLE_MS	TAP2	76	44	False
Gygi_CCLE_MS	TRIM25	76	44	True
Gygi_CCLE_MS	OAS1	66	40	False
Gygi_CCLE_MS	CD274	65	38	True
Gygi_CCLE_MS	CLDN4	44	44	False
Gygi_CCLE_MS	IRF1	25	18	True
