ModelID	CellLineName	CCLEName	OncotreePrimaryDisease	OncotreeSubtype	group	CLDN4	TACSTD2	CD274	sig_IFNG_protein	sig_MHC1_protein	sig_ISG_protein	HLA-A	HLA-B	HLA-C	B2M
ACH-000681	A549	A549_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-5.30030757200522	-2.79992187142195	1.37990145730319	-0.39781303378185223	-1.1427804769514351	-0.754327069291697	-0.8308323278791234	-2.2521060190302578	-1.2560872246040673	-2.11015397563434
ACH-000528	ABC-1	ABC1_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	1.35907839420605	2.42004783204824	-0.691366525456361	-0.29568870066878516	-0.525211350924376	-0.5500009920467079	-1.7331667797411427	-1.6133183640895001	0.1853225265043428	-0.290927418943977
ACH-000161	COR-L105	CORL105_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-2.08255300509259	-2.92509722976601	1.0744737835569	0.12300539088881439	1.0242141710332766	-0.2620554456363017	-0.5499949596798288	1.6310769870682265	2.1417653339566525	0.631455239365132
ACH-000264	Calu-6	CALU6_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		-1.58088192975724	-0.0053826778788565	-0.3622444850095069	-0.3918047856595809	-0.6654343816048783	0.0554229804418017	-1.9643663625717014	-1.0800314664318715	0.420416367830394
ACH-000925	DV-90	DV90_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	2.5333035825933	1.92830661848231	-0.938948293760073	0.31278342401839077	-0.6198153905447387	0.7401418294368525	-1.930647723398255	-1.0658047294746744	-0.6258597826797837	-0.0412589674625372
ACH-000712	HCC-1833	HCC1833_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.301393242144924	-2.04417774770678	-0.710268384667922	-0.4558789532757049	1.1317256769259973	-0.44449133154930043	1.207589436331692	0.26685763617386143	1.0772449475830854	2.05373727539763
ACH-000667	HCC-44	HCC44_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.55894243942282	-0.78931032834856		0.25887838316308215	-0.10444960247434837	0.28280759241685804	-1.6666809395213653	-0.023681625591520983	-0.4165109800333237	1.07550818725142
ACH-000012	HCC-827	HCC827_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	1.80847161075187	2.5252116126129	1.96648366161931	0.9412263961487289	1.213090788976535	1.3874292245686084	0.5224647161438686	2.199095627833035	0.3644355530977301	2.23385766767206
ACH-000787	LXF-289	LXF289_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		-1.88430308971264	0.32536698871098	0.05184271305278655	0.0927825985120687	0.12840369218962086	-0.4435892566391958	1.6683576876986832	-1.4186019916997916	0.249398970954569
ACH-000666	NCI-H1355	NCIH1355_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		-1.34487248734271	-1.12066247160186	-0.160611803017665	-0.7378042175011048	-0.11337301891724494	-0.48986639144812316	-1.7861739182078384	-0.45792795859214896	-1.89261106956317
ACH-000852	NCI-H1435	NCIH1435_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.401149343110885	1.483328582339	-1.04193085049452	-0.22994274691135871	-0.9986951585570412	-0.6260839713888319	-1.5828097745958187	-1.5684531687779288	-1.0614418580519585	-1.41184477543302
ACH-000589	NCI-H1437	NCIH1437_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD		1.98355746845443	-0.923958016479268	-0.16020102462615005	0.1542504291722827	-0.07834446277643484	-0.047710044966298	-0.8721794791235491	-0.37326621074502336	1.40638312857918
ACH-000869	NCI-H1568	NCIH1568_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.644483123861004	-0.253640981085358	0.174708768414522	-0.3558350436598775	-0.46905702922231496	-0.8729739948997124	-1.449275102149504	-0.31893381661594666	-0.2136898332892296	-1.16922588649961
ACH-000916	NCI-H1573	NCIH1573_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.904895344446136	0.538564421516332	-0.227597681725398	-0.43721683712569687	-0.4660027366984901	-0.41271066407590934	-1.6677879890651903	0.5570773128867194	-1.2519469372746381	-0.393139188094295
