dataset	contrast	role	compartment	x	y	scope	spearman_rho	spearman_p	spearman_p_method	n	n_genes_used	interpretable_program	paired_score_deltas	paired_cldn_deltas	paired_labels
GSE245459	shTACSTD2_vs_shNC	primary_kd	in_vitro_cell_line	log2(CLDN4+1)	ifn_alpha	contrast_samples	0.8857142857142857	0.03333333333333333	exact_permutation	6	75	True			
GSE245459	shTACSTD2_vs_shNC	primary_kd	in_vitro_cell_line	log2(CLDN4+1)	ifn_gamma	contrast_samples	0.7714285714285715	0.10277777777777777	exact_permutation	6	125	True			
GSE245459	shTACSTD2_vs_shNC	primary_kd	in_vitro_cell_line	log2(CLDN4+1)	effector	contrast_samples			undefined	6	0	False			
GSE245459	shTACSTD2_vs_shNC	primary_kd	in_vitro_cell_line	log2(CLDN4+1)	leukocyte	contrast_samples	0.6	0.24166666666666667	exact_permutation	6	1	False			
GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin	in_vitro_cell_line	log2(CLDN4+1)	ifn_alpha	contrast_samples	-0.6571428571428571	0.175	exact_permutation	6	71	True			
GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin	in_vitro_cell_line	log2(CLDN4+1)	ifn_gamma	contrast_samples	-0.6	0.24166666666666667	exact_permutation	6	121	True			
GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin	in_vitro_cell_line	log2(CLDN4+1)	effector	contrast_samples	0.3142857142857143	0.5638888888888889	exact_permutation	6	1	False			
GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin	in_vitro_cell_line	log2(CLDN4+1)	leukocyte	contrast_samples			undefined	6	0	False			
GSE334497	Trop2KO_vs_WT	primary_ko	bulk_tumor_immunocompetent_mouse	log2(Cldn4+1)	ifn_alpha	contrast_samples	-0.13939393939393938	0.7009318849100584	student_t	10	93	True			
GSE334497	Trop2KO_vs_WT	primary_ko	bulk_tumor_immunocompetent_mouse	log2(Cldn4+1)	ifn_gamma	contrast_samples	-0.2121212121212121	0.5563057751029299	student_t	10	187	True			
GSE334497	Trop2KO_vs_WT	primary_ko	bulk_tumor_immunocompetent_mouse	log2(Cldn4+1)	effector	contrast_samples	-0.17575757575757575	0.6271883447764846	student_t	10	10	True			
GSE334497	Trop2KO_vs_WT	primary_ko	bulk_tumor_immunocompetent_mouse	log2(Cldn4+1)	leukocyte	contrast_samples	-0.1515151515151515	0.6760651759978539	student_t	10	9	True			
GSE289287	Trop2KO_vs_WT_xenograft	primary_ko	bulk_xenograft_NRG_human_genes	log2(CLDN4+1)	ifn_alpha	contrast_samples	0.21428571428571427	0.6615079365079365	exact_permutation	7	90	True			
GSE289287	Trop2KO_vs_WT_xenograft	primary_ko	bulk_xenograft_NRG_human_genes	log2(CLDN4+1)	ifn_gamma	contrast_samples	0.32142857142857145	0.4976190476190476	exact_permutation	7	171	True			
GSE289287	Trop2KO_vs_WT_xenograft	primary_ko	bulk_xenograft_NRG_human_genes	log2(CLDN4+1)	effector	contrast_samples	-0.5357142857142857	0.2357142857142857	exact_permutation	7	1	False			
GSE289287	Trop2KO_vs_WT_xenograft	primary_ko	bulk_xenograft_NRG_human_genes	log2(CLDN4+1)	leukocyte	contrast_samples	-0.8928571428571429	0.012301587301587301	exact_permutation	7	4	False			
