dataset	contrast	role	compartment	species	n_ctrl	n_treat	target_symbol	target_mean_ctrl	target_mean_treat	target_delta_log2p1	target_mw_p	cldn_symbol	cldn_mean_ctrl	cldn_mean_treat	cldn_delta_log2p1	cldn_mw_p	note	ifn_alpha_delta	ifn_alpha_mw_p	ifn_alpha_n_genes_used	ifn_gamma_delta	ifn_gamma_mw_p	ifn_gamma_n_genes_used	effector_delta	effector_mw_p	effector_n_genes_used	leukocyte_delta	leukocyte_mw_p	leukocyte_n_genes_used	ifn_alpha_wilcoxon_p	ifn_alpha_paired_mean_delta	ifn_gamma_wilcoxon_p	ifn_gamma_paired_mean_delta	effector_wilcoxon_p	effector_paired_mean_delta	cldn_wilcoxon_p	cldn_paired_mean_delta	target_wilcoxon_p	target_paired_mean_delta
GSE245459	shTACSTD2_vs_shNC	primary_kd	in_vitro_cell_line	human	3	3	TACSTD2	5.398524410333333	0.034112651	-2.6275637571673265	0.1	CLDN4	3.148711301666667	0.10087861366666666	-1.915199492201864	0.1	SKOV3 shRNA called sh1-3 versus shNC. Series text says knockout; sample names are shRNA. No cisplatin.	-0.6144072068639361	0.1	75	-0.519515084739647	0.1	125			0	-0.7910205913142945	0.1	1										
GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin	in_vitro_cell_line	human	3	3	TACSTD2	19.87726648	0.27564142166666666	-4.033039543134698	0.1	CLDN4	0.364694758	0.23881893666666665	-0.13911747760769227	0.1	Same shRNA contrast on a cisplatin background. Not independent of the no-cisplatin contrast.	0.40045894298850193	0.1	71	0.20270643846811742	0.1	121	-0.23009613954368335	0.4	1			0										
GSE334497	Trop2KO_vs_WT	primary_ko	bulk_tumor_immunocompetent_mouse	mouse	5	5	Tacstd2	159.15045512234832	11.018102648690116	-3.821168564385717	0.007936507936507936	Cldn4	2604.829025055698	1673.7895169202948	-0.8172280353675241	0.42063492063492064	4T1 tumors in BALB/c. Column IDs are GEO library names: KO162/164/165/172/RESUB-KO163R versus RESUB-171R/170R/169R/168R/control170.	0.11505674732402937	0.42063492063492064	93	0.1277431666444837	0.30952380952380953	187	0.7265153318380744	0.05555555555555555	10	0.3547625629840896	0.05555555555555555	9										
GSE289287	Trop2KO_vs_WT_xenograft	primary_ko	bulk_xenograft_NRG_human_genes	human	3	4	TACSTD2	1722.5105253627364	158.56814764594776	-3.4650115626906306	0.05714285714285714	CLDN4	908.7782864366224	1110.85845631544	0.2872251881319965	0.11428571428571428	T-47D mammary-fat-pad tumors in NRG mice. Recomputed from DESeq2 normalized counts in the deposited table, protein-coding rows only. NRG mice lack adaptive immunity; human gene matrix does not measure mouse infiltrate.	0.30590048628015865	0.4	90	0.10445442778484448	0.4	171	-0.6498571986184054	0.22857142857142856	1	-0.46231716948500123	0.22857142857142856	4										
GSE289287	DSG2KO_vs_WT_xenograft	comparator_not_TACSTD2	bulk_xenograft_NRG_human_genes	human	3	7	TACSTD2	1722.5105253627364	1501.359929916563	-0.2194021989383046	0.11666666666666667	CLDN4	908.7782864366224	468.6891856337461	-1.001166850927735	0.016666666666666666	Same study, DSG2 knockout rather than Trop2. Comparator only. Normalized in a separate DESeq2 model from the Trop2 table, so counts are not pooled with Trop2 KO samples.	0.9698319868848895	0.016666666666666666	94	0.6698392336947689	0.016666666666666666	180	-0.6995248645842782	0.3833333333333333	1	0.0684724149642928	0.8333333333333333	6										
GSE304294	IMMU132_vs_control	primary_adc	in_vitro_cell_line	human	3	2	TACSTD2	199.22484228555467	446.25466925324304	1.1590184146072362	0.2	CLDN4	73.69833813180423	139.400545021963	0.9105046582431839	0.2	KYSE30, 1 day. Library names OX2 are IMMU132 (n=2) and OX1 are control (n=3). ADC exposure is not a genetic knockout, so TACSTD2 mRNA need not fall.	0.3011541652642933	0.2	75	0.21891384194276764	0.2	129	0.34707692767041587	0.2	1			0										
GSE304294	IACS_vs_control	same_experiment_not_adc	in_vitro_cell_line	human	3	3	TACSTD2	199.22484228555467	299.00758563324626	0.5813974455406941	0.1	CLDN4	73.69833813180423	105.1661981606628	0.5045193254529892	0.1	OXPHOS inhibitor IACS-010759 alone. Not a TROP2 perturbation.	0.00855489922341146	0.4	76	-0.007995388418452265	1.0	130			0			0										
GSE304294	IMMU132_plus_IACS_vs_control	secondary_adc_combination	in_vitro_cell_line	human	3	3	TACSTD2	199.22484228555467	514.2715424440527	1.3633202824302044	0.1	CLDN4	73.69833813180423	190.2215294538223	1.3554815488626648	0.1	IMMU132 plus IACS-010759. Not attributable to the ADC alone.	0.09445166459488208	0.1	77	0.050673893340566156	0.1	129	0.4406805826939857	0.1	1			0										
GSE312098	IMMU132_vs_control	primary_adc	in_vitro_cell_line	human	3	3	TACSTD2	41.5036092042016	67.19566640186987	0.6829585033438619	0.1	CLDN4	91.78143931302428	50.07470669388331	-0.8611090921796052	0.1	CX-1 cells, 48 h, 3 ug/ml IMMU132. Library names from GEO: X_1-3 control, X_4-6 IMMU132.	0.4321706592397647	0.1	76	0.32626672617407015	0.1	127	-0.6284927837214858	0.1	1			0										
GSE312098	GSK2606414_vs_control	same_experiment_not_adc	in_vitro_cell_line	human	3	3	TACSTD2	41.5036092042016	43.43179491486337	0.06486846855507	0.4	CLDN4	91.78143931302428	88.36999031806221	-0.05535371653167154	0.7	PERK inhibitor GSK2606414 alone.	0.13404692937958895	0.1	75	0.10285390389772875	0.1	126	-0.1859658381692818	0.4	1			0										
GSE312098	IMMU132_plus_GSK_vs_control	secondary_adc_combination	in_vitro_cell_line	human	3	3	TACSTD2	41.5036092042016	72.8739473227717	0.7985536481882392	0.1	CLDN4	91.78143931302428	59.624332668770734	-0.6138934536920777	0.1	IMMU132 plus GSK2606414. Not attributable to the ADC alone.	0.5294832175138944	0.1	78	0.45827448889469125	0.1	129	-0.8017130213626145	0.1	1			0										
GSE311016	IMMU132_vs_paired_control	primary_adc	bulk_PDX_human_genes	human	5	5	TACSTD2	29.155194864376377	15.918987298818866	-0.42122880981364474	0.6904761904761905	CLDN4	128.9375108294816	97.78592340733289	-0.43712087969324465	0.42063492063492064	Five CRC PDX models, control versus IMMU132 at day 29. Column prefix C/T matches GEO treatment labels. Matrix is human genes, so mouse stromal immune cells are not in the table. Host strain is not stated in the GEO fields read here.	0.06216614536307086	1.0	92	0.028613814397325577	0.8412698412698413	154	0.0045721430263663265	1.0	3			0	0.8125	0.06216614536307104	0.8125	0.02861381439732531	1.0	0.004572143026366343	0.0625	-0.43712087969324465	0.4375	-0.42122880981364486
