dataset	contrast	role	compartment	species	score	n_genes_in_set	n_genes_present	n_genes_used	genes_used	interpretable_program	expr_floor	mean_score_ctrl	mean_score_treat	delta_mean_score	mw_p	mw_method	n_ctrl	n_treat	note	paired_mean_delta	wilcoxon_p	wilcoxon_method	wilcoxon_n_nonzero
GSE245459	shTACSTD2_vs_shNC	primary_kd	in_vitro_cell_line	human	ifn_alpha	97	97	75		True	1.0	3.826090506929655	3.211683300065719	-0.6144072068639361	0.1	exact	3	3	SKOV3 shRNA called sh1-3 versus shNC. Series text says knockout; sample names are shRNA. No cisplatin.				
GSE245459	shTACSTD2_vs_shNC	primary_kd	in_vitro_cell_line	human	ifn_gamma	200	195	125		True	1.0	3.614544547374555	3.095029462634908	-0.519515084739647	0.1	exact	3	3	SKOV3 shRNA called sh1-3 versus shNC. Series text says knockout; sample names are shRNA. No cisplatin.				
GSE245459	shTACSTD2_vs_shNC	primary_kd	in_vitro_cell_line	human	effector	12	10	0		False	1.0					no_genes_above_floor	3	3	SKOV3 shRNA called sh1-3 versus shNC. Series text says knockout; sample names are shRNA. No cisplatin.				
GSE245459	shTACSTD2_vs_shNC	primary_kd	in_vitro_cell_line	human	leukocyte	10	9	1	CD4	False	1.0	1.312658730056909	0.5216381387426146	-0.7910205913142945	0.1	exact	3	3	SKOV3 shRNA called sh1-3 versus shNC. Series text says knockout; sample names are shRNA. No cisplatin.				
GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin	in_vitro_cell_line	human	ifn_alpha	97	97	71		True	1.0	3.5216977964109795	3.9221567393994814	0.40045894298850193	0.1	exact	3	3	Same shRNA contrast on a cisplatin background. Not independent of the no-cisplatin contrast.				
GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin	in_vitro_cell_line	human	ifn_gamma	200	195	121		True	1.0	3.4249916425332323	3.6276980810013497	0.20270643846811742	0.1	exact	3	3	Same shRNA contrast on a cisplatin background. Not independent of the no-cisplatin contrast.				
GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin	in_vitro_cell_line	human	effector	12	10	1	CTSW	False	1.0	0.9155529960199139	0.6854568564762306	-0.23009613954368335	0.4	exact	3	3	Same shRNA contrast on a cisplatin background. Not independent of the no-cisplatin contrast.				
GSE245459	shTACSTD2_DDP_vs_shNC_DDP	secondary_kd_on_cisplatin	in_vitro_cell_line	human	leukocyte	10	9	0		False	1.0					no_genes_above_floor	3	3	Same shRNA contrast on a cisplatin background. Not independent of the no-cisplatin contrast.				
GSE334497	Trop2KO_vs_WT	primary_ko	bulk_tumor_immunocompetent_mouse	mouse	ifn_alpha	94	93	93		True	1.0	9.278177864863443	9.393234612187472	0.11505674732402937	0.42063492063492064	exact	5	5	4T1 tumors in BALB/c. Column IDs are GEO library names: KO162/164/165/172/RESUB-KO163R versus RESUB-171R/170R/169R/168R/control170.				
GSE334497	Trop2KO_vs_WT	primary_ko	bulk_tumor_immunocompetent_mouse	mouse	ifn_gamma	188	187	187		True	1.0	8.969197426042376	9.09694059268686	0.1277431666444837	0.30952380952380953	exact	5	5	4T1 tumors in BALB/c. Column IDs are GEO library names: KO162/164/165/172/RESUB-KO163R versus RESUB-171R/170R/169R/168R/control170.				
