series,sample,n_spots,n_cd8pos,genes_present,spearman_r,spearman_p,krt8_resid_r,krt8_resid_p,q1_n,q4_n,q1_med_dist,q4_med_dist,q4_minus_q1,dist_u,dist_p,note
GSE189487,GSM5702473_TD1,4094,541,"CLDN4,CD8A,KRT8",-0.07091034211263966,5.5859159913609456e-06,-0.02780557315932714,0.07525241813339968,1048,1263,201.1889659002203,200.6888138387389,-0.5001520614814012,641686.5,0.20237516072303785,
GSE189487,GSM5702474_TD2,4414,327,"CLDN4,CD8A,KRT8",-0.05045035257527685,0.0007993972567993486,-0.06443217475400974,1.8357915486721012e-05,1109,1104,346.8083043988422,348.0,1.1916956011577895,655073.5,0.004218939463916214,
GSE189487,GSM5702475_TD3,1139,109,"CLDN4,CD8A,KRT8",-0.07442194241130352,0.011991359104540746,-0.02318472358077822,0.43438568486604834,555,407,346.8083043988422,346.8083043988422,0.0,112599.5,0.9355444219427633,
GSE189487,GSM5702476_TD5,1700,314,"CLDN4,CD8A,KRT8",-0.16051607181318664,2.8026220855463402e-11,-0.0766447267795963,0.0015643618275205731,440,593,200.19240744843447,201.06217943710845,0.869771988673989,152641.0,2.3051262771714082e-06,
GSE189487,GSM5702477_TD6,3911,196,"CLDN4,CD8A,KRT8",-0.05249145693319017,0.0010237225476147787,-0.014876431369793549,0.3523212959460609,1001,1005,401.3776276774778,400.0012499980469,-1.3763776794309024,478946.5,0.06297909952696026,
GSE189487,GSM5702478_TD8,1760,257,"CLDN4,CD8A,KRT8",-0.029568286204862182,0.21503125458073502,-0.03872119227378424,0.1043971426716803,440,453,201.1889659002203,201.06217943710845,-0.12678646311184139,92791.5,0.07376159607872335,
GSE273378,GSM8427428_LM_SD_1216_1,2401,322,"CLDN4,CD8A,KRT8",-0.009008761821230987,0.6590621244557536,0.03383246159637042,0.09743826904613438,864,638,397.0113348507823,199.69977466186586,-197.31156018891645,198040.5,9.407376120864584e-21,
GSE273378,GSM8427429_LM_SD_16,2755,54,"CLDN4,CD8A,KRT8",-0.029654764288475025,0.1196705495904433,-0.01810754767728391,0.34207301155337383,697,690,690.0115941054904,718.3463621010733,28.334767995582865,261368.5,0.005067362723228238,
GSE273378,GSM8427430_LM_SD_11,2724,143,"CLDN4,CD8A,KRT8",-0.031110837953180103,0.10450754027803438,0.05788096872138897,0.0025105416837208194,1251,701,397.0050377514119,398.5285435197835,1.5235057683715922,483315.5,0.00017365357334259073,
GSE273378,GSM8427431_LM_SD_2,1728,232,"CLDN4,CD8A,KRT8",-0.02144446154098331,0.37298984332172036,-0.003049905369089502,0.8991851769086437,443,433,343.9491241448363,199.69977466186586,-144.24934948297042,90015.0,0.1149170942837729,
