assay	gate	tac_rule	min_high	min_low	set	n_mice	n_up	n_up_sig	frac_up	frac_up_sig	mean_delta	median_delta	binomial_p_direction	mice
scRNA	broad_lung	count_ge2	20	20	CLDN4_TJ_EDGE	7	7	7	1.0	1.0	0.27083511599563104	0.1603678264356576	0.0078125	GSE154977_KP_30w_Cis72_m5;GSE154977_KP_30w_Cis72_m6;GSE154977_KP_30w_ND_m3;GSE154977_KP_30w_ND_m4;GSE165641_KL1;GSE165641_KL2;GSE180963_KL
scRNA	broad_lung	count_ge2	20	20	TJ_CLAUDIN4	7	7	7	1.0	1.0	0.5549554424814518	0.25681168162038637	0.0078125	GSE154977_KP_30w_Cis72_m5;GSE154977_KP_30w_Cis72_m6;GSE154977_KP_30w_ND_m3;GSE154977_KP_30w_ND_m4;GSE165641_KL1;GSE165641_KL2;GSE180963_KL
scRNA	broad_lung	count_ge2	20	20	TJ_EPITHELIAL	7	7	7	1.0	1.0	0.23241105114939278	0.15827074663223173	0.0078125	GSE154977_KP_30w_Cis72_m5;GSE154977_KP_30w_Cis72_m6;GSE154977_KP_30w_ND_m3;GSE154977_KP_30w_ND_m4;GSE165641_KL1;GSE165641_KL2;GSE180963_KL
scRNA	broad_lung	count_ge2	20	20	TJ_TISMO	7	7	7	1.0	1.0	0.4607782073561882	0.2635543142900282	0.0078125	GSE154977_KP_30w_Cis72_m5;GSE154977_KP_30w_Cis72_m6;GSE154977_KP_30w_ND_m3;GSE154977_KP_30w_ND_m4;GSE165641_KL1;GSE165641_KL2;GSE180963_KL
scRNA	broad_lung	count_ge2	30	30	CLDN4_TJ_EDGE	7	7	7	1.0	1.0	0.27083511599563104	0.1603678264356576	0.0078125	GSE154977_KP_30w_Cis72_m5;GSE154977_KP_30w_Cis72_m6;GSE154977_KP_30w_ND_m3;GSE154977_KP_30w_ND_m4;GSE165641_KL1;GSE165641_KL2;GSE180963_KL
scRNA	broad_lung	count_ge2	30	30	TJ_CLAUDIN4	7	7	7	1.0	1.0	0.5549554424814518	0.25681168162038637	0.0078125	GSE154977_KP_30w_Cis72_m5;GSE154977_KP_30w_Cis72_m6;GSE154977_KP_30w_ND_m3;GSE154977_KP_30w_ND_m4;GSE165641_KL1;GSE165641_KL2;GSE180963_KL
scRNA	broad_lung	count_ge2	30	30	TJ_EPITHELIAL	7	7	7	1.0	1.0	0.23241105114939278	0.15827074663223173	0.0078125	GSE154977_KP_30w_Cis72_m5;GSE154977_KP_30w_Cis72_m6;GSE154977_KP_30w_ND_m3;GSE154977_KP_30w_ND_m4;GSE165641_KL1;GSE165641_KL2;GSE180963_KL
scRNA	broad_lung	count_ge2	30	30	TJ_TISMO	7	7	7	1.0	1.0	0.4607782073561882	0.2635543142900282	0.0078125	GSE154977_KP_30w_Cis72_m5;GSE154977_KP_30w_Cis72_m6;GSE154977_KP_30w_ND_m3;GSE154977_KP_30w_ND_m4;GSE165641_KL1;GSE165641_KL2;GSE180963_KL
scRNA	broad_lung	count_ge2	50	50	CLDN4_TJ_EDGE	7	7	7	1.0	1.0	0.27083511599563104	0.1603678264356576	0.0078125	GSE154977_KP_30w_Cis72_m5;GSE154977_KP_30w_Cis72_m6;GSE154977_KP_30w_ND_m3;GSE154977_KP_30w_ND_m4;GSE165641_KL1;GSE165641_KL2;GSE180963_KL
scRNA	broad_lung	count_ge2	50	50	TJ_CLAUDIN4	7	7	7	1.0	1.0	0.5549554424814518	0.25681168162038637	0.0078125	GSE154977_KP_30w_Cis72_m5;GSE154977_KP_30w_Cis72_m6;GSE154977_KP_30w_ND_m3;GSE154977_KP_30w_ND_m4;GSE165641_KL1;GSE165641_KL2;GSE180963_KL
