assay	mouse	dataset	genotype	digest	gate	tac_rule	min_high	min_low	n_epi	n_high	n_low	tacstd2_pct	status
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	20	20	2057	716	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	20	20	995	363	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	20	20	3897	334	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	20	20	3980	1558	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	count_gt0	20	20	28	5	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	count_gt0	20	20	174	110	64	63.2183908045977	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	count_gt0	20	20	207	169	38	81.64251207729468	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	count_gt0	20	20	160	125	35	78.125	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	30	30	2057	716	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	30	30	995	363	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	30	30	3897	334	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	30	30	3980	1558	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	count_gt0	30	30	28	5	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	count_gt0	30	30	174	110	64	63.2183908045977	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	count_gt0	30	30	207	169	38	81.64251207729468	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	count_gt0	30	30	160	125	35	78.125	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	50	50	2057	716	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	50	50	995	363	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	50	50	3897	334	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	count_gt0	50	50	3980	1558	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	count_gt0	50	50	28	5	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	count_gt0	50	50	174	110	64	63.2183908045977	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	count_gt0	50	50	207	169	38	81.64251207729468	below_floor
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	count_gt0	50	50	160	125	35	78.125	below_floor
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	20	20	2057	436	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	20	20	995	233	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	20	20	3897	148	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	20	20	3980	937	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	count_ge2	20	20	28	3	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	count_ge2	20	20	174	80	64	63.2183908045977	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	count_ge2	20	20	207	150	38	81.64251207729468	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	count_ge2	20	20	160	99	35	78.125	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	30	30	2057	436	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	30	30	995	233	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	30	30	3897	148	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	30	30	3980	937	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	count_ge2	30	30	28	3	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	count_ge2	30	30	174	80	64	63.2183908045977	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	count_ge2	30	30	207	150	38	81.64251207729468	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	count_ge2	30	30	160	99	35	78.125	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	50	50	2057	436	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	50	50	995	233	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	50	50	3897	148	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	count_ge2	50	50	3980	937	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	count_ge2	50	50	28	3	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	count_ge2	50	50	174	80	64	63.2183908045977	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	count_ge2	50	50	207	150	38	81.64251207729468	below_floor
