assay	mouse	dataset	genotype	gate	tac_rule	min_high	min_low	set	n_genes	n_high	n_low	mean_high	mean_low	delta	p_greater	up	up_sig
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	locked	count_gt0	20	20	TJ_TISMO	7	716	1341	0.8312744917648983	0.6820596781549226	0.14921481360997568	5.2206798905657424e-30	True	True
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	locked	count_gt0	20	20	TJ_EPITHELIAL	18	716	1341	0.47944543701381903	0.3907098424573785	0.08873559455644053	1.5458899835968212e-37	True	True
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	locked	count_gt0	20	20	CLDN4_TJ_EDGE	11	716	1341	0.5190540748785162	0.42203597726027836	0.09701809761823782	3.684534984164743e-32	True	True
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	locked	count_gt0	20	20	TJ_CLAUDIN4	4	716	1341	0.9905410404280848	0.8194072842491196	0.1711337561789652	1.8637092249240015e-23	True	True
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	locked	count_gt0	20	20	TJ_TISMO	7	363	632	0.9397004512034818	0.7855585815129731	0.1541418696905087	4.798244480740596e-12	True	True
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	locked	count_gt0	20	20	TJ_EPITHELIAL	18	363	632	0.5349682393692229	0.4459045745110431	0.08906366485817979	2.206246711623873e-15	True	True
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	locked	count_gt0	20	20	CLDN4_TJ_EDGE	11	363	632	0.5746983576235513	0.48794807699792353	0.08675028062562773	7.418516435022949e-11	True	True
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	locked	count_gt0	20	20	TJ_CLAUDIN4	4	363	632	1.0963495041143614	0.9547042191951323	0.14164528491922912	5.424584151471343e-07	True	True
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	locked	count_gt0	20	20	TJ_TISMO	7	334	3563	0.7975450424013353	0.6230330609324025	0.17451198146893276	1.4371763148678426e-28	True	True
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	locked	count_gt0	20	20	TJ_EPITHELIAL	18	334	3563	0.4847040725502845	0.3809472954367179	0.10375677711356662	1.3135441261074788e-34	True	True
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	locked	count_gt0	20	20	CLDN4_TJ_EDGE	11	334	3563	0.5161996192746462	0.4114764425785841	0.10472317669606207	1.230098733291913e-26	True	True
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	locked	count_gt0	20	20	TJ_CLAUDIN4	4	334	3563	0.9345384516446174	0.7615464049107109	0.17299204673390645	3.215760828554632e-18	True	True
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	locked	count_gt0	20	20	TJ_TISMO	7	1558	2422	0.7809435584717824	0.6868799005838805	0.09406365788790194	3.023167629734832e-23	True	True
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	locked	count_gt0	20	20	TJ_EPITHELIAL	18	1558	2422	0.467293571787741	0.4062145492819254	0.061079022505815594	1.6479448192795398e-36	True	True
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	locked	count_gt0	20	20	CLDN4_TJ_EDGE	11	1558	2422	0.4846537782879817	0.42195085923039455	0.06270291905758713	1.7108424358504978e-26	True	True
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	locked	count_gt0	20	20	TJ_CLAUDIN4	4	1558	2422	0.8782887640348784	0.7905995587543291	0.08768920528054935	3.380824036539209e-13	True	True
scRNA	GSE180963_KL	GSE180963	KL	locked	count_gt0	20	20	TJ_TISMO	6	110	64	0.9587715466455133	0.6457507469325132	0.3130207997130001	9.48837385734241e-09	True	True
scRNA	GSE180963_KL	GSE180963	KL	locked	count_gt0	20	20	TJ_EPITHELIAL	18	110	64	0.44321354098171595	0.31155649038271277	0.13165705059900318	6.160796249850221e-07	True	True
