cohort	status	n_eligible	n_patients_total	n_tumor_cells	tacstd2	cldn4	tls12_k	n_B	note
GSE131907	included	32	33	128065	yes	yes	12	16439	epithelial; malignant
GSE148071	included	41	42	89887	yes	yes	12	662	epithelial; malignant
GSE154826	included	30	35	193699	yes	yes	12	20989	gate
GSE207422	included	15	15	92330	yes	yes	12	7648	epithelial; malignant
GSE241934_IIT	included	11	11	78691	yes	yes	12	13056	epithelial
GSE241934_RWC	included	24	34	229505	yes	yes	12	44681	epithelial; malignant
GSE253013	included	9	9	177205	yes	yes	12	23774	epithelial; malignant
