gene,set,on_processed_matrix,matrix_id
CLDN4,target,no,
CD3D,TNK,yes,CD3D
CD3E,TNK,yes,CD3E
CD3G,TNK,yes,CD3G
CD2,TNK,yes,CD2
CD8A,TNK,yes,CD8A
CD8B,TNK,yes,CD8B
NKG7,TNK,yes,NKG7
GNLY,TNK,yes,GNLY
KLRD1,TNK,yes,KLRD1
GZMB,TNK,yes,GZMB
PRF1,TNK,yes,PRF1
GZMA,TNK,yes,GZMA
GZMK,TNK,yes,GZMK
IFNG,IFN,yes,IFNG
STAT1,IFN,yes,STAT1
CXCL9,IFN,yes,CXCL9
CXCL10,IFN,yes,CXCL10
CXCL11,IFN,yes,CXCL11
IDO1,IFN,yes,IDO1
HLA-DRA,IFN,yes,HLA-DRA
HLA-A,IFN,yes,HLA-A
HLA-B,IFN,yes,HLA-B
HLA-C,IFN,yes,HLA-C
CD274,IFN,yes,CD274
LAG3,IFN,yes,LAG3
TACSTD2,nearby_not_substitute,yes,TACSTD2
EPCAM,nearby_not_substitute,yes,EPCAM
CDH1,nearby_not_substitute,yes,CDH1
KRT8,nearby_not_substitute,no,
KRT18,nearby_not_substitute,yes,KRT18
KRT19,nearby_not_substitute,yes,KRT19
