dataset,x,y,n,spearman_rho,ci_low,ci_high,p_value,fdr
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",TACSTD2,655,0.2843284603296873,0.207943913523478,0.35726619015575906,1.2023932637378268e-13,1.8703895213699527e-13
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",CLDN4,655,0.44110242420478085,0.3732855057658106,0.5042301250102282,1.4618905868424557e-32,5.116617053948595e-32
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",NKX2-1,655,0.16333342308081644,0.08325283666878414,0.24131804157726047,2.6639444764427145e-05,3.3904747881998185e-05
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",EPCAM,655,0.1890647168531318,0.1095618649094071,0.26616386428401134,1.096355600759063e-06,1.534897841062688e-06
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",SFTPC,655,0.13619502257611815,0.05562553891699987,0.21500228881573624,0.00047357142278998737,0.0005524999932549852
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",SFTPB,655,0.031146440541157252,-0.050164938279702094,0.11204764712993764,0.42614808679165184,0.4261480867916519
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",AGER,655,,,,,
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",SCGB1A1,655,0.5078139987754059,0.44497426183705546,0.5656775447442536,3.1439425464224525e-44,4.4015195649914334e-43
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",SCGB3A2,655,0.3653305102661121,0.2928311114410045,0.43365323937155875,4.1149667350986666e-22,9.601589048563556e-22
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",KRT5,655,0.3793329538601926,0.30762193793946124,0.44675910599679514,7.616647681102873e-24,2.1326613507088044e-23
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",TP63,655,0.4426921716914475,0.3749844917049877,0.5057018998626108,8.237693313985061e-33,3.8442568798596953e-32
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",FOXJ1,655,0.494319507431081,0.43040770991432314,0.5532995216657813,1.173960893490755e-41,8.217726254435285e-41
