dataset,comparison,gene,n_nkx_low,n_nkx_high,detected,mean_low,mean_high,log2fc_low_minus_high,cliffs_delta,p_value,fdr
GSE129340_H441,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),ELF3,2,1,True,7.694195186136639,7.388912770263666,0.30528241587297344,,,
GSE129340_H441,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),GRHL1,2,1,True,2.4473214577174396,2.7036987446449117,-0.2563772869274721,,,
GSE129340_H441,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),KLF4,2,1,True,3.6358030871244766,3.158349954484101,0.4774531326403757,,,
GSE129340_H441,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),TFAP2A,2,1,True,1.9435338763355259,1.9297872111124708,0.013746665223055121,,,
GSE129340_H441,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),TACSTD2,2,1,True,8.92806937483793,8.942872202445676,-0.014802827607745428,,,
GSE129340_H441,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),CLDN4,2,1,True,8.122569641720672,8.13328608932634,-0.010716447605668478,,,
GSE129340_H441,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),NKX2-1,2,1,True,5.220321412690111,6.201667183903962,-0.9813457712138511,,,
GSE129340_H209,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),ELF3,2,1,True,6.242624350474967,6.475287585524656,-0.23266323504968867,,,
GSE129340_H209,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),GRHL1,2,1,True,1.8122591023745735,2.0158900181260244,-0.20363091575145087,,,
GSE129340_H209,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),KLF4,2,1,True,4.282649913331355,3.9648883814635685,0.3177615318677862,,,
GSE129340_H209,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),TFAP2A,2,1,True,4.279450017843049,4.684628010983186,-0.40517799314013736,,,
GSE129340_H209,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),TACSTD2,2,1,True,1.2654322028693885,1.9620381129281579,-0.6966059100587694,,,
GSE129340_H209,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),CLDN4,2,1,True,6.878030357590093,7.554711629009815,-0.6766812714197217,,,
GSE129340_H209,siTTF-1 vs siNC (n=2 vs 1; MWU undefined),NKX2-1,2,1,True,5.143638462726489,6.65201890564928,-1.5083804429227907,,,
GSE229541_H358_sg,NKX2-1 loss vs control,ELF3,3,3,True,7.406901921920891,8.014763408579482,-0.6078614866585905,-1.0,0.1,0.14
