dataset,gene,detected,mean_log2cpm,sd_log2cpm,frac_samples_gt1_log2cpm
GTEx-lung,ELF3,True,6.625048615634772,1.536838647294042,0.9984732824427481
GTEx-lung,GRHL1,True,3.190780199927447,0.9909091833881458,1.0
GTEx-lung,KLF4,True,7.22371156175322,0.9490174780527678,1.0
GTEx-lung,TFAP2A,True,0.8631797883280913,0.7036462220135693,0.27633587786259545
GTEx-lung,TACSTD2,True,6.1989614176034005,1.0250552829803246,0.9984732824427481
GTEx-lung,CLDN4,True,5.860286054048207,1.2093727101113474,0.9984732824427481
GTEx-lung,NKX2-1,True,6.280372722570098,1.1605303821225765,0.9984732824427481
GTEx-lung,EPCAM,True,5.137255327476857,1.0247264080863998,0.9984732824427481
GTEx-lung,SFTPC,True,10.188795283604446,2.78275724713448,0.9984732824427481
GTEx-lung,SFTPB,True,11.78920153995728,2.0443170359828415,0.9984732824427481
GTEx-lung,AGER,True,0.0,0.0,0.0
GTEx-lung,SCGB1A1,True,5.8094673450768815,2.930873800230862,0.9541984732824428
GTEx-lung,SCGB3A2,True,5.267012224531278,2.037083874888931,0.9908396946564886
GTEx-lung,KRT5,True,2.5460064401247204,1.481685992599826,0.916030534351145
GTEx-lung,TP63,True,1.3445174812307177,0.7541478431162394,0.6106870229007634
GTEx-lung,FOXJ1,True,3.05698892632458,1.7473953953631767,0.932824427480916
GTEx-lung,MUC5B,True,2.8957776803329116,2.250243527825175,0.7435114503816794
GTEx-lung,PTPRC,True,0.0,0.0,0.0
GTEx-lung,COL1A1,True,8.783398812346451,1.3343753455011123,1.0
GTEx-lung,PECAM1,True,9.546227689831868,0.5538074632246508,1.0
TCGA-LUAD,ELF3,True,8.043178620698757,1.0457743762181824,0.9983361064891847
TCGA-LUAD,GRHL1,True,3.927224046342223,1.2263269608823213,0.9900166389351082
TCGA-LUAD,KLF4,True,4.611861346471193,1.4382009511012934,0.9983361064891847
TCGA-LUAD,TFAP2A,True,3.0080303336127523,1.5483977082764424,0.8718801996672213
TCGA-LUAD,TACSTD2,True,7.711302918609956,1.2504829042518615,1.0
TCGA-LUAD,CLDN4,True,8.218375318586356,1.031404816352899,1.0
TCGA-LUAD,NKX2-1,True,6.63466207422768,1.71745380231515,0.9733777038269551
TCGA-LUAD,EPCAM,True,8.15760880454658,0.905737495983296,1.0
TCGA-LUAD,SFTPC,True,7.004134890995251,4.437937762807469,0.8718801996672213
TCGA-LUAD,SFTPB,True,11.468170275501091,2.8600503649331785,0.9950083194675541
TCGA-LUAD,AGER,True,0.0,0.0,0.0
TCGA-LUAD,SCGB1A1,True,4.232751293150203,3.4318094051637065,0.7470881863560732
TCGA-LUAD,SCGB3A2,True,5.777672712271075,3.063895769828388,0.9201331114808652
TCGA-LUAD,KRT5,True,2.1546502768211715,1.9888421546691197,0.64891846921797
TCGA-LUAD,TP63,True,2.510290387857146,1.6729120770390697,0.8119800332778702
TCGA-LUAD,FOXJ1,True,4.371722906934082,1.7612548465380937,0.9600665557404326
TCGA-LUAD,MUC5B,True,6.369426959161133,3.4953353813477523,0.9234608985024958
TCGA-LUAD,PTPRC,True,0.0,0.0,0.0
TCGA-LUAD,COL1A1,True,10.287722123544928,1.8077779103308984,1.0
TCGA-LUAD,PECAM1,True,7.346245577547103,1.00264292357351,1.0
