dataset,module,mean_pairwise_rho,matched_null_mean,matched_null_p95,empirical_p_vs_matched_null,percentile_vs_random_pairs
GTEx-lung,"ELF3,GRHL1,KLF4,TFAP2A",0.15732617067282423,0.013698691932996809,0.20015260595126308,0.084,68.01572062882515
TCGA-LUAD,"ELF3,GRHL1,KLF4,TFAP2A",0.09882819884909438,0.030732707705411023,0.17198461267028184,0.1705,64.2435697427897
