dataset,covariates,gene_a,gene_b,n,partial_rho,p_value,fdr
GTEx-lung,none,ELF3,TACSTD2,655,0.4091156952740007,8.051302771364826e-28,6.441042217091861e-27
GTEx-lung,none,ELF3,CLDN4,655,0.6513370492492268,2.503078275508895e-80,7.008619171424907e-79
GTEx-lung,none,GRHL1,TACSTD2,655,-0.11053043089830618,0.004624619959102991,0.007847839930599017
GTEx-lung,none,GRHL1,CLDN4,655,-0.10068935248173105,0.009920930892541863,0.01625277098116545
GTEx-lung,none,KLF4,TACSTD2,655,0.32017609609166936,4.4365332872563853e-17,2.0703822007196466e-16
GTEx-lung,none,KLF4,CLDN4,655,0.38486205359906156,1.4929088206806898e-24,1.0450361744764828e-23
GTEx-lung,none,TFAP2A,TACSTD2,655,-0.017108382640536497,0.6620751316111138,0.7115634756591288
GTEx-lung,none,TFAP2A,CLDN4,655,0.07568114870059774,0.05286981768225237,0.0759156356463111
GTEx-lung,none,ELF3,NKX2-1,655,0.3505378902592971,2.2607611765324478e-20,1.266026258858171e-19
GTEx-lung,none,GRHL1,NKX2-1,655,-0.277910412126492,4.4176759752261216e-13,1.7670703900904487e-12
GTEx-lung,none,KLF4,NKX2-1,655,0.32493748119866733,1.4278387499268996e-17,7.268997272355125e-17
GTEx-lung,none,TFAP2A,NKX2-1,655,-0.061165030654032185,0.1178483134826828,0.15347687337279622
GTEx-lung,none,TACSTD2,NKX2-1,655,0.5584783390392734,5.489016756606316e-55,5.1230823061658946e-54
GTEx-lung,none,CLDN4,NKX2-1,655,0.7145939506794379,2.0045242456029784e-103,1.1225335775376678e-101
GTEx-lung,EPCAM,ELF3,TACSTD2,655,0.19138289400641165,8.197758631225876e-07,2.295372416743245e-06
GTEx-lung,EPCAM,ELF3,CLDN4,655,0.6304893106138386,9.037098594826847e-74,1.6869250710343446e-72
GTEx-lung,EPCAM,GRHL1,TACSTD2,655,0.16045500199193613,3.751534573073724e-05,8.080228311235714e-05
GTEx-lung,EPCAM,GRHL1,CLDN4,655,0.16584786433555193,2.0193653453469738e-05,4.916715623453501e-05
