organism,cell_type,disease,n_cells,gene_a,gene_b,spearman_rho,p_value,frac_pos_a,frac_pos_b,fdr
human,basal cell,normal,8000,ELF3,GRHL1,0.17741173107343874,1.4360474981863162e-57,0.607,0.19975,6.847819088573637e-57
human,basal cell,normal,8000,ELF3,KLF4,0.2864302728635774,6.617030486872995e-151,0.607,0.38075,6.195946728617441e-150
human,basal cell,normal,8000,ELF3,TFAP2A,0.02919813115725702,0.009009091737349989,0.607,0.335125,0.01233958043812565
human,basal cell,normal,8000,ELF3,TACSTD2,0.34036519409360716,3.7876595912769466e-216,0.607,0.732125,4.757669974408848e-215
human,basal cell,normal,8000,ELF3,CLDN4,0.4850151181724754,0.0,0.607,0.574375,0.0
human,basal cell,normal,8000,ELF3,NKX2-1,0.14307796771739914,7.412052343879988e-38,0.607,0.308,2.4313420108905695e-37
human,basal cell,normal,8000,GRHL1,KLF4,0.1825389523848438,6.797157750039389e-61,0.19975,0.38075,3.333844039305034e-60
human,basal cell,normal,8000,GRHL1,TFAP2A,0.1270863119515114,3.665040798674951e-30,0.19975,0.335125,1.0486088951764443e-29
human,basal cell,normal,8000,GRHL1,TACSTD2,0.15572322224729435,1.322272594944476e-44,0.19975,0.732125,5.120078093206054e-44
human,basal cell,normal,8000,GRHL1,CLDN4,0.20176493139455828,2.9086479620070118e-74,0.19975,0.574375,1.66439300048179e-73
human,basal cell,normal,8000,GRHL1,NKX2-1,0.03526849553062726,0.001604988331175494,0.19975,0.308,0.0023415552140379024
human,basal cell,normal,8000,KLF4,TFAP2A,0.1364209579188607,1.5353596730135943e-34,0.38075,0.335125,4.792183221830309e-34
human,basal cell,normal,8000,KLF4,TACSTD2,0.254089590487052,4.31096602329288e-118,0.38075,0.732125,3.3638598515088384e-117
human,basal cell,normal,8000,KLF4,CLDN4,0.31188361232065187,5.360619326300806e-180,0.38075,0.574375,5.634120312336561e-179
human,basal cell,normal,8000,KLF4,NKX2-1,0.04537285007317213,4.912998816649237e-05,0.38075,0.308,7.809241946217151e-05
human,basal cell,normal,8000,TFAP2A,TACSTD2,0.081048744413171,3.8699600710142495e-13,0.335125,0.732125,8.004134283423046e-13
human,basal cell,normal,8000,TFAP2A,CLDN4,0.04501854143760644,5.6254865268992754e-05,0.335125,0.574375,8.859711196798553e-05
human,basal cell,normal,8000,TFAP2A,NKX2-1,-0.010666775068393955,0.34011228379370917,0.335125,0.308,0.380777882942957
human,basal cell,normal,8000,TACSTD2,CLDN4,0.4256519611204418,0.0,0.732125,0.574375,0.0
human,basal cell,normal,8000,TACSTD2,NKX2-1,0.03986126808773795,0.0003622497804514315,0.732125,0.308,0.0005391868119436047
human,basal cell,normal,8000,CLDN4,NKX2-1,0.15867937723343614,2.8718455639375886e-46,0.574375,0.308,1.1554691136155141e-45
human,bronchial goblet cell,normal,142,ELF3,GRHL1,0.11054754873580966,0.19029709449410534,0.852112676056338,0.07042253521126761,0.22844522998709615
human,bronchial goblet cell,normal,142,ELF3,KLF4,0.2991165273762484,0.0002991557238551915,0.852112676056338,0.4225352112676056,0.00044656579068238735
human,bronchial goblet cell,normal,142,ELF3,TFAP2A,-0.04678960979617471,0.580306266165131,0.852112676056338,0.09859154929577464,0.6149335948046142
human,bronchial goblet cell,normal,142,ELF3,TACSTD2,-0.014816339478146855,0.8610748141705861,0.852112676056338,0.5845070422535211,0.877580688756788
human,bronchial goblet cell,normal,142,ELF3,CLDN4,0.5240711490908088,2.1841492394055613e-11,0.852112676056338,0.6971830985915493,4.393893977710407e-11
human,bronchial goblet cell,normal,142,ELF3,NKX2-1,-0.06269656703773638,0.4585467375277118,0.852112676056338,0.11971830985915492,0.5013833754283897
human,bronchial goblet cell,normal,142,GRHL1,KLF4,0.0668044827118122,0.42957795956266337,0.07042253521126761,0.4225352112676056,0.4717114054899182
human,bronchial goblet cell,normal,142,GRHL1,TFAP2A,0.07566953510400184,0.370775995428671,0.07042253521126761,0.09859154929577464,0.41241822385694504
human,bronchial goblet cell,normal,142,GRHL1,TACSTD2,0.08693576640686707,0.3035962702569526,0.07042253521126761,0.5845070422535211,0.34744906484962357
human,bronchial goblet cell,normal,142,GRHL1,CLDN4,0.08577668578539455,0.31011306578708026,0.07042253521126761,0.6971830985915493,0.35412024141983667
human,bronchial goblet cell,normal,142,GRHL1,NKX2-1,-0.006477411402162777,0.9390166749062527,0.07042253521126761,0.11971830985915492,0.9426775586290841
human,bronchial goblet cell,normal,142,KLF4,TFAP2A,0.08299045081751276,0.32614938646381275,0.4225352112676056,0.09859154929577464,0.3683485395369815
human,bronchial goblet cell,normal,142,KLF4,TACSTD2,0.06958971553376385,0.4105501329979253,0.4225352112676056,0.5845070422535211,0.45274800534032444
human,bronchial goblet cell,normal,142,KLF4,CLDN4,0.4290732832914404,9.93954805928802e-08,0.4225352112676056,0.6971830985915493,1.7773844619907395e-07
human,bronchial goblet cell,normal,142,KLF4,NKX2-1,0.1994702735349661,0.01731631890804415,0.4225352112676056,0.11971830985915492,0.023223708952194628
human,bronchial goblet cell,normal,142,TFAP2A,TACSTD2,0.17709097926880998,0.03500297235353914,0.09859154929577464,0.5845070422535211,0.046580182847732965
human,bronchial goblet cell,normal,142,TFAP2A,CLDN4,-0.041759676849988506,0.6217010305769141,0.09859154929577464,0.6971830985915493,0.6547567090942961
human,bronchial goblet cell,normal,142,TFAP2A,NKX2-1,0.01827229555347689,0.8291179089308934,0.09859154929577464,0.11971830985915492,0.8505890898394624
human,bronchial goblet cell,normal,142,TACSTD2,CLDN4,0.2561203293844715,0.0020942192525280883,0.5845070422535211,0.6971830985915493,0.0030295587501459704
human,bronchial goblet cell,normal,142,TACSTD2,NKX2-1,0.2036614291570892,0.01505760691296885,0.5845070422535211,0.11971830985915492,0.020247173786368033
human,bronchial goblet cell,normal,142,CLDN4,NKX2-1,0.08531551777670714,0.3127311510570376,0.6971830985915493,0.11971830985915492,0.35631978494330613
human,ciliated cell,normal,8000,ELF3,GRHL1,0.02010948645005818,0.07209021851138242,0.672125,0.078125,0.09258469459691258
human,ciliated cell,normal,8000,ELF3,KLF4,0.11071902048607803,3.0210020736460255e-23,0.672125,0.077625,7.779080339638515e-23
human,ciliated cell,normal,8000,ELF3,TFAP2A,0.05617237699668478,4.971887909198671e-07,0.672125,0.040625,8.709259432779985e-07
human,ciliated cell,normal,8000,ELF3,TACSTD2,0.23925616804838043,1.5645863358759473e-104,0.672125,0.492125,1.0888675175352877e-103
human,ciliated cell,normal,8000,ELF3,CLDN4,0.27078341609250045,1.830223087095963e-134,0.672125,0.5975,1.6251118790593466e-133
human,ciliated cell,normal,8000,ELF3,NKX2-1,0.06213340191300752,2.6687442691007107e-08,0.672125,0.2195,4.9085832092388074e-08
human,ciliated cell,normal,8000,GRHL1,KLF4,0.04114790594075554,0.0002319890208401125,0.078125,0.077625,0.00034934019220075424
human,ciliated cell,normal,8000,GRHL1,TFAP2A,0.033508900373558546,0.0027220337081964884,0.078125,0.040625,0.003915774747824558
human,ciliated cell,normal,8000,GRHL1,TACSTD2,0.0018065490205286334,0.8716542966789831,0.078125,0.492125,0.8854082106305252
human,ciliated cell,normal,8000,GRHL1,CLDN4,-0.017516632451445684,0.1172057387298248,0.078125,0.5975,0.1454480854117103
human,ciliated cell,normal,8000,GRHL1,NKX2-1,0.07003367470050051,3.5937404008731633e-10,0.078125,0.2195,6.931746466103667e-10
human,ciliated cell,normal,8000,KLF4,TFAP2A,0.05751142285867206,2.640728010669264e-07,0.077625,0.040625,4.673453352215364e-07
human,ciliated cell,normal,8000,KLF4,TACSTD2,0.13865485173733427,1.2343998820293556e-35,0.077625,0.492125,3.9485462064914174e-35
human,ciliated cell,normal,8000,KLF4,CLDN4,0.10870510186281526,1.8398731801312023e-22,0.077625,0.5975,4.69076578102757e-22
human,ciliated cell,normal,8000,KLF4,NKX2-1,0.044057626501808646,8.082784639369976e-05,0.077625,0.2195,0.0001250040267049711
human,ciliated cell,normal,8000,TFAP2A,TACSTD2,0.07442338515760244,2.6496525944041597e-11,0.040625,0.492125,5.3096151210822654e-11
human,ciliated cell,normal,8000,TFAP2A,CLDN4,0.05608143849620742,5.187556582094839e-07,0.040625,0.5975,9.056242846707939e-07
human,ciliated cell,normal,8000,TFAP2A,NKX2-1,0.030587638515817656,0.006218078331042529,0.040625,0.2195,0.008701930273062234
human,ciliated cell,normal,8000,TACSTD2,CLDN4,0.35309246330058636,1.3763880845092554e-233,0.492125,0.5975,1.9689996208951847e-232
human,ciliated cell,normal,8000,TACSTD2,NKX2-1,0.15451263523402106,6.209007723991669e-44,0.492125,0.2195,2.3686214650783033e-43
human,ciliated cell,normal,8000,CLDN4,NKX2-1,0.14482077045832703,9.438217647756818e-39,0.5975,0.2195,3.2189947606587824e-38
human,club cell,lung adenocarcinoma,1183,ELF3,GRHL1,0.1167848893024058,5.665484447512789e-05,0.8182586644125106,0.13609467455621302,8.895501495332581e-05
human,club cell,lung adenocarcinoma,1183,ELF3,KLF4,0.15533929712814348,7.880741730485718e-08,0.8182586644125106,0.4074387151310228,1.4141400666202596e-07
human,club cell,lung adenocarcinoma,1183,ELF3,TFAP2A,0.046647379422023454,0.10880167791437027,0.8182586644125106,0.12679628064243448,0.13633300273941776
human,club cell,lung adenocarcinoma,1183,ELF3,TACSTD2,0.2134535778612576,1.1747818440503034e-13,0.8182586644125106,0.7675401521555367,2.479560039696337e-13
human,club cell,lung adenocarcinoma,1183,ELF3,CLDN4,0.25085032557104814,1.9656929895130805e-18,0.8182586644125106,0.6551141166525782,4.752731876052753e-18
human,club cell,lung adenocarcinoma,1183,ELF3,NKX2-1,0.11776511260123283,4.899755335254025e-05,0.8182586644125106,0.16060862214708369,7.809241946217151e-05
human,club cell,lung adenocarcinoma,1183,GRHL1,KLF4,0.08871191230752547,0.00225794866311305,0.13609467455621302,0.4074387151310228,0.003257264878160282
human,club cell,lung adenocarcinoma,1183,GRHL1,TFAP2A,0.06727665510696541,0.02065999678688387,0.13609467455621302,0.12679628064243448,0.027564503485091173
human,club cell,lung adenocarcinoma,1183,GRHL1,TACSTD2,0.12283110682796342,2.272007373485063e-05,0.13609467455621302,0.7675401521555367,3.667974286347359e-05
human,club cell,lung adenocarcinoma,1183,GRHL1,CLDN4,0.12783553643298334,1.032124505995117e-05,0.13609467455621302,0.6551141166525782,1.7146584535080168e-05
human,club cell,lung adenocarcinoma,1183,GRHL1,NKX2-1,0.18666064256037793,9.780211778112114e-11,0.13609467455621302,0.16060862214708369,1.9151365268926764e-10
human,club cell,lung adenocarcinoma,1183,KLF4,TFAP2A,0.13602815418111927,2.6588797509082926e-06,0.4074387151310228,0.12679628064243448,4.51921805847449e-06
human,club cell,lung adenocarcinoma,1183,KLF4,TACSTD2,0.32200453747101926,6.056420304020146e-30,0.4074387151310228,0.7675401521555367,1.7137672838298763e-29
human,club cell,lung adenocarcinoma,1183,KLF4,CLDN4,0.37423864074265084,1.2457017572447467e-40,0.4074387151310228,0.6551141166525782,4.394084965623593e-40
human,club cell,lung adenocarcinoma,1183,KLF4,NKX2-1,0.049926212677139786,0.08607868928707825,0.4074387151310228,0.16060862214708369,0.10918848517942191
human,club cell,lung adenocarcinoma,1183,TFAP2A,TACSTD2,0.1173648439697696,5.199780079769694e-05,0.12679628064243448,0.7675401521555367,8.21437650638464e-05
human,club cell,lung adenocarcinoma,1183,TFAP2A,CLDN4,0.1533695760760723,1.152171233095028e-07,0.12679628064243448,0.6551141166525782,2.0531771108786828e-07
human,club cell,lung adenocarcinoma,1183,TFAP2A,NKX2-1,0.0929533273686255,0.0013711327020086348,0.12679628064243448,0.16060862214708369,0.002017523832955563
human,club cell,lung adenocarcinoma,1183,TACSTD2,CLDN4,0.4921849204551651,3.418847142537941e-73,0.7675401521555367,0.6551141166525782,1.8932325574269243e-72
human,club cell,lung adenocarcinoma,1183,TACSTD2,NKX2-1,0.10911461675369687,0.00016975271297831046,0.7675401521555367,0.16060862214708369,0.00025864688515926003
human,club cell,lung adenocarcinoma,1183,CLDN4,NKX2-1,0.13131073762155948,5.863269273449123e-06,0.6551141166525782,0.16060862214708369,9.86792050923627e-06
human,club cell,normal,8000,ELF3,GRHL1,0.07474405506949852,2.176999238346687e-11,0.79125,0.19425,4.393893977710407e-11
human,club cell,normal,8000,ELF3,KLF4,0.15265664468420415,6.490227154919107e-43,0.79125,0.268375,2.404652507038374e-42
human,club cell,normal,8000,ELF3,TFAP2A,0.09086740247837481,3.855788230032753e-16,0.79125,0.18175,8.904623042452321e-16
human,club cell,normal,8000,ELF3,TACSTD2,0.25198693752787993,4.098930765074689e-116,0.79125,0.765125,3.1043372706080366e-115
human,club cell,normal,8000,ELF3,CLDN4,0.33171311932960906,9.425755352402003e-205,0.79125,0.725375,1.1288986061597747e-203
human,club cell,normal,8000,ELF3,NKX2-1,0.04525562971733663,5.138673094992082e-05,0.79125,0.297625,8.142820442833607e-05
human,club cell,normal,8000,GRHL1,KLF4,0.031490859093799825,0.004849165844406497,0.19425,0.268375,0.006841973725669441
human,club cell,normal,8000,GRHL1,TFAP2A,0.018934142517710143,0.09037776682076798,0.19425,0.18175,0.11407977919778312
human,club cell,normal,8000,GRHL1,TACSTD2,-0.08215957687966266,1.840860041734948e-13,0.19425,0.765125,3.853833014201213e-13
human,club cell,normal,8000,GRHL1,CLDN4,-0.022620965127987485,0.04305012681263575,0.19425,0.725375,0.0567028524514256
human,club cell,normal,8000,GRHL1,NKX2-1,0.15896944107133473,1.9643267917097348e-46,0.19425,0.297625,7.965577147484358e-46
human,club cell,normal,8000,KLF4,TFAP2A,0.1452604058467735,5.589107497361974e-39,0.268375,0.18175,1.9448583521225789e-38
human,club cell,normal,8000,KLF4,TACSTD2,0.15309926018770387,3.718377024452342e-43,0.268375,0.765125,1.3977840639364646e-42
human,club cell,normal,8000,KLF4,CLDN4,0.19783033820748766,2.0716872422720857e-71,0.268375,0.725375,1.1230725576527624e-70
human,club cell,normal,8000,KLF4,NKX2-1,-0.04579417946397712,4.176985152378845e-05,0.268375,0.297625,6.701393624533038e-05
human,club cell,normal,8000,TFAP2A,TACSTD2,0.18756825170674318,2.9731409407610638e-64,0.18175,0.765125,1.5160075093979682e-63
human,club cell,normal,8000,TFAP2A,CLDN4,0.16161420161141354,5.95324238613174e-48,0.18175,0.725375,2.4725159910143924e-47
human,club cell,normal,8000,TFAP2A,NKX2-1,-0.006312436175256445,0.572401072536053,0.18175,0.297625,0.60817177424159
human,club cell,normal,8000,TACSTD2,CLDN4,0.5398759733992157,0.0,0.765125,0.725375,0.0
human,club cell,normal,8000,TACSTD2,NKX2-1,-0.06310659057673142,1.6122057865177374e-08,0.765125,0.297625,2.9759354123893718e-08
human,club cell,normal,8000,CLDN4,NKX2-1,-0.010935631767642194,0.3280797449975092,0.725375,0.297625,0.3697178745595563
human,epithelial cell,lung adenocarcinoma,8000,ELF3,GRHL1,0.35818210482121976,8.607908689922736e-241,0.374,0.076875,1.3433554470636997e-239
human,epithelial cell,lung adenocarcinoma,8000,ELF3,KLF4,0.4618818235856499,0.0,0.374,0.157875,0.0
human,epithelial cell,lung adenocarcinoma,8000,ELF3,TFAP2A,0.2010155271599486,1.0272732716928693e-73,0.374,0.057875,5.813689394745359e-73
human,epithelial cell,lung adenocarcinoma,8000,ELF3,TACSTD2,0.6018203937586868,0.0,0.374,0.31575,0.0
human,epithelial cell,lung adenocarcinoma,8000,ELF3,CLDN4,0.6047831050193486,0.0,0.374,0.37,0.0
human,epithelial cell,lung adenocarcinoma,8000,ELF3,NKX2-1,0.49309693708427554,0.0,0.374,0.2965,0.0
human,epithelial cell,lung adenocarcinoma,8000,GRHL1,KLF4,0.33536060131524525,1.6401134383052092e-209,0.076875,0.157875,2.0110914779218637e-208
human,epithelial cell,lung adenocarcinoma,8000,GRHL1,TFAP2A,0.1504416991138501,1.0277944116193496e-41,0.076875,0.057875,3.675792513777535e-41
human,epithelial cell,lung adenocarcinoma,8000,GRHL1,TACSTD2,0.3813936490570226,2.3138210224585043e-275,0.076875,0.31575,5.41644466620968e-274
human,epithelial cell,lung adenocarcinoma,8000,GRHL1,CLDN4,0.3534307304931646,4.613932012530409e-234,0.076875,0.37,6.988749960156355e-233
human,epithelial cell,lung adenocarcinoma,8000,GRHL1,NKX2-1,0.2953658663752759,8.783310221401892e-161,0.076875,0.2965,8.534725969852782e-160
human,epithelial cell,lung adenocarcinoma,8000,KLF4,TFAP2A,0.2193942701664348,8.572483686540818e-88,0.157875,0.057875,5.450406294529039e-87
human,epithelial cell,lung adenocarcinoma,8000,KLF4,TACSTD2,0.51147652705667,0.0,0.157875,0.31575,0.0
human,epithelial cell,lung adenocarcinoma,8000,KLF4,CLDN4,0.4408576715724026,0.0,0.157875,0.37,0.0
human,epithelial cell,lung adenocarcinoma,8000,KLF4,NKX2-1,0.3431516035399364,6.75568667477196e-220,0.157875,0.2965,8.920970865403999e-219
human,epithelial cell,lung adenocarcinoma,8000,TFAP2A,TACSTD2,0.2402433685551293,2.0910929533369702e-105,0.057875,0.31575,1.4752231109158077e-104
human,epithelial cell,lung adenocarcinoma,8000,TFAP2A,CLDN4,0.21740305456278916,3.336202360672037e-86,0.057875,0.37,2.0454097806501176e-85
human,epithelial cell,lung adenocarcinoma,8000,TFAP2A,NKX2-1,0.13125683204929423,4.4390182958821955e-32,0.057875,0.2965,1.3368973230288483e-31
human,epithelial cell,lung adenocarcinoma,8000,TACSTD2,CLDN4,0.6561747186101239,0.0,0.31575,0.37,0.0
human,epithelial cell,lung adenocarcinoma,8000,TACSTD2,NKX2-1,0.535536873015827,0.0,0.31575,0.2965,0.0
human,epithelial cell,lung adenocarcinoma,8000,CLDN4,NKX2-1,0.5298064251730583,0.0,0.37,0.2965,0.0
human,epithelial cell,normal,7505,ELF3,GRHL1,0.17651862126329065,1.3877830922955494e-53,0.3348434377081945,0.04810126582278481,6.381324040466142e-53
human,epithelial cell,normal,7505,ELF3,KLF4,-0.062285995361728574,6.654140567487619e-08,0.3348434377081945,0.14550299800133246,1.1982106266629804e-07
human,epithelial cell,normal,7505,ELF3,TACSTD2,0.38412158808217894,1.9279604511453474e-262,0.3348434377081945,0.15989340439706862,3.9715985293594156e-261
human,epithelial cell,normal,7505,ELF3,CLDN4,0.38158852472086935,9.790901424218231e-259,0.3348434377081945,0.27461692205196536,1.867523790174959e-257
human,epithelial cell,normal,7505,ELF3,NKX2-1,0.3768848055367887,6.09898869590241e-252,0.3348434377081945,0.29153897401732176,1.046993059463247e-250
human,epithelial cell,normal,7505,GRHL1,KLF4,0.0005209092168318517,0.9640119926227135,0.04810126582278481,0.14550299800133246,0.9658875023359873
human,epithelial cell,normal,7505,GRHL1,TACSTD2,0.12850501172109802,5.279683382345325e-29,0.04810126582278481,0.15989340439706862,1.4697496983285635e-28
human,epithelial cell,normal,7505,GRHL1,CLDN4,0.13422742683991107,1.6270684880459133e-31,0.04810126582278481,0.27461692205196536,4.788230121963688e-31
human,epithelial cell,normal,7505,GRHL1,NKX2-1,0.12621546044724458,4.967462759620667e-28,0.04810126582278481,0.29153897401732176,1.3464438532656016e-27
human,epithelial cell,normal,7505,KLF4,TACSTD2,0.030301904502617986,0.008658230386384606,0.14550299800133246,0.15989340439706862,0.01195439316082593
human,epithelial cell,normal,7505,KLF4,CLDN4,-0.012087234293117585,0.2951005510124606,0.14550299800133246,0.27461692205196536,0.33999280485775657
human,epithelial cell,normal,7505,KLF4,NKX2-1,-0.1279410556797941,9.20570410778777e-29,0.14550299800133246,0.29153897401732176,2.5352607569575946e-28
human,epithelial cell,normal,7505,TACSTD2,CLDN4,0.4233030618361384,0.0,0.15989340439706862,0.27461692205196536,0.0
human,epithelial cell,normal,7505,TACSTD2,NKX2-1,0.29774019244232736,1.779460117461645e-153,0.15989340439706862,0.29153897401732176,1.6970777046161987e-152
human,epithelial cell,normal,7505,CLDN4,NKX2-1,0.30846744142239574,3.6960406067529703e-165,0.27461692205196536,0.29153897401732176,3.660501754764961e-164
human,epithelial cell of lower respiratory tract,normal,8000,ELF3,GRHL1,0.24039625284611016,1.5298756780684223e-105,0.1595,0.021,1.094286075285052e-104
human,epithelial cell of lower respiratory tract,normal,8000,ELF3,TACSTD2,0.3532022966337262,9.653447260291395e-234,0.1595,0.071625,1.4204358111571624e-232
human,epithelial cell of lower respiratory tract,normal,8000,ELF3,CLDN4,0.4041728531753118,0.0,0.1595,0.03975,0.0
human,epithelial cell of lower respiratory tract,normal,8000,ELF3,NKX2-1,0.08144925452649798,2.9638620312428297e-13,0.1595,0.21625,6.154794137459909e-13
human,epithelial cell of lower respiratory tract,normal,8000,GRHL1,TACSTD2,0.38454406663978424,2.8161551138993594e-280,0.021,0.071625,6.9062851602770005e-279
human,epithelial cell of lower respiratory tract,normal,8000,GRHL1,CLDN4,0.49477705950198514,0.0,0.021,0.03975,0.0
human,epithelial cell of lower respiratory tract,normal,8000,GRHL1,NKX2-1,0.09434959249474455,2.75677733240114e-17,0.021,0.21625,6.572871880493458e-17
human,epithelial cell of lower respiratory tract,normal,8000,TACSTD2,CLDN4,0.6487178426203506,0.0,0.071625,0.03975,0.0
human,epithelial cell of lower respiratory tract,normal,8000,TACSTD2,NKX2-1,0.09343241146655717,5.575854655112385e-17,0.071625,0.21625,1.3052568851740356e-16
human,epithelial cell of lower respiratory tract,normal,8000,CLDN4,NKX2-1,0.09680022288059473,4.059702666023099e-18,0.03975,0.21625,9.769845200943438e-18
human,epithelial cell of lung,lung adenocarcinoma,8000,ELF3,GRHL1,0.08697294845948937,6.56178360186413e-15,0.627375,0.061125,1.444153228615396e-14
human,epithelial cell of lung,lung adenocarcinoma,8000,ELF3,KLF4,0.1695238705858195,1.1940714339341404e-52,0.627375,0.125875,5.347363378052889e-52
human,epithelial cell of lung,lung adenocarcinoma,8000,ELF3,TFAP2A,0.04476533045346237,6.193488807946822e-05,0.627375,0.02775,9.694974881740466e-05
human,epithelial cell of lung,lung adenocarcinoma,8000,ELF3,TACSTD2,0.1950647239094663,1.9288285371130338e-69,0.627375,0.571875,1.0240687593950644e-68
human,epithelial cell of lung,lung adenocarcinoma,8000,ELF3,CLDN4,0.2450778181756888,9.592176342558159e-110,0.627375,0.615,7.057101166310645e-109
human,epithelial cell of lung,lung adenocarcinoma,8000,ELF3,NKX2-1,0.10709138580431003,7.639565481481144e-22,0.627375,0.475125,1.9381163659915218e-21
human,epithelial cell of lung,lung adenocarcinoma,8000,GRHL1,KLF4,0.08797187968315891,3.208947939349115e-15,0.061125,0.125875,7.18525299462954e-15
human,epithelial cell of lung,lung adenocarcinoma,8000,GRHL1,TFAP2A,0.05268100527371557,2.4234099790362105e-06,0.061125,0.02775,4.132636222528637e-06
human,epithelial cell of lung,lung adenocarcinoma,8000,GRHL1,TACSTD2,0.08754744270763597,4.352973536604977e-15,0.061125,0.571875,9.70468126126218e-15
human,epithelial cell of lung,lung adenocarcinoma,8000,GRHL1,CLDN4,0.04318707461200922,0.00011155962502995034,0.061125,0.615,0.00017099168717388223
human,epithelial cell of lung,lung adenocarcinoma,8000,GRHL1,NKX2-1,0.05584724692320713,5.78529656336121e-07,0.061125,0.475125,1.0031743199094355e-06
human,epithelial cell of lung,lung adenocarcinoma,8000,KLF4,TFAP2A,0.06741470822907566,1.5829522508491397e-09,0.125875,0.02775,3.008193391835081e-09
human,epithelial cell of lung,lung adenocarcinoma,8000,KLF4,TACSTD2,0.18766476591161937,2.557420781973473e-64,0.125875,0.571875,1.3170717027163385e-63
human,epithelial cell of lung,lung adenocarcinoma,8000,KLF4,CLDN4,0.15286800998586295,4.975437021851408e-43,0.125875,0.615,1.856775410328605e-42
human,epithelial cell of lung,lung adenocarcinoma,8000,KLF4,NKX2-1,0.08720429396478549,5.563990021956167e-15,0.125875,0.475125,1.2298089533508265e-14
human,epithelial cell of lung,lung adenocarcinoma,8000,TFAP2A,TACSTD2,0.048104324958164496,1.6743804611768867e-05,0.02775,0.571875,2.7461972532041292e-05
human,epithelial cell of lung,lung adenocarcinoma,8000,TFAP2A,CLDN4,0.041960133026732564,0.00017396872648884078,0.02775,0.615,0.0002642887732795074
human,epithelial cell of lung,lung adenocarcinoma,8000,TFAP2A,NKX2-1,0.05116738186478972,4.6757527788083445e-06,0.02775,0.475125,7.895123544545237e-06
human,epithelial cell of lung,lung adenocarcinoma,8000,TACSTD2,CLDN4,0.2458272212513942,1.99853776159182e-110,0.571875,0.615,1.4916622423475178e-109
human,epithelial cell of lung,lung adenocarcinoma,8000,TACSTD2,NKX2-1,0.09829728256125574,1.2298862735712912e-18,0.571875,0.475125,3.0018551226977017e-18
human,epithelial cell of lung,lung adenocarcinoma,8000,CLDN4,NKX2-1,0.08673341896189368,7.780261365994106e-15,0.615,0.475125,1.697811272663968e-14
human,epithelial cell of lung,normal,8000,ELF3,GRHL1,0.1145306708249544,9.024939024028763e-25,0.874,0.142625,2.3957956687499037e-24
human,epithelial cell of lung,normal,8000,ELF3,KLF4,0.227309292088788,2.8491538572084926e-94,0.874,0.411625,1.8573597929903465e-93
human,epithelial cell of lung,normal,8000,ELF3,TFAP2A,0.18364483954642322,1.2647960125224379e-61,0.874,0.156,6.26317256201015e-61
human,epithelial cell of lung,normal,8000,ELF3,TACSTD2,0.21309887272698222,8.060666856524435e-83,0.874,0.65025,4.8270272454768414e-82
human,epithelial cell of lung,normal,8000,ELF3,CLDN4,0.44256298649302933,0.0,0.874,0.867625,0.0
human,epithelial cell of lung,normal,8000,ELF3,NKX2-1,0.029480385878571398,0.00836509846136382,0.874,0.241,0.0115807142677483
human,epithelial cell of lung,normal,8000,GRHL1,KLF4,0.14433814209320753,1.67444523838699e-38,0.142625,0.411625,5.636204560583659e-38
human,epithelial cell of lung,normal,8000,GRHL1,TFAP2A,0.061206183391840925,4.2839239028270695e-08,0.142625,0.156,7.768383133647679e-08
human,epithelial cell of lung,normal,8000,GRHL1,TACSTD2,0.27000466700516845,1.1294147983310941e-133,0.142625,0.65025,9.858451205771415e-133
