organism,cell_type,disease,n_cells,gene_a,gene_b,spearman_rho,p_value,frac_pos_a,frac_pos_b,fdr
mouse,B cell,normal,2142,Klf4,Tacstd2,-0.01365492335106732,0.5276259071525814,0.1573295985060691,0.028478057889822595,0.6253344084771335
mouse,T cell,normal,637,Klf4,Tacstd2,0.08296436605742374,0.03631138501148751,0.18681318681318682,0.03924646781789639,0.06703640309813078
mouse,alveolar macrophage,influenza,3811,Grhl1,Klf4,0.0018465839938862937,0.9092707547633079,0.025190238782471792,0.9488323274731042,0.9288924811668307
mouse,alveolar macrophage,influenza,3811,Grhl1,Tacstd2,-0.013123017060850737,0.4179998214539379,0.025190238782471792,0.02204145893466282,0.5122721216116345
mouse,alveolar macrophage,influenza,3811,Klf4,Tacstd2,-0.0014137660393919252,0.930474503899466,0.9488323274731042,0.02204145893466282,0.9469139827669477
mouse,alveolar macrophage,normal,1722,Klf4,Tacstd2,-0.00589799039413558,0.8067868861147643,0.6660859465737514,0.02148664343786295,0.8511158359012899
mouse,alveolar type 1 fibroblast cell,influenza,8000,Klf4,Tfap2a,-0.03228214285149813,0.003880648363700848,0.538625,0.032,0.008800210462565704
mouse,aortic smooth muscle cell,normal,4631,Klf4,Tacstd2,0.02065211689510092,0.15996865741187802,0.49751673504642624,0.030662923774562728,0.2437617636752427
mouse,aortic smooth muscle cell,normal,4631,Klf4,Nkx2-1,0.007111517346995539,0.6285103913660729,0.49751673504642624,0.0645648887929173,0.7043229288460272
mouse,aortic smooth muscle cell,normal,4631,Tacstd2,Nkx2-1,0.11782845319805675,8.676261579164735e-16,0.030662923774562728,0.0645648887929173,6.24690833699861e-15
mouse,basophil,normal,130,Klf4,Tacstd2,0.03987970951322975,0.6523597838152766,0.12307692307692308,0.34615384615384615,0.7226139143799987
mouse,capillary endothelial cell,normal,8000,Klf4,Tacstd2,-0.024888387805493337,0.0260086879804028,0.75825,0.0225,0.05061150093483788
mouse,capillary endothelial cell,normal,8000,Klf4,Nkx2-1,-0.06273767473810858,1.953336897648092e-08,0.75825,0.034625,8.654785023425392e-08
mouse,capillary endothelial cell,normal,8000,Tacstd2,Nkx2-1,0.08900300180447257,1.5206353820699344e-15,0.0225,0.034625,1.0681536342344906e-14
mouse,ciliated cell,influenza,1796,Elf3,Grhl1,0.07694999815047891,0.0010998620543652673,0.688195991091314,0.08463251670378619,0.0026844090818406528
mouse,ciliated cell,influenza,1796,Elf3,Klf4,0.12642110216727173,7.637879687750628e-08,0.688195991091314,0.3524498886414254,3.234866691282619e-07
mouse,ciliated cell,influenza,1796,Elf3,Tfap2a,0.04642788334176489,0.049152158881809495,0.688195991091314,0.04899777282850779,0.08792435874510021
mouse,ciliated cell,influenza,1796,Elf3,Tacstd2,0.08284933902405105,0.000440265629955857,0.688195991091314,0.5116926503340757,0.0011321116198864895
mouse,ciliated cell,influenza,1796,Elf3,Cldn4,0.11720787894406552,6.328956978878655e-07,0.688195991091314,0.17706013363028952,2.398341591996122e-06
mouse,ciliated cell,influenza,1796,Elf3,Nkx2-1,0.030751888256470464,0.1926968774429519,0.688195991091314,0.7939866369710468,0.28170914062725966
mouse,ciliated cell,influenza,1796,Grhl1,Klf4,0.06811567343028488,0.003876562801327717,0.08463251670378619,0.3524498886414254,0.008800210462565704
mouse,ciliated cell,influenza,1796,Grhl1,Tfap2a,0.14058941975650407,2.1817083906939205e-09,0.08463251670378619,0.04899777282850779,1.1023368710874545e-08
mouse,ciliated cell,influenza,1796,Grhl1,Tacstd2,0.12122980328694606,2.5626176064106675e-07,0.08463251670378619,0.5116926503340757,1.0394843248539046e-06
mouse,ciliated cell,influenza,1796,Grhl1,Cldn4,0.10056920631574302,1.955532457010614e-05,0.08463251670378619,0.17706013363028952,5.928351027569019e-05
mouse,ciliated cell,influenza,1796,Grhl1,Nkx2-1,-0.011259623439245768,0.6334638210214142,0.08463251670378619,0.7939866369710468,0.7071224048611136
mouse,ciliated cell,influenza,1796,Klf4,Tfap2a,0.1403532519382101,2.3219775061274123e-09,0.3524498886414254,0.04899777282850779,1.1529819340770599e-08
mouse,ciliated cell,influenza,1796,Klf4,Tacstd2,0.11005528670433001,2.9392583829928505e-06,0.3524498886414254,0.5116926503340757,1.0077457313118345e-05
mouse,ciliated cell,influenza,1796,Klf4,Cldn4,0.12819443298184424,4.994478249004549e-08,0.3524498886414254,0.17706013363028952,2.146880202557179e-07
mouse,ciliated cell,influenza,1796,Klf4,Nkx2-1,-0.04480551604252893,0.057636151193767256,0.3524498886414254,0.7939866369710468,0.10060128208366648
mouse,ciliated cell,influenza,1796,Tfap2a,Tacstd2,0.032660426091477096,0.16650257398601032,0.04899777282850779,0.5116926503340757,0.25161338715026277
mouse,ciliated cell,influenza,1796,Tfap2a,Cldn4,0.10248641784545943,1.3506416120028989e-05,0.04899777282850779,0.17706013363028952,4.2280954810525534e-05
mouse,ciliated cell,influenza,1796,Tfap2a,Nkx2-1,-0.057202967709530594,0.015328812686648744,0.04899777282850779,0.7939866369710468,0.030657625373297488
mouse,ciliated cell,influenza,1796,Tacstd2,Cldn4,0.2914576061495639,1.678352945556808e-36,0.5116926503340757,0.17706013363028952,2.6853647128908926e-35
mouse,ciliated cell,influenza,1796,Tacstd2,Nkx2-1,0.14805871339179538,2.8814515018661876e-10,0.5116926503340757,0.7939866369710468,1.5657698727121926e-09
mouse,ciliated cell,influenza,1796,Cldn4,Nkx2-1,0.06857047001050258,0.0036448921177495734,0.17706013363028952,0.7939866369710468,0.008534381543999001
mouse,ciliated cell,normal,119,Elf3,Grhl1,-0.07945860472161434,0.39033993393803573,0.6470588235294118,0.07563025210084033,0.488773482496323
mouse,ciliated cell,normal,119,Elf3,Klf4,-0.03751018184144549,0.6854692355084555,0.6470588235294118,0.3445378151260504,0.7449627917978686
mouse,ciliated cell,normal,119,Elf3,Tacstd2,0.18022998936288886,0.049830338153650955,0.6470588235294118,0.5714285714285714,0.08804378765798451
mouse,ciliated cell,normal,119,Elf3,Cldn4,0.07807386009389916,0.3986779376316833,0.6470588235294118,0.15126050420168066,0.4949105432669172
mouse,ciliated cell,normal,119,Elf3,Nkx2-1,0.02557188665475641,0.7825042682477646,0.6470588235294118,0.7310924369747899,0.8377740864511384
mouse,ciliated cell,normal,119,Grhl1,Klf4,-0.000600212023829331,0.9948309978061781,0.07563025210084033,0.3445378151260504,0.9948309978061781
mouse,ciliated cell,normal,119,Grhl1,Tacstd2,0.046552669412250475,0.6151456277656353,0.07563025210084033,0.5714285714285714,0.6994992085768656
mouse,ciliated cell,normal,119,Grhl1,Cldn4,0.22705639285943152,0.013018146673966668,0.07563025210084033,0.15126050420168066,0.026590257036187236
mouse,ciliated cell,normal,119,Grhl1,Nkx2-1,0.020271654080014943,0.8267856380524615,0.07563025210084033,0.7310924369747899,0.869030159704777
