dataset,comparison,gene,n_tumour,n_normal,log2fc_tumour_minus_normal,cliffs_delta,p_value,fdr
TCGA-LUAD,tumour vs adjacent normal,ELF3,542,59,0.7895913131667998,0.4742010131965726,2.1533492803228576e-09,3.2300239204842866e-09
TCGA-LUAD,tumour vs adjacent normal,GRHL1,542,59,1.19626340104471,0.6186127962974546,5.772946553865173e-15,1.1545893107730346e-14
TCGA-LUAD,tumour vs adjacent normal,KLF4,542,59,-2.4753853389998692,-0.8884232910125711,3.448499250509727e-29,1.551824662729377e-28
TCGA-LUAD,tumour vs adjacent normal,TFAP2A,542,59,2.3875943821355223,0.8685971605478766,5.658151283715169e-28,2.0369344621374608e-27
TCGA-LUAD,tumour vs adjacent normal,TACSTD2,542,59,0.1802867515254185,0.2392895115391831,0.0025249628901702274,0.003029955468204273
TCGA-LUAD,tumour vs adjacent normal,CLDN4,542,59,1.0124541915544656,0.6914753893301644,2.57820337696187e-18,5.800957598164208e-18
TCGA-LUAD,tumour vs adjacent normal,NKX2-1,542,59,-0.3704277696159526,0.05710175745825263,0.47125230793326445,0.49897303192933884
TCGA-LUAD,tumour vs adjacent normal,EPCAM,542,59,1.494175924215937,0.9024329226343111,4.600145898628049e-30,2.760087539176829e-29
TCGA-LUAD,tumour vs adjacent normal,SFTPC,542,59,-8.162932639004486,-0.9934329851773094,4.484711067955953e-36,4.59415543612612e-35
TCGA-LUAD,tumour vs adjacent normal,SFTPB,542,59,-2.458654162413307,-0.6088560885608856,1.522268782306117e-14,2.740083808151011e-14
TCGA-LUAD,tumour vs adjacent normal,AGER,542,59,0.0,0.0,,
TCGA-LUAD,tumour vs adjacent normal,SCGB1A1,542,59,-5.024915475404562,-0.7541434736381262,1.7360438368074347e-21,4.464112723219118e-21
TCGA-LUAD,tumour vs adjacent normal,SCGB3A2,542,59,-2.8005303635290932,-0.5847144912127087,1.5723632805896128e-13,2.5729580955102754e-13
TCGA-LUAD,tumour vs adjacent normal,KRT5,542,59,-0.7142758196343322,-0.3057727187441366,0.00011357254317044728,0.0001460218412191465
TCGA-LUAD,tumour vs adjacent normal,TP63,542,59,-0.09729503224046665,-0.14672587403840143,0.06404959508579268,0.07205579447151676
TCGA-LUAD,tumour vs adjacent normal,FOXJ1,542,59,-0.13588688568406937,-0.017199324535618232,0.8284226383726228,0.8284226383726228
TCGA-LUAD,tumour vs adjacent normal,MUC5B,542,59,2.547646472212077,0.42566764650697353,7.738458660970155e-08,1.0714788915189446e-07
TCGA-LUAD,tumour vs adjacent normal,PTPRC,542,59,0.0,0.0,,
TCGA-LUAD,tumour vs adjacent normal,COL1A1,542,59,2.7664238535708616,0.8086184251673025,1.837337018478377e-24,5.51201105543513e-24
TCGA-LUAD,tumour vs adjacent normal,PECAM1,542,59,-2.3661425688883737,-0.992619926199262,5.104617151251245e-36,4.59415543612612e-35
