gene	cytoband	mean_log2_cldn4_high	mean_log2_cldn4_low	sd_log2_cldn4_high	sd_log2_cldn4_low	log2_ratio_high_over_low	p_value	q_value	higher_expression_in
CLDN4	7q11.23	13.88	12.68	0.48	0.76	1.2	1.34e-42	2.68e-38	CLDN4 High
CLDN3	7q11.23	14.01	13.06	0.73	0.96	0.95	1.78e-19	1.78e-15	CLDN4 High
POR	7q11.23	11.7	11.23	0.55	0.53	0.47	4.48e-13	2.99e-09	CLDN4 High
ABHD11	7q11.23	11.12	10.45	0.71	0.89	0.67	3.35e-12	1.67e-08	CLDN4 High
DNAJC30	7q11.23	9.67	9.24	0.5	0.58	0.44	1.33e-11	5.32e-08	CLDN4 High
JUNB	19p13.13	13.18	12.35	1.07	1.05	0.83	3.63e-11	1.21e-07	CLDN4 High
IER2	19p13.13	12.02	11.34	0.96	0.86	0.68	2.71e-10	7.73e-07	CLDN4 High
KRT7	12q13.13	13.64	12.79	0.92	1.36	0.85	5.47e-10	1.367e-06	CLDN4 High
DTX2	7q11.23	9.43	9.07	0.51	0.5	0.36	1.09e-09	2.423e-06	CLDN4 High
IER5L	9q34.11	11.45	10.89	0.76	0.82	0.56	1.53e-09	2.701e-06	CLDN4 High
PRSS22	16p13.3	7.71	6.66	1.24	1.69	1.06	1.54e-09	2.701e-06	CLDN4 High
TSC22D4	7q22.1	11.22	10.83	0.52	0.58	0.39	1.62e-09	2.701e-06	CLDN4 High
SV2B	15q26.1	2.01	2.93	1.11	1.47	-0.93	1.76e-09	2.701e-06	CLDN4 Low
NECTIN4	1q23.3	9.2	8.21	0.96	1.71	0.98	2.21e-09	3.154e-06	CLDN4 High
BUD23	7q11.23	10.6	10.23	0.49	0.56	0.37	2.42e-09	3.219e-06	CLDN4 High
SLC37A1	21q22.3	9.08	8.55	0.69	0.82	0.53	2.98e-09	3.723e-06	CLDN4 High
MDH2	7q11.23	12.85	12.49	0.5	0.56	0.36	4.98e-09	5.607e-06	CLDN4 High
TMEM120A	7q11.23	9.64	9.18	0.67	0.66	0.46	5.05e-09	5.607e-06	CLDN4 High
TMEM60	7q11.23	8.85	8.51	0.54	0.46	0.34	7.73e-09	8.128e-06	CLDN4 High
TBL2	7q11.23	10.42	10.11	0.47	0.44	0.31	9.72e-09	9.709e-06	CLDN4 High
VPS37D	7q11.23	8.57	7.99	0.88	0.87	0.58	1.34e-08	1.278e-05	CLDN4 High
S100A11	1q21.3	13.79	13.2	0.95	0.8	0.58	1.53e-08	1.385e-05	CLDN4 High
CHMP4B	20q11.22	11.92	11.63	0.42	0.46	0.29	1.76e-08	1.524e-05	CLDN4 High
RHBDD2	7q11.23	12.09	11.66	0.65	0.64	0.43	1.98e-08	1.648e-05	CLDN4 High
B3GNT3	19p13.11	9.4	8.31	1.44	1.92	1.1	3.64e-08	2.86e-05	CLDN4 High
PCNX1	14q24.2	9.53	9.88	0.53	0.57	-0.35	3.72e-08	2.86e-05	CLDN4 Low
STYXL1	7q11.23	9.76	9.39	0.52	0.61	0.36	4.21e-08	3.116e-05	CLDN4 High
BCL7B	7q11.23	10.39	10.1	0.44	0.49	0.3	4.6e-08	3.28e-05	CLDN4 High
MUC20	3q29	10.89	10.08	1.24	1.28	0.8	5.2e-08	3.583e-05	CLDN4 High
LINC02693	17p11.2	7.19	7.67	0.74	0.75	-0.48	5.8e-08	3.859e-05	CLDN4 Low
ASL	7q11.21	9.46	9.02	0.67	0.73	0.44	6.82e-08	4.395e-05	CLDN4 High
ZBTB7B	1q21.3	11.16	10.88	0.45	0.45	0.28	7.19e-08	4.487e-05	CLDN4 High
RAB25	1q22	10.39	8.97	1.94	2.56	1.43	8.14e-08	4.925e-05	CLDN4 High
S100A1	1q21.3	12.39	11.2	1.76	2.08	1.19	1.16e-07	6.799e-05	CLDN4 High
