predictor	endpoint	present	n_unadjusted	unadj_rho	unadj_p	unadj_ci_lo	unadj_ci_hi	n_partial	partial_rho	partial_p	partial_ci_lo	partial_ci_hi	covariate	verdict_unadj	verdict_partial	note
CLDN4	CD274	False	0					0					ESTIMATEScore (Stromal+Immune)	ABSENT	ABSENT	ABSENT on GPL96 U133A; Plus-2 223834_at / 227458_at not on this chip; PDCD1LG2 not substituted
CLDN4	CD274	False	0					0					ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	ABSENT	ABSENT	sensitivity; TumorPurity cosine
CLDN4	HLA-A	True	443	-0.04033473977465355	0.397054108859274	-0.1320086016090072	0.056632270451533094	443	0.006155581558727381	0.8973193135569287	-0.08905533741423624	0.10219965120423521	ESTIMATEScore (Stromal+Immune)	NO_EVIDENCE	NO_EVIDENCE	rank-equivalent to TumorPurity residual when cosine is monotone
CLDN4	HLA-A	True	443	-0.04033473977465355	0.397054108859274	-0.1320086016090072	0.056632270451533094	443	0.006155581558727369	0.897319313556929	-0.08905533741423627	0.10219965120423513	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	NO_EVIDENCE	NO_EVIDENCE	sensitivity; TumorPurity cosine
CLDN4	HLA-B	True	443	-0.024646430236657305	0.6049046645107983	-0.11483845958553417	0.06786271795336309	443	0.07563759486905715	0.11229497854249397	-0.016073353317194207	0.16830588906669058	ESTIMATEScore (Stromal+Immune)	NO_EVIDENCE	NO_EVIDENCE	HLA-B is in Yoshihara Immune141; ESTIMATE residual is partly circular
CLDN4	HLA-B	True	443	-0.024646430236657305	0.6049046645107983	-0.11483845958553417	0.06786271795336309	443	0.07563759486905713	0.11229497854249404	-0.016073353317194193	0.16830588906669056	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	NO_EVIDENCE	NO_EVIDENCE	sensitivity; TumorPurity cosine
CLDN4	HLA-C	True	443	-0.029484368283996493	0.5359457355964392	-0.1213429405660909	0.06860353064753731	443	0.050774192018667196	0.2868168349762765	-0.044969596702644124	0.14912748053474484	ESTIMATEScore (Stromal+Immune)	NO_EVIDENCE	NO_EVIDENCE	rank-equivalent to TumorPurity residual when cosine is monotone
CLDN4	HLA-C	True	443	-0.029484368283996493	0.5359457355964392	-0.1213429405660909	0.06860353064753731	443	0.05077419201866718	0.2868168349762765	-0.0449695967026441	0.14912748053474487	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	NO_EVIDENCE	NO_EVIDENCE	sensitivity; TumorPurity cosine
CLDN4	MHC1_HLAabc	True	443	-0.04033308202741214	0.39707352772522697	-0.1329276626938185	0.054213728843594856	443	0.03585470847836639	0.4521056062677889	-0.05721354512415411	0.13307339471693688	ESTIMATEScore (Stromal+Immune)	NO_EVIDENCE	NO_EVIDENCE	rank-equivalent to TumorPurity residual when cosine is monotone
CLDN4	MHC1_HLAabc	True	443	-0.04033308202741214	0.39707352772522697	-0.1329276626938185	0.054213728843594856	443	0.03585470847836639	0.4521056062677889	-0.05721354512415411	0.13307339471693688	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	NO_EVIDENCE	NO_EVIDENCE	sensitivity; TumorPurity cosine
CLDN4	ImmuneScore	True	443	-0.20878194108840772	9.385843804390122e-06	-0.301168545959106	-0.11592509686371873	443	-0.09095081017135245	0.05604594112396901	-0.18552331664429558	0.004789154899657498	ESTIMATEScore (Stromal+Immune)	NEGATIVE	NO_EVIDENCE	context only; ImmuneScore is an addend of ESTIMATEScore; not a CD8 re-cut
CLDN4	StromalScore	True	443	-0.1408201609370113	0.002974488961429944	-0.22933748479085891	-0.04955468845431302	443						NEGATIVE		
CLDN4	TumorPurity	True	443	0.19006346877811495	5.677571342755631e-05	0.09594474702795151	0.27905838227468455	443						POSITIVE		
CLDN4	ESTIMATEScore	True	443	-0.19006346877811495	5.677571342755631e-05	-0.27905838227468466	-0.09594474702795153	443						NEGATIVE		
MHC1_HLAabc	ImmuneScore	True	443	0.4377935027251188	3.616457766451762e-22	0.35295551662700675	0.5127468955989982	443						POSITIVE		context
CLDN4	HLA-A	True	442	-0.03939238620929833	0.40871729893968445	-0.13215636716988002	0.05844214004692117	442	0.006260674018952856	0.8956943871682372	-0.08896222858287357	0.1053018971050447	ESTIMATEScore; TumorPurity in [0,1]	NO_EVIDENCE	NO_EVIDENCE	sensitivity; n=442 of 443
CLDN4	HLA-B	True	442	-0.02421159469170547	0.6116969674066292	-0.11600187157489276	0.07071659287340948	442	0.07474310594478376	0.1170344429239851	-0.022192047412205405	0.16914099386418277	ESTIMATEScore; TumorPurity in [0,1]	NO_EVIDENCE	NO_EVIDENCE	sensitivity; n=442 of 443
CLDN4	HLA-C	True	442	-0.02913580782200013	0.5412390219645485	-0.12393123090458057	0.06926931562843583	442	0.0499948758011262	0.29483777244982967	-0.04955125018075848	0.145484600173887	ESTIMATEScore; TumorPurity in [0,1]	NO_EVIDENCE	NO_EVIDENCE	sensitivity; n=442 of 443
CLDN4	MHC1_HLAabc	True	442	-0.0396675426551937	0.4054494533507539	-0.132898840675248	0.05736408756361791	442	0.0353339619498488	0.4592160314385642	-0.06462943634802652	0.1314852623943094	ESTIMATEScore; TumorPurity in [0,1]	NO_EVIDENCE	NO_EVIDENCE	sensitivity; n=442 of 443
