endpoint	present	n_Q4	n_Q1	median_Q4	median_Q1	U	p	rank_biserial_Q4_minus_Q1	verdict
CD274	False	0	0						ABSENT
HLA-A	True	111	111	20863.0	21972.3	5687.0	0.32290805852331894	-0.07686064442821194	NO_EVIDENCE
HLA-B	True	111	111	21773.1	22460.5	5843.0	0.5076619836356646	-0.05153802451099754	NO_EVIDENCE
HLA-C	True	111	111	22204.7	22117.7	5783.0	0.4307706293135076	-0.06127749370992619	NO_EVIDENCE
MHC1_HLAabc	True	111	111	-0.27140784599709805	-0.13591092302250063	5648.0	0.28461776055802324	-0.08319129940751557	NO_EVIDENCE
