n0	n1	lrt_stat	p_chi2	p_perm	n_perm	note	slice	n	reference	celltypes
5	5	2.914535478979815	0.8194945971317313	0.74	199	diagnostic_dm_lrt	GSE207422_post_A3mal	10	Myeloid	['B', 'Epithelial', 'Myeloid', 'Other', 'Stromal', 'TNK']
6	6	1.6131398515208275	0.9516280966148802	0.945	199	diagnostic_dm_lrt	GSE207422_drmref	12	Myeloid	['B', 'Epithelial', 'Myeloid', 'Other', 'Stromal', 'TNK']
5	6	17.983315569523256	0.0029673876551745	0.045	199	diagnostic_dm_lrt	GSE241934_IIT	11	Stromal	['B', 'Epithelial', 'Myeloid', 'Stromal', 'TNK']
14	15	2.495622997637838	0.7771541116591676	0.79	199	diagnostic_dm_lrt	GSE241934_RWC	29	Stromal	['B', 'Epithelial', 'Myeloid', 'Stromal', 'TNK']
3	3	15.48592351397383	0.016796017115475206	0.305	199	diagnostic_dm_lrt	GSE291670	6	Stromal	['B', 'Epithelial', 'Myeloid', 'Other', 'Stromal', 'TNK']
11	11	3.8000331123766955	0.43374429082025234	0.44	199	diagnostic_dm_lrt	GSE205335	22	Other	['B', 'Epithelial', 'Other', 'TNK']
4	5	5.461602505587507	0.24312532468971707	0.25	199	diagnostic_dm_lrt	GSE253013_tumor	9	Other	['B', 'Epithelial', 'Other', 'TNK']
42	45	1.3780003865249455	0.8480094994998267	0.81	199	diagnostic_dm_lrt	ICI_pool_cohort_centered	87		
